"Date","sell.A","Price"
2004-02-06,49,36.85
2004-02-13,44,37.08
2004-02-20,41,35.05
2004-02-27,43,34.19
2004-03-05,48,34.81
2004-03-12,49,31.65
2004-03-19,45,30.55
2004-03-26,61,30.79
2004-04-02,52,32.32
2004-04-16,47,30.13
2004-04-23,52,29.5
2004-04-30,47,27.01
2004-05-07,51,26.31
2004-05-14,52,25.59
2004-05-21,45,24.38
2004-05-28,50,25.7
2004-06-04,42,25.22
2004-06-18,55,25.89
2004-06-25,43,29.51
2004-07-02,47,28.27
2004-07-09,50,26.84
2004-07-16,44,25.31
2004-07-23,52,23.56
2004-07-30,49,23.81
2004-08-06,55,21.85
2004-08-13,43,20.52
2004-08-20,50,22.2
2004-08-27,47,21.64
2004-09-03,46,20.37
2004-09-10,48,22.71
2004-09-17,46,22.9
2004-09-24,43,21.82
2004-10-01,53,22.99
2004-10-08,39,22.23
2004-10-15,44,22.79
2004-10-22,38,23.9
2004-10-29,53,25.06
2004-11-05,44,25.21
2004-11-12,45,22.58
2004-11-19,54,23.13
2004-11-26,38,23.16
2004-12-03,45,24.21
2004-12-10,44,23.69
2004-12-17,42,23.82
2004-12-31,38,24.1
2005-01-07,53,22.71
2005-01-14,47,22.05
2005-01-21,49,21.8
2005-01-28,51,21.61
2005-02-04,43,22.45
2005-02-11,45,23.72
2005-02-18,47,23.57
2005-02-25,47,23.55
2005-03-04,51,24.11
2005-03-11,45,23.34
2005-03-18,44,22.35
2005-04-01,50,22.07
2005-04-08,52,21.37
2005-04-15,45,20.4
2005-04-22,50,21.1
2005-04-29,52,20.75
2005-05-06,52,21.5
2005-05-13,49,21.99
2005-05-20,50,23.41
2005-05-27,50,23.91
2005-06-03,45,24.06
2005-06-10,44,24.5
2005-06-17,50,24.77
2005-06-24,55,24.13
2005-07-01,51,23.4
2005-07-08,51,24.34
2005-07-15,47,25.66
2005-07-22,46,25.59
2005-07-29,51,26.24
2005-08-05,58,25.87
2005-08-12,57,26.41
2005-08-19,52,30.65
2005-08-26,53,31.1
2005-09-02,46,32.14
2005-09-09,43,32.62
2005-09-16,46,33.91
2005-09-23,48,33.69
2005-09-30,46,32.75
2005-10-07,45,31.81
2005-10-14,49,30.93
2005-10-21,42,31.09
2005-10-28,47,31
2005-11-04,48,32.8
2005-11-11,47,32.93
2005-11-18,49,34.91
2005-11-25,42,35.69
2005-12-02,46,35.49
2005-12-09,46,35.27
2005-12-16,37,35.3
2005-12-23,36,34.9
2005-12-30,48,33.29
2006-01-06,43,34.65
2006-01-13,52,33.96
2006-01-20,49,34.25
2006-01-27,50,34.14
2006-02-03,50,34.33
