"Date","Carefusion","Price"
2009-08-21,57,18.5
2009-08-28,58,19.1
2009-09-04,74,18.5
2009-09-11,62,19.28
2009-09-18,58,21.81
2009-09-25,59,21.14
2009-10-02,55,21.54
2009-10-09,61,23.25
2009-10-16,55,22.7
2009-10-23,64,22.63
2009-10-30,77,22.37
2009-11-06,60,23.34
2009-11-13,63,24.97
2009-11-20,75,25.06
2009-11-27,45,25.79
2009-12-04,61,24.51
2009-12-11,64,24.44
2009-12-18,57,25.29
2010-01-08,76,26.16
2010-01-15,54,25.59
2010-01-22,63,27.55
2010-01-29,46,25.75
2010-02-05,77,25.98
2010-02-12,68,25.17
2010-02-19,90,26.26
2010-02-26,69,25.24
2010-03-05,67,25.97
2010-03-12,85,25.8
2010-03-19,59,25.18
2010-03-26,82,25.45
2010-04-09,85,26.57
2010-04-16,71,27.17
2010-04-23,74,27.81
2010-04-30,66,27.58
2010-05-07,68,26.16
2010-05-14,74,25.84
2010-05-21,71,24.72
2010-05-28,67,25.42
2010-06-04,53,24.8
2010-06-11,75,25.5
2010-06-18,67,24.68
2010-06-25,65,23.34
2010-07-02,58,22.42
2010-07-09,45,22.61
2010-07-16,49,21.55
2010-07-23,63,21.56
2010-07-30,54,21.07
2010-08-06,61,21.49
2010-08-13,100,22.85
2010-08-20,57,22.81
2010-08-27,51,22.73
2010-09-03,62,22.55
2010-09-10,38,23.31
2010-09-17,71,24.22
2010-09-24,69,24.95
2010-10-01,48,24.76
2010-10-08,49,24.49
2010-10-15,50,24.63
2010-10-22,54,24.7
2010-10-29,48,24.14
2010-11-05,74,24.11
2010-11-12,62,23.11
2010-11-19,67,23.5
2010-11-26,43,23.28
2010-12-03,51,23
2010-12-10,60,24.19
2010-12-17,62,24.86
2010-12-31,32,25.7
2011-01-07,52,25.31
2011-01-14,64,26.84
2011-01-21,64,26.06
2011-01-28,71,25.22
2011-02-04,81,27.43
2011-02-11,67,27.79
2011-02-18,64,28.04
2011-02-25,65,27.39
2011-03-04,72,27.92
2011-03-11,61,27.88
2011-03-18,50,27.05
2011-03-25,57,27.88
2011-04-01,59,28.21
2011-04-08,71,27.84
2011-04-15,74,29.3
2011-04-29,64,29.37
2011-05-06,65,29.2
2011-05-13,62,29.82
2011-05-20,63,28.84
2011-05-27,63,28.7
2011-06-03,52,27.62
2011-06-10,59,27.66
2011-06-17,62,26.66
2011-06-24,70,26.4
2011-07-01,52,27.67
2011-07-08,56,28.1
2011-07-15,64,27.61
2011-07-22,61,27.9
2011-07-29,75,26.39
2011-08-05,70,24.02
2011-08-12,66,25.59
2011-08-19,67,23.86
2011-08-26,62,24.72
2011-09-02,59,24.56
2011-09-09,50,23.63
2011-09-16,53,24.72
2011-09-23,49,23.39
2011-09-30,58,23.95
2011-10-07,48,24.15
2011-10-14,64,24.92
2011-10-21,59,24.52
2011-10-28,51,25.97
2011-11-04,63,25.26
2011-11-11,69,24.83
2011-11-18,67,24.04
2011-11-25,39,23.2
2011-12-02,58,24.9
2011-12-09,57,24.81
2011-12-16,51,24.06
2011-12-23,46,25.25
2011-12-30,29,25.41
2012-01-06,44,25.48
2012-01-13,57,22.83
2012-01-20,68,23.51
2012-01-27,63,23.9
2012-02-03,59,25
2012-02-10,59,25.43
2012-02-17,57,26.05
2012-02-24,55,25.89
2012-03-02,53,25.31
2012-03-09,59,25.38
2012-03-16,58,25.71
2012-03-23,60,25.35
2012-03-30,48,25.93
2012-04-13,51,25.49
2012-04-20,52,25.9
2012-04-27,62,25.95
2012-05-04,54,27.09
2012-05-11,59,25.86
2012-05-18,57,24.66
2012-05-25,55,24.9
2012-06-01,54,24.01
2012-06-08,55,24.57
2012-06-15,68,24.74
2012-06-22,74,24.93
2012-06-29,61,25.68
2012-07-06,47,25.49
2012-07-13,65,25.39
2012-07-20,61,25.01
2012-07-27,67,24.39
2012-08-03,63,24.12
2012-08-10,62,26.29
2012-08-17,63,27.09
2012-08-24,64,26.43
2012-08-31,68,26.27
2012-09-07,56,27.75
2012-09-14,68,27.86
2012-09-21,74,28.51
2012-09-28,70,28.39
2012-10-05,67,28.61
2012-10-12,59,27.79
2012-10-19,69,27.24
2012-10-26,67,26.54
2012-11-02,48,26.69
2012-11-09,75,27.05
2012-11-16,55,26.77
2012-11-23,46,28.04
2012-11-30,61,27.92
2012-12-07,54,27.96
2012-12-14,53,28.08
2012-12-21,46,28.76
2012-12-28,31,28.34
2013-01-04,40,29.1
2013-01-11,55,29.4
2013-01-18,59,30.72
2013-01-25,63,31.44
2013-02-01,57,31.33
2013-02-08,57,31.85
2013-02-15,56,32.8
2013-02-22,59,32.72
2013-03-01,61,32.96
2013-03-08,64,33.46
2013-03-15,52,34.31
2013-03-22,50,34.68
2013-04-05,51,34.53
2013-04-12,62,35.29
2013-04-19,51,34.55
2013-04-26,54,33.76
2013-05-03,60,34.14
2013-05-10,62,33.59
2013-05-17,61,34.36
2013-05-24,52,34.41
2013-05-31,61,36.75
2013-06-07,66,38.17
2013-06-14,60,37.8
2013-06-21,54,37.01
2013-06-28,65,36.85
2013-07-05,44,37.58
2013-07-12,56,38.56
2013-07-19,54,38.79
2013-07-26,56,38.34
2013-08-02,57,36.61
2013-08-09,67,36.95
2013-08-16,50,35.82
2013-08-23,46,35.68
2013-08-30,57,35.85
2013-09-06,52,36.62
2013-09-13,59,37.18
2013-09-20,58,38.09
2013-09-27,54,36.94
2013-10-04,60,37.51
2013-10-11,55,38.03
2013-10-18,59,39.24
2013-10-25,59,38.94
2013-11-01,47,38.9
2013-11-08,57,37.65
2013-11-15,58,39.18
2013-11-22,83,39.37
2013-11-29,42,39.85
2013-12-06,54,39.67
2013-12-13,60,38.71
2013-12-20,49,39.4
2013-12-27,24,39.8
2014-01-03,36,39
2014-01-10,60,41.22
2014-01-17,57,40.75
2014-01-24,62,39.1
