"Date","DHI","Price"
2004-02-06,48,30
2004-02-13,48,30.45
2004-02-20,48,30.15
2004-02-27,55,31.79
2004-03-05,76,35.18
2004-03-12,96,34.37
2004-03-19,46,34.46
2004-03-26,45,34.78
2004-04-02,45,33.73
2004-04-16,75,31.77
2004-04-23,48,30.67
2004-04-30,76,28.8
2004-05-07,65,26.93
2004-05-14,59,26.77
2004-05-21,68,26.15
2004-05-28,70,28.9
2004-06-04,52,28.64
2004-06-18,47,27.95
2004-06-25,48,29.7
2004-07-02,62,28.22
2004-07-09,53,25.87
2004-07-16,61,26.54
2004-07-23,53,26.59
2004-07-30,53,27.63
2004-08-06,49,28.16
2004-08-13,51,28.27
2004-08-20,37,30.34
2004-08-27,45,30.77
2004-09-03,73,31.56
2004-09-10,50,32.18
2004-09-17,62,32.8
2004-09-24,65,33.48
2004-10-01,49,32.94
2004-10-08,100,29.34
2004-10-15,49,28.77
2004-10-22,68,27.61
2004-10-29,62,30
2004-11-05,62,30.47
2004-11-12,74,34.46
2004-11-19,73,34.34
2004-11-26,48,36.11
2004-12-03,64,36.35
2004-12-10,77,39.29
2004-12-17,68,39.69
2004-12-31,48,40.31
2005-01-07,71,37.46
2005-01-14,57,40.95
2005-01-21,57,38.79
2005-01-28,75,38.97
2005-02-04,65,43.84
2005-02-11,60,43.06
2005-02-18,62,42.3
2005-02-25,60,45.01
2005-03-04,55,45.5
2005-03-11,91,41.09
2005-03-18,50,30.19
2005-04-01,61,30.14
2005-04-08,54,29.09
2005-04-15,52,26.91
2005-04-22,68,29.24
2005-04-29,78,30.5
2005-05-06,55,32.14
2005-05-13,56,29.99
2005-05-20,57,32.4
2005-05-27,45,34.58
2005-06-03,55,35.07
2005-06-10,73,34.18
2005-06-17,78,37.46
2005-06-24,72,35.65
2005-07-01,69,37.52
2005-07-08,90,39.96
2005-07-15,65,41.46
2005-07-22,71,41.94
2005-07-29,71,41.08
2005-08-05,62,38.45
2005-08-12,77,35.86
2005-08-19,66,35.01
2005-08-26,94,34.4
2005-09-02,64,36.74
2005-09-09,75,38.58
2005-09-16,84,36.25
2005-09-23,61,35.15
2005-09-30,54,36.22
2005-10-07,68,33.18
2005-10-14,60,31.39
2005-10-21,63,31.01
2005-10-28,69,29.78
2005-11-04,62,33.13
2005-11-11,54,32.56
2005-11-18,49,34.81
2005-11-25,58,36.62
2005-12-02,71,36.52
2005-12-09,60,35.44
2005-12-16,55,37.81
2005-12-23,42,36.21
2005-12-30,45,35.73
2006-01-06,61,37.25
2006-01-13,80,40.28
2006-01-20,71,38.12
2006-01-27,63,38.38
2006-02-03,75,35.5
2006-02-10,77,32.94
2006-02-17,72,34.5
2006-02-24,54,36.1
2006-03-03,58,32.72
2006-03-10,52,31.72
2006-03-17,69,34.58
2006-03-24,75,33.9
2006-03-31,77,33.22
2006-04-07,60,34.5
