"Date","Facebook","Price"
2012-05-18,74,38.23
2012-05-25,73,31.91
2012-06-01,77,27.72
2012-06-08,75,27.1
2012-06-15,75,30.01
2012-06-22,76,33.05
2012-06-29,77,31.1
2012-07-06,76,31.73
2012-07-13,74,30.72
2012-07-20,74,28.76
2012-07-27,76,23.71
2012-08-03,75,21.09
2012-08-10,73,21.81
2012-08-17,75,19.05
2012-08-24,76,19.41
2012-08-31,75,18.06
2012-09-07,76,18.98
2012-09-14,72,22
2012-09-21,74,22.86
2012-09-28,74,21.66
2012-10-05,83,20.91
2012-10-12,95,19.52
2012-10-19,94,19
2012-10-26,91,21.94
2012-11-02,94,21.18
2012-11-09,94,19.21
2012-11-16,93,23.56
2012-11-23,93,24
2012-11-30,93,28
2012-12-07,92,27.49
2012-12-14,93,26.81
2012-12-21,93,26.26
2012-12-28,100,25.91
2013-01-04,99,28.76
2013-01-11,92,31.72
2013-01-18,92,29.66
2013-01-25,92,31.54
2013-02-01,93,29.73
2013-02-08,89,28.55
2013-02-15,90,28.32
2013-02-22,88,27.13
2013-03-01,87,27.78
2013-03-08,88,27.96
2013-03-15,89,26.65
2013-03-22,89,25.73
2013-04-05,91,27.39
2013-04-12,91,27.4
2013-04-19,88,25.73
2013-04-26,88,26.85
2013-05-03,87,28.31
2013-05-10,88,26.68
2013-05-17,87,26.25
2013-05-24,88,24.31
2013-05-31,89,24.35
2013-06-07,91,23.29
2013-06-14,91,23.63
2013-06-21,91,24.53
2013-06-28,89,24.88
2013-07-05,91,24.37
2013-07-12,90,25.91
2013-07-19,89,25.88
2013-07-26,87,34.01
2013-08-02,87,38.05
2013-08-09,85,38.5
2013-08-16,86,37.08
2013-08-23,86,40.55
2013-08-30,85,41.29
2013-09-06,84,43.95
2013-09-13,83,44.31
2013-09-20,81,47.49
2013-09-27,82,51.24
2013-10-04,80,51.04
2013-10-11,79,49.11
2013-10-18,79,54.22
2013-10-25,77,51.95
2013-11-01,79,49.75
2013-11-08,78,47.53
2013-11-15,78,49.01
2013-11-22,77,46.23
2013-11-29,75,47.01
2013-12-06,76,47.94
2013-12-13,73,53.32
2013-12-20,74,55.12
2013-12-27,80,55.44
2014-01-03,76,54.56
2014-01-10,72,57.94
2014-01-17,71,56.3
2014-01-24,71,54.45
2014-01-31,72,62.57
2014-02-07,72,64.32
2014-02-14,71,67.09
2014-02-21,70,68.59
2014-02-28,70,68.46
2014-03-07,71,69.8
2014-03-14,71,67.72
2014-03-21,72,67.24
2014-03-28,70,60.01
2014-04-04,69,56.75
2014-04-11,68,58.53
2014-04-25,70,57.71
