"Date","T","Price"
2004-02-06,61,26.02
2004-02-13,62,25.05
2004-02-20,62,23.88
2004-02-27,61,24.01
2004-03-05,62,25.02
2004-03-12,61,24.36
2004-03-19,62,24.62
2004-03-26,60,23.92
2004-04-02,63,24.87
2004-04-16,65,24.17
2004-04-23,65,25.42
2004-04-30,64,24.9
2004-05-07,62,24.74
2004-05-14,60,24.5
2004-05-21,62,24.33
2004-05-28,62,23.7
2004-06-04,61,23.93
2004-06-18,62,24.6
2004-06-25,63,23.8
2004-07-02,64,24.11
2004-07-09,66,23.59
2004-07-16,66,23.1
2004-07-23,65,24.22
2004-07-30,64,25.34
2004-08-06,66,24.85
2004-08-13,63,25.06
2004-08-20,65,25.57
2004-08-27,66,25.84
2004-09-03,64,26.2
2004-09-10,64,26.57
2004-09-17,64,26.48
2004-09-24,63,26.05
2004-10-01,63,26.32
2004-10-08,64,26.83
2004-10-15,64,26.68
2004-10-22,62,25.24
2004-10-29,62,25.26
2004-11-05,62,26.25
2004-11-12,63,26.67
2004-11-19,63,25.89
2004-11-26,63,25.48
2004-12-03,64,25.81
2004-12-10,67,25.31
2004-12-17,66,25.7
2004-12-31,60,25.77
2005-01-07,63,25.08
2005-01-14,62,24.41
2005-01-21,61,24.58
2005-01-28,64,23.62
2005-02-04,65,24.6
2005-02-11,67,24.26
2005-02-18,66,24.18
2005-02-25,66,24.21
2005-03-04,62,24.49
2005-03-11,65,24
2005-03-18,62,23.35
2005-04-01,65,23.66
2005-04-08,64,23.75
2005-04-15,63,23
2005-04-22,64,23.2
2005-04-29,67,23.8
2005-05-06,66,23.62
2005-05-13,65,23.08
2005-05-20,66,23.63
2005-05-27,64,23.67
2005-06-03,65,23.34
2005-06-10,65,23.63
2005-06-17,65,24.02
2005-06-24,67,23.5
2005-07-01,66,23.93
2005-07-08,68,23.57
2005-07-15,70,24.12
2005-07-22,67,23.72
2005-07-29,66,24.45
2005-08-05,66,24.61
2005-08-12,65,24.46
2005-08-19,67,24.14
2005-08-26,67,23.71
2005-09-02,68,23.87
2005-09-09,67,24.05
2005-09-16,65,24.23
2005-09-23,64,23.77
2005-09-30,63,23.97
2005-10-07,65,22.75
2005-10-14,66,22.2
2005-10-21,63,23
2005-10-28,64,23.89
2005-11-04,63,23.66
2005-11-11,64,23.95
2005-11-18,65,24.38
2005-11-25,66,24.77
2005-12-02,67,25.07
2005-12-09,68,24.9
2005-12-16,68,24.96
2005-12-23,63,24.63
2005-12-30,62,24.49
2006-01-06,64,24.93
2006-01-13,66,24.99
2006-01-20,64,24.71
2006-01-27,65,25.89
2006-02-03,66,26.79
2006-02-10,67,27.48
2006-02-17,68,28.28
2006-02-24,66,27.57
2006-03-03,67,27.99
2006-03-10,66,27.23
2006-03-17,64,27
2006-03-24,65,27.37
2006-03-31,67,27.04
2006-04-07,66,26.16
2006-04-21,67,25.35
2006-04-28,66,26.21
2006-05-05,68,25.97
2006-05-12,69,25.62
2006-05-19,70,25.28
2006-05-26,68,26.23
2006-06-02,69,26.73
2006-06-09,68,26.62
2006-06-16,69,27.79
2006-06-23,70,27.37
2006-06-30,67,27.89
2006-07-07,72,27.74
2006-07-14,71,26.58
2006-07-21,68,27.34
2006-07-28,66,30.06
2006-08-04,68,30.97
2006-08-11,67,30.22
2006-08-18,67,30.51
2006-08-25,69,30.63
2006-09-01,66,31.61
2006-09-08,66,31.35
2006-09-15,67,31.86
2006-09-22,67,32.9
2006-09-29,67,32.56
2006-10-06,66,31.78
2006-10-13,68,33.6
2006-10-20,68,34.44
2006-10-27,68,34.22
2006-11-03,66,33.72
2006-11-10,66,33.05
2006-11-17,67,33.2
2006-11-24,66,32.67
2006-12-01,66,34
2006-12-08,68,34.97
2006-12-15,68,35.66
2006-12-22,66,34.98
2006-12-29,65,35.75
2007-01-05,66,33.96
2007-01-12,66,34.73
2007-01-19,66,35.07
2007-01-26,65,36.4
2007-02-02,66,38.12
2007-02-09,65,36.9
2007-02-16,64,37.48
2007-02-23,68,37
2007-03-02,64,36.44
2007-03-09,68,36.55
2007-03-16,67,36.98
2007-03-23,65,38.88
2007-03-30,66,39.43
2007-04-13,68,38.84
2007-04-20,70,39.87
2007-04-27,69,38.64
2007-05-04,71,39.48
2007-05-11,71,39.59
2007-05-18,73,41.1
2007-05-25,73,40.76
2007-06-01,74,40.53
2007-06-08,74,40.26
2007-06-15,74,40.28
2007-06-22,73,38.85
2007-06-29,74,41.5
2007-07-06,81,40.66
2007-07-13,78,40.4
2007-07-20,74,39.06
2007-07-27,75,39.24
2007-08-03,72,39.45
2007-08-10,74,38.87
2007-08-17,76,39.05
2007-08-24,75,40.36
2007-08-31,74,39.87
2007-09-07,72,38.73
2007-09-14,74,40.44
2007-09-21,73,42.53
2007-09-28,74,42.31
2007-10-05,75,42.14
2007-10-12,72,42.29
2007-10-19,72,41.37
2007-10-26,70,41.46
2007-11-02,73,40.42
2007-11-09,74,39.2
2007-11-16,74,39.55
2007-11-23,73,37.63
2007-11-30,76,38.21
2007-12-07,75,38.47
2007-12-14,75,41.14
2007-12-21,75,41.48
2007-12-28,72,42.44
2008-01-04,71,40.89
2008-01-11,70,38.2
2008-01-18,71,36.11
2008-01-25,70,35.26
2008-02-01,72,38.28
2008-02-08,73,36.37
2008-02-15,74,37.88
2008-02-22,74,34.98
2008-02-29,73,34.83
2008-03-07,73,35.01
2008-03-14,73,35.03
2008-03-28,71,37.66
2008-04-04,73,38.48
2008-04-11,74,37.3
2008-04-18,74,37.51
2008-04-25,74,38.58
2008-05-02,74,40.13
2008-05-09,74,38.59
2008-05-16,74,40.07
2008-05-23,73,38.53
2008-05-30,73,39.9
2008-06-06,75,38.21
2008-06-13,74,36.68
2008-06-20,76,34.43
2008-06-27,75,32.76
2008-07-11,82,32.58
2008-07-18,86,32.12
2008-07-25,84,31.4
2008-08-01,81,30.44
2008-08-08,78,30.97
2008-08-15,79,31.66
2008-08-22,79,31.17
2008-08-29,80,31.99
2008-09-05,82,31.5
2008-09-12,83,31.54
2008-09-19,80,30.43
2008-09-26,83,30
2008-10-03,78,28.12
2008-10-10,82,22.42
2008-10-17,79,25.29
2008-10-24,79,24.68
2008-10-31,76,26.77
2008-11-07,76,27
2008-11-14,77,27.65
2008-11-21,75,25.19
2008-11-28,76,28.56
2008-12-05,78,28.15
2008-12-12,80,28.18
2008-12-19,75,28.12
2008-12-26,73,27.94
2009-01-02,73,29.42
2009-01-09,71,26.68
2009-01-16,72,25.23
2009-01-23,74,26.12
2009-01-30,74,24.62
2009-02-06,74,26.08
2009-02-13,76,24.19
2009-02-20,74,23.58
2009-02-27,80,23.77
2009-03-06,79,22.58
2009-03-13,75,24.27
2009-03-20,76,25.33
2009-03-27,77,26
2009-04-03,76,26.83
2009-04-17,75,25.95
2009-04-24,76,25.16
2009-05-01,75,26.01
2009-05-08,76,25.25
2009-05-15,78,24.88
2009-05-22,76,23.68
2009-05-29,76,24.79
2009-06-05,76,24.56
2009-06-12,77,25.01
2009-06-19,80,24.04
2009-06-26,76,24.82
2009-07-10,81,23.44
2009-07-17,82,23.98
2009-07-24,79,25.45
2009-07-31,78,26.23
2009-08-07,76,25.62
2009-08-14,77,25.45
2009-08-21,77,26
2009-08-28,78,26.21
2009-09-04,78,25.51
2009-09-11,76,26.66
2009-09-18,80,27.05
2009-09-25,77,26.96
2009-10-02,77,26.52
2009-10-09,78,25.66
2009-10-16,77,25.7
2009-10-23,76,25.73
2009-10-30,77,25.67
2009-11-06,78,25.93
2009-11-13,76,26.25
2009-11-20,77,26.02
2009-11-27,79,26.99
2009-12-04,80,27.6
2009-12-11,81,28.01
2009-12-18,80,27.32
2010-01-08,78,27.1
2010-01-15,80,25.79
2010-01-22,79,25.39
2010-01-29,77,25.36
2010-02-05,77,25.24
2010-02-12,75,25.07
2010-02-19,75,25.1
2010-02-26,82,24.81
2010-03-05,79,24.99
2010-03-12,77,25.62
2010-03-19,76,26.24
2010-03-26,79,26.24
2010-04-09,76,26.44
2010-04-16,75,25.93
2010-04-23,74,26.25
2010-04-30,76,26.06
2010-05-07,76,25.1
2010-05-14,75,25.4
2010-05-21,77,24.85
2010-05-28,76,24.3
2010-06-04,76,24.17
2010-06-11,78,25.29
2010-06-18,77,25.43
2010-06-25,75,24.79
2010-07-02,77,24.29
2010-07-09,79,24.83
2010-07-16,78,24.69
2010-07-23,77,25.54
2010-07-30,76,25.94
2010-08-06,78,26.54
2010-08-13,75,26.72
2010-08-20,75,26.45
2010-08-27,77,26.94
2010-09-03,75,27.44
2010-09-10,76,27.83
2010-09-17,77,28.17
2010-09-24,76,28.58
2010-10-01,76,28.81
2010-10-08,78,28.22
2010-10-15,77,28.33
2010-10-22,78,28.29
2010-10-29,75,28.52
2010-11-05,77,29.27
2010-11-12,79,28.46
2010-11-19,81,28.32
2010-11-26,78,27.93
2010-12-03,81,28.49
2010-12-10,82,28.89
2010-12-17,82,29.21
2010-12-31,79,29.38
2011-01-07,79,28.85
2011-01-14,78,28.43
2011-01-21,78,28.33
2011-01-28,79,27.49
2011-02-04,81,27.97
2011-02-11,82,28.47
2011-02-18,80,28.57
2011-02-25,81,28.13
2011-03-04,80,27.92
2011-03-11,80,28.46
2011-03-18,77,27.94
2011-03-25,83,28.85
2011-04-01,81,30.62
2011-04-08,80,30.71
2011-04-15,82,30.65
2011-04-29,80,31.12
2011-05-06,79,31.26
2011-05-13,82,31.41
2011-05-20,81,31.32
2011-05-27,82,31.29
2011-06-03,85,30.65
2011-06-10,87,30.34
2011-06-17,86,30.77
2011-06-24,84,30.44
2011-07-01,85,31.68
2011-07-08,89,31.14
2011-07-15,85,30.31
2011-07-22,84,30.32
2011-07-29,83,29.26
