"Date","Campbell.Soup","Price"
2004-02-06,82,27.32
2004-02-13,76,27.65
2004-02-20,68,28.2
2004-02-27,79,27.96
2004-03-05,90,28.13
2004-03-12,60,27.55
2004-03-19,60,26.99
2004-03-26,58,27.05
2004-04-02,57,26.8
2004-04-16,42,26.84
2004-04-23,68,27.53
2004-04-30,58,27.63
2004-05-07,49,27.14
2004-05-14,42,27
2004-05-21,28,26.4
2004-05-28,46,25.51
2004-06-04,39,25.88
2004-06-18,38,25.9
2004-06-25,36,26.77
2004-07-02,40,26.67
2004-07-09,44,26.15
2004-07-16,60,25.7
2004-07-23,52,25.82
2004-07-30,46,25.59
2004-08-06,61,25.46
2004-08-13,39,25.35
2004-08-20,50,25.99
2004-08-27,46,26.33
2004-09-03,60,26.37
2004-09-10,38,26.2
2004-09-17,48,26.94
2004-09-24,85,26.36
2004-10-01,79,26.59
2004-10-08,68,26.14
2004-10-15,72,26.08
2004-10-22,62,25.77
2004-10-29,67,26.84
2004-11-05,68,27.17
2004-11-12,60,27.16
2004-11-19,100,27.36
2004-11-26,74,28.51
2004-12-03,85,29.32
2004-12-10,56,29.88
2004-12-17,60,30.15
2004-12-31,55,29.89
2005-01-07,53,29.41
2005-01-14,61,29.02
2005-01-21,86,29.03
2005-01-28,64,29.09
2005-02-04,65,29.2
2005-02-11,61,28.3
2005-02-18,60,28.55
2005-02-25,61,27.65
2005-03-04,49,28.4
2005-03-11,51,27.86
2005-03-18,48,28.4
2005-04-01,41,28.47
2005-04-08,28,28.81
2005-04-15,54,28.99
2005-04-22,53,28.77
2005-04-29,46,29.74
2005-05-06,54,29.9
2005-05-13,45,29.81
2005-05-20,43,30.34
2005-05-27,34,31.05
2005-06-03,39,31.33
2005-06-10,33,30.71
2005-06-17,40,31.33
2005-06-24,31,31.02
2005-07-01,33,30.82
2005-07-08,29,30.51
2005-07-15,42,30.81
2005-07-22,47,30.71
2005-07-29,38,30.85
2005-08-05,40,30.41
2005-08-12,47,30.5
2005-08-19,43,30.26
2005-08-26,43,29.28
2005-09-02,49,30.02
2005-09-09,39,31.09
2005-09-16,71,29.99
2005-09-23,57,29.14
2005-09-30,61,29.75
2005-10-07,69,28.97
2005-10-14,65,28.72
2005-10-21,65,28.76
2005-10-28,75,29.09
2005-11-04,64,29.11
2005-11-11,68,29.46
2005-11-18,67,29.7
2005-11-25,69,31.06
2005-12-02,56,30.45
2005-12-09,75,29.86
2005-12-16,56,30.31
2005-12-23,50,30.35
2005-12-30,44,29.77
2006-01-06,47,30.3
2006-01-13,68,30.43
2006-01-20,53,30.4
2006-01-27,55,30
2006-02-03,57,29.71
2006-02-10,64,29.26
2006-02-17,49,30.65
2006-02-24,56,31.15
2006-03-03,57,30.99
2006-03-10,52,32
2006-03-17,60,32.3
2006-03-24,52,32.58
2006-03-31,52,32.4
2006-04-07,39,31.73
2006-04-21,39,32.3
2006-04-28,47,32.14
2006-05-05,40,32.83
2006-05-12,43,32.6
2006-05-19,43,32.65
2006-05-26,35,35.1
2006-06-02,43,35.95
2006-06-09,39,35.21
2006-06-16,31,35.23
2006-06-23,33,36.12
2006-06-30,38,37.11
2006-07-07,32,36.98
2006-07-14,35,36.34
2006-07-21,41,35.95
2006-07-28,40,36.77
2006-08-04,34,36.71
2006-08-11,46,37.98
2006-08-18,38,37.95
2006-08-25,35,37.31
2006-09-01,33,37.82
2006-09-08,44,37.18
2006-09-15,63,37.3
2006-09-22,58,36.19
2006-09-29,63,36.5
2006-10-06,57,36.39
2006-10-13,56,35.92
2006-10-20,59,36.72
2006-10-27,51,36.49
2006-11-03,56,37.06
2006-11-10,61,37.39
2006-11-17,67,37.55
2006-11-24,51,37.5
2006-12-01,50,38
2006-12-08,59,38.87
2006-12-15,51,39.7
2006-12-22,48,39.48
2006-12-29,28,38.89
2007-01-05,38,37.96
2007-01-12,47,37.78
2007-01-19,56,37.83
2007-01-26,55,38.18
2007-02-02,50,38.96
2007-02-09,57,39.03
2007-02-16,56,42.29
2007-02-23,43,41.88
2007-03-02,53,39.82
2007-03-09,34,40.09
2007-03-16,45,38.94
2007-03-23,40,39.98
2007-03-30,35,38.95
2007-04-13,40,39.12
2007-04-20,33,39.7
2007-04-27,37,39.2
2007-05-04,40,39.47
2007-05-11,23,38.67
2007-05-18,32,39.5
2007-05-25,30,39.23
2007-06-01,28,39.79
2007-06-08,40,38.77
2007-06-15,40,39.38
2007-06-22,28,38.58
2007-06-29,26,38.81
2007-07-06,28,38.05
2007-07-13,31,39.26
2007-07-20,38,38.58
2007-07-27,32,37.49
2007-08-03,31,36.53
2007-08-10,43,35.98
2007-08-17,36,36.42
2007-08-24,30,38.32
2007-08-31,31,37.75
2007-09-07,42,35.54
2007-09-14,48,35.68
2007-09-21,44,35.4
2007-09-28,45,37
2007-10-05,82,36.4
2007-10-12,64,36.35
2007-10-19,50,35.62
2007-10-26,48,36.47
2007-11-02,43,36.85
2007-11-09,52,35.61
2007-11-16,54,35.26
2007-11-23,44,35.06
2007-11-30,49,36.72
2007-12-07,47,36.99
2007-12-14,47,36.39
2007-12-21,37,36.35
2007-12-28,28,35.9
2008-01-04,43,34.65
2008-01-11,38,33.75
2008-01-18,43,31.81
2008-01-25,44,31.21
2008-02-01,55,32.42
2008-02-08,51,31.07
2008-02-15,41,33.44
2008-02-22,43,32.67
2008-02-29,41,32.29
2008-03-07,36,31.58
2008-03-14,35,31.69
2008-03-28,38,33.77
2008-04-04,36,34.17
2008-04-11,41,33.41
2008-04-18,31,35.21
2008-04-25,37,34.66
2008-05-02,37,35.53
2008-05-09,37,35.4
2008-05-16,28,35.95
2008-05-23,32,32.81
2008-05-30,23,33.48
2008-06-06,24,32.67
2008-06-13,25,34.64
2008-06-20,29,33.42
2008-06-27,28,32.18
2008-07-11,28,34.85
2008-07-18,24,35.34
2008-07-25,25,35.93
2008-08-01,26,35.85
2008-08-08,24,37.39
2008-08-15,31,37.97
2008-08-22,28,37.58
2008-08-29,33,36.81
2008-09-05,34,36.63
2008-09-12,41,39.2
2008-09-19,40,38.6
2008-09-26,47,37.63
2008-10-03,62,39.63
2008-10-10,63,34.12
2008-10-17,48,36.8
2008-10-24,52,35.79
2008-10-31,48,37.95
2008-11-07,51,37.22
2008-11-14,50,37.53
2008-11-21,51,36.27
2008-11-28,47,32.05
2008-12-05,44,30.1
2008-12-12,46,28.68
2008-12-19,39,28.38
2008-12-26,30,28.46
2009-01-02,42,30.43
2009-01-09,45,29.06
2009-01-16,45,29.72
2009-01-23,41,30.25
2009-01-30,41,30.37
2009-02-06,45,30.56
2009-02-13,34,30.88
2009-02-20,35,29.45
2009-02-27,43,26.77
2009-03-06,40,26.55
2009-03-13,40,26.93
2009-03-20,34,26.48
2009-03-27,29,27.45
2009-04-03,35,27.43
2009-04-17,37,26.44
2009-04-24,37,24.87
2009-05-01,27,25.8
2009-05-08,30,26.4
2009-05-15,26,26.89
2009-05-22,27,27.35
2009-05-29,25,27.72
2009-06-05,26,28.77
2009-06-12,27,29.1
2009-06-19,21,28.57
2009-06-26,21,29.53
2009-07-10,23,28.84
2009-07-17,19,29.93
2009-07-24,16,30.53
2009-07-31,20,31.03
2009-08-07,25,30.83
2009-08-14,23,30.6
2009-08-21,23,31.12
2009-08-28,26,31.41
2009-09-04,24,31.19
2009-09-11,24,33.13
2009-09-18,32,32.29
2009-09-25,35,32.53
2009-10-02,34,31.88
2009-10-09,34,32.35
2009-10-16,41,32.62
2009-10-23,37,31.89
2009-10-30,39,31.75
2009-11-06,39,32.19
2009-11-13,39,33.18
2009-11-20,34,34.12
2009-11-27,32,35.16
2009-12-04,32,35.47
2009-12-11,32,34.8
2009-12-18,29,33.02
2010-01-08,38,32.83
2010-01-15,34,32.99
2010-01-22,34,32.78
2010-01-29,34,33.11
2010-02-05,31,32.47
2010-02-12,30,33.04
2010-02-19,34,33.93
2010-02-26,29,33.33
