"Date","LSI.Corporation","Price"
2007-05-04,100,8.38
2007-06-15,91,8.25
2007-06-22,78,8.34
2007-06-29,78,7.51
2007-10-26,65,6.55
2007-11-02,67,6.51
2007-11-09,67,6.19
2007-11-16,68,6.05
2007-11-23,68,5.78
2007-11-30,69,5.55
2008-01-11,78,4.03
2008-01-18,91,3.97
2008-01-25,58,4.84
2008-02-01,58,5.55
2008-02-08,58,4.89
2008-02-15,58,5
2008-02-22,58,5.04
2008-02-29,51,5.04
2008-03-07,51,4.99
2008-03-14,51,4.96
2008-03-28,98,4.98
2008-04-04,91,5.49
2008-04-11,55,5.46
2008-06-06,73,7.24
2008-08-01,51,6.91
2009-01-16,52,3.3
2009-01-23,47,3.27
2009-01-30,47,3.18
2009-02-06,47,3.65
2009-02-13,58,3.15
2009-02-20,39,2.62
2009-02-27,39,2.9
2009-03-06,40,2.64
2009-03-13,42,3.14
2009-03-20,43,3.11
2009-03-27,45,3.28
2009-04-03,47,3.68
2009-04-17,51,3.84
2009-04-24,42,3.88
2009-05-01,42,4.01
2009-05-08,45,4.16
2009-05-15,47,3.79
2009-05-22,50,4.04
2009-05-29,52,4.47
2009-06-05,51,4.19
2009-06-12,51,4.88
2009-06-19,53,4.56
2009-06-26,54,4.66
2009-07-10,56,4.55
2009-07-17,38,5.26
2009-07-24,41,5.17
2009-07-31,45,5.18
2009-08-07,42,5.16
2009-08-14,49,5.08
2009-08-21,45,5.05
2009-08-28,45,5.29
2009-09-04,45,5.16
2009-09-11,34,5.48
2009-09-18,34,5.45
2009-09-25,48,5.58
2009-10-02,37,5.22
2009-10-09,57,5.67
2009-10-16,36,5.63
2009-10-23,36,5.35
2009-10-30,42,5.12
2009-11-06,48,5.22
2009-11-13,54,5.59
2009-11-20,31,5.47
2009-11-27,42,5.42
2009-12-04,53,5.76
2009-12-11,32,5.57
2009-12-18,48,5.61
2010-01-08,43,6.02
2010-01-15,39,5.86
2010-01-22,44,5.73
2010-01-29,32,4.99
2010-02-05,41,5.15
2010-02-12,49,5.39
2010-02-19,44,5.64
2010-02-26,45,5.39
2010-03-05,29,5.64
2010-03-12,49,5.57
2010-03-19,32,6.41
2010-03-26,49,6.36
2010-04-09,69,6.21
2010-04-16,43,6.48
2010-04-23,37,6.56
2010-04-30,29,6.02
2010-05-07,37,5.47
2010-05-14,44,5.59
2010-05-21,44,5.31
2010-05-28,45,5.33
2010-06-04,45,5.21
2010-06-11,45,5.09
2010-06-18,45,5.27
2010-06-25,30,4.91
2010-07-02,34,4.5
2010-07-09,38,4.81
2010-07-16,42,4.76
2010-07-23,31,4.85
2010-07-30,31,4.03
2010-08-06,31,4.38
2010-08-13,28,4.2
2010-08-20,34,4.42
2010-08-27,32,4.18
2010-09-03,32,4.32
2010-09-10,32,4.18
2010-09-17,31,4.44
2010-09-24,38,4.47
2010-10-01,45,4.55
2010-10-08,27,4.55
2010-10-15,35,4.66
2010-10-22,34,4.69
2010-10-29,39,5.24
2010-11-05,29,5.61
2010-11-12,29,5.52
2010-11-19,23,5.69
2010-11-26,23,5.8
2010-12-03,23,5.97
2010-12-10,26,5.99
2010-12-17,29,6
2010-12-31,31,5.99
2011-01-07,31,6.05
2011-01-14,36,6.22
2011-01-21,38,5.76
2011-01-28,38,6.13
2011-02-04,38,6.36
2011-02-11,26,6.48
2011-02-18,24,6.75
2011-02-25,21,6.42
2011-03-04,28,6.28
2011-03-11,24,6.6
2011-03-18,48,6.39
2011-03-25,26,6.94
2011-04-01,32,6.66
2011-04-08,55,6.63
2011-04-15,35,6.59
2011-04-29,22,7.33
2011-05-06,30,7.52
2011-05-13,28,7.62
2011-05-20,41,7.51
2011-05-27,26,7.31
2011-06-03,25,7.02
2011-06-10,25,6.81
2011-06-17,27,6.74
2011-06-24,28,6.83
2011-07-01,26,7.25
2011-07-08,22,7.27
2011-07-15,26,6.69
2011-07-22,21,6.71
