"Date","SYMC","Price"
2004-12-17,66,25.37
2005-01-28,55,22.67
2005-02-04,51,23.43
2005-02-11,38,21.6
2005-05-06,39,19.33
2005-05-13,42,19.27
2005-05-20,46,22.11
2005-05-27,34,22.25
2005-06-03,34,22.44
2005-06-10,33,21.28
2005-06-17,37,21.61
2005-06-24,41,21.25
2005-07-01,53,21.22
2005-07-08,65,21.97
2005-07-15,96,23.85
2005-07-22,67,23.61
2005-07-29,67,21.95
2005-08-05,44,22.05
2005-08-12,60,21.76
2005-08-19,47,21.2
2005-08-26,34,20.33
2005-09-02,34,21.16
2005-09-09,40,22.55
2005-09-16,49,21.93
2005-09-23,42,21.2
2005-09-30,62,22.66
2005-10-07,57,21.92
2005-10-14,45,22.09
2005-10-21,33,22.6
2005-10-28,66,23.02
2005-11-04,100,18.63
2005-11-11,76,19.61
2005-11-18,42,18.43
2005-11-25,60,17.64
2005-12-02,62,18.05
2005-12-09,31,17.69
2005-12-16,36,17.1
2005-12-23,55,17.26
2005-12-30,56,17.5
2006-01-06,68,19.01
2006-01-13,50,19.45
2006-01-20,26,18.61
2006-01-27,65,17.97
2006-02-03,85,16.72
2006-02-10,71,17.14
2006-02-17,47,17.52
2006-02-24,53,17.39
2006-03-03,55,16.94
2006-03-10,49,16.04
2006-03-17,66,15.53
2006-03-24,37,16.01
2006-03-31,45,16.83
2006-04-07,59,16.53
2006-04-21,56,16.15
2006-04-28,43,16.38
2006-05-05,32,17.76
2006-05-12,80,17.02
2006-05-19,66,16.3
2006-05-26,30,15.99
2006-06-02,51,15.89
2006-06-09,28,15.4
2006-06-16,31,15.68
2006-06-23,28,15.62
2006-06-30,35,15.54
2006-07-07,27,15.14
2006-07-14,22,15.17
2006-07-21,38,15.32
2006-07-28,70,17.42
2006-08-04,43,17.21
2006-08-11,28,17.58
2006-08-18,45,18.34
2006-08-25,43,18.9
2006-09-01,63,18.74
2006-09-08,30,18.78
2006-09-15,58,19.77
2006-09-22,69,21.08
2006-09-29,51,21.28
2006-10-06,43,20.82
2006-10-13,52,21.63
2006-10-20,48,20.93
2006-10-27,53,18.82
2006-11-03,43,19.91
2006-11-10,48,20.11
2006-11-17,56,20.66
2006-11-24,21,20.93
2006-12-01,38,20.64
2006-12-08,30,19.93
2006-12-15,40,21.17
2006-12-22,33,20.83
2006-12-29,30,20.85
2007-01-05,30,21.34
2007-01-12,36,20.48
2007-01-19,51,17.54
2007-01-26,46,17.77
2007-02-02,44,18.06
2007-02-09,39,17.87
2007-02-16,42,17.95
2007-02-23,34,17.36
2007-03-02,39,16.9
2007-03-09,48,16.84
2007-03-16,47,16.9
2007-03-23,38,17.54
2007-03-30,48,17.3
2007-04-13,21,17.4
2007-04-20,26,17.63
2007-04-27,39,17.71
2007-05-04,87,19.4
2007-05-11,55,19.65
2007-05-18,43,19.86
2007-05-25,49,19.79
2007-06-01,44,19.97
2007-06-08,50,19.7
2007-06-15,38,19.7
2007-06-22,30,19.91
2007-06-29,37,20.2
2007-07-06,32,19.83
2007-07-13,27,19.8
2007-07-20,31,19.76
2007-07-27,58,19.44
2007-08-03,26,18.55
2007-08-10,30,17.87
2007-08-17,26,18.1
2007-08-24,35,18.91
2007-08-31,30,18.81
2007-09-07,35,18.8
2007-09-14,32,19.51
2007-09-21,29,19.28
2007-09-28,32,19.38
2007-10-05,37,20.39
2007-10-12,38,21.13
2007-10-19,40,19.99
2007-10-26,50,18.37
2007-11-02,43,18.51
2007-11-09,36,16.9
2007-11-16,29,17.68
2007-11-23,32,17.55
2007-11-30,38,17.8
2007-12-07,28,17.71
2007-12-14,37,16.94
2007-12-21,24,16.85
2007-12-28,20,16.26
2008-01-04,31,15.72
2008-01-11,34,15.27
2008-01-18,32,15.18
2008-01-25,49,16.38
2008-02-01,33,18.66
2008-02-08,37,17.9
2008-02-15,32,17.54
2008-02-22,27,17.48
2008-02-29,33,16.84
2008-03-07,30,16.94
2008-03-14,29,16.46
2008-03-28,31,16.82
2008-04-04,37,17.34
2008-04-11,29,16.87
2008-04-18,35,17.69
2008-04-25,19,17.47
2008-05-02,51,19.45
2008-05-09,45,19.99
2008-05-16,44,20.76
2008-05-23,37,20.66
2008-05-30,40,21.73
2008-06-06,30,20.21
2008-06-13,36,20.21
