"Date","The.Coca.Cola.Company","Price"
2004-04-23,100,51.05
2005-02-18,70,42.96
2005-04-15,77,41.29
2005-04-22,56,42.13
2005-04-29,56,43.44
2005-05-06,56,44.19
2005-05-13,63,44.11
2005-05-20,58,45.05
2005-05-27,76,44.93
2005-10-21,49,41.93
2005-10-28,48,42.83
2005-11-04,54,42.3
2005-11-11,59,42.76
2005-11-18,64,42.2
2005-11-25,62,42.8
2005-12-02,62,42.82
2005-12-09,50,41.51
2005-12-16,52,41.21
2005-12-23,53,41.15
2005-12-30,54,40.31
2006-01-06,55,41.41
2006-01-13,56,41.31
2006-01-20,46,40.09
2006-01-27,37,41.97
2006-02-03,37,40.88
2006-02-10,37,41.16
2006-02-17,39,41.79
2006-02-24,41,42.23
2006-03-03,55,41.8
2006-03-10,43,42.77
2006-03-17,43,42.79
2006-03-24,35,42.66
2006-03-31,35,41.87
2006-04-07,38,41.35
2006-04-21,44,41.85
2006-04-28,42,41.96
2006-05-05,36,42.71
2006-05-12,37,43.18
2006-05-19,37,43.65
2006-05-26,38,44.49
2006-06-02,39,43.89
2006-06-09,40,43.55
2006-06-16,41,43.21
2006-06-23,42,42.75
2006-06-30,42,43.02
2006-07-07,35,43.18
2006-07-14,35,42.65
2006-07-21,35,43.9
2006-07-28,35,44.52
2006-08-04,35,43.85
2006-08-11,34,43.76
2006-08-18,38,44.31
2006-08-25,43,44.52
2006-09-01,47,45.07
2006-09-08,32,44.6
2006-09-15,40,44.6
2006-09-22,60,43.99
2006-09-29,39,44.68
2006-10-06,51,44.76
2006-10-13,51,44.02
2006-10-20,54,46.75
2006-10-27,58,46.87
2006-11-03,60,46.5
2006-11-10,39,46.47
2006-11-17,41,47.26
2006-11-24,56,46.92
2006-12-01,67,46.57
2006-12-08,43,48.91
2006-12-15,34,48.93
2006-12-22,34,48.38
2006-12-29,34,48.25
2007-01-05,39,48.26
2007-01-12,43,48.55
2007-01-19,32,48.26
2007-01-26,30,47.83
2007-02-02,49,48.24
2007-02-09,46,47.76
2007-02-16,39,47.87
2007-02-23,47,47.26
2007-03-02,55,45.89
2007-03-09,28,47.57
2007-03-16,50,47.21
2007-03-23,42,48.05
2007-03-30,47,48
2007-04-13,33,49.88
2007-04-20,34,52.09
2007-04-27,36,52.06
2007-05-04,37,53.21
2007-05-11,38,52.69
2007-05-18,48,52.63
2007-05-25,36,51.89
2007-06-01,45,52.8
2007-06-08,49,51.67
2007-06-15,36,51.58
2007-06-22,32,51.62
2007-06-29,33,52.31
2007-07-06,30,52.6
2007-07-13,45,53.11
2007-07-20,33,53.21
2007-07-27,32,52.28
2007-08-03,34,53.28
2007-08-10,28,54.98
2007-08-17,23,54.45
2007-08-24,45,54
2007-08-31,40,53.78
2007-09-07,31,54.59
2007-09-14,42,56.4
2007-09-21,34,56.55
2007-09-28,41,57.47
2007-10-05,37,58.07
2007-10-12,31,57.8
2007-10-19,34,58.76
2007-10-26,35,61.57
2007-11-02,38,60.51
2007-11-09,43,60.83
2007-11-16,32,62.62
2007-11-23,53,62.3
2007-11-30,53,62.1
2007-12-07,55,63.15
2007-12-14,35,63.81
2007-12-21,25,63.07
2007-12-28,34,62.27
2008-01-04,43,61.85
2008-01-11,52,63.77
2008-01-18,37,60.74
2008-01-25,18,58.41
2008-02-01,45,59.26
2008-02-08,45,59.25
2008-02-15,45,58.76
2008-02-22,33,58.26
2008-02-29,51,58.46
2008-03-07,29,58.85
2008-03-14,44,57.53
2008-03-28,40,60.94
2008-04-04,31,60.25
2008-04-11,53,60.29
2008-04-18,38,60.11
2008-04-25,25,59.33
2008-05-02,42,58.77
2008-05-09,40,56.15
2008-05-16,41,57.07
2008-05-23,34,58.63
2008-05-30,38,57.26
2008-06-06,28,55.8
2008-06-13,44,55.42
2008-06-20,17,53.66
2008-06-27,35,51.84
2008-07-11,17,50.27
2008-07-18,23,50.03
2008-07-25,22,52.06
2008-08-01,20,53.14
2008-08-08,33,55.41
2008-08-15,27,55.06
2008-08-22,29,54.37
2008-08-29,19,52.07
2008-09-05,37,51.93
2008-09-12,29,54.5
2008-09-19,21,52.72
2008-09-26,40,52.48
2008-10-03,31,52.57
2008-10-10,37,41.5
2008-10-17,37,44.2
2008-10-24,30,41.61
2008-10-31,39,44.06
2008-11-07,49,46.25
2008-11-14,44,45.02
2008-11-21,34,44
2008-11-28,35,46.87
2008-12-05,34,45.98
2008-12-12,48,44.57
2008-12-19,26,44.43
2008-12-26,27,44.58
2009-01-02,15,45.9
2009-01-09,27,44.6
