"Date","Bank.of.America.Corp","Price"
2007-03-16,75,49.62
2007-05-04,66,51.24
2007-05-11,61,50.95
2007-05-18,61,51.28
2007-05-25,61,51.2
2007-06-01,61,50.78
2007-06-08,64,50.26
2007-06-15,67,50.08
2007-09-07,62,49.02
2007-11-09,60,43.98
2007-11-16,58,44.37
2007-11-23,58,43.15
2007-11-30,58,46.13
2007-12-07,53,45.37
2007-12-14,53,42.16
2007-12-21,62,41.92
2007-12-28,70,41.1
2008-01-04,78,39.85
2008-01-11,86,38.5
2008-01-18,60,35.97
2008-01-25,60,39.48
2008-02-01,50,45.03
2008-02-08,80,42.16
2008-02-15,59,42.7
2008-02-22,59,42.6
2008-02-29,93,39.74
2008-03-07,66,36.74
2008-03-14,56,35.69
2008-03-28,49,38.07
2008-04-04,57,39.41
2008-04-11,56,36.94
2008-04-18,63,38.56
2008-04-25,70,38.3
2008-05-02,77,39.79
2008-05-09,44,36.65
2008-05-16,52,36.17
2008-05-23,60,33.93
2008-05-30,69,34.01
2008-06-06,78,30.5
2008-06-13,87,29.78
2008-06-20,62,27.1
2008-06-27,62,24.59
2008-07-11,66,21.67
2008-07-18,89,27.49
2008-07-25,50,29.58
2008-08-01,70,33.33
2008-08-08,45,32.25
2008-08-15,45,30.7
2008-08-22,54,30.21
2008-08-29,63,31.14
2008-09-05,45,32.23
2008-09-12,55,33.74
2008-09-19,83,37.48
2008-09-26,55,36.7
2008-10-03,90,34.48
2008-10-10,100,20.87
2008-10-17,64,23.24
2008-10-24,74,21.07
2008-10-31,43,24.17
2008-11-07,50,20.49
2008-11-14,43,16.42
2008-11-21,43,11.47
2008-11-28,43,16.25
2008-12-05,43,15.24
2008-12-12,44,14.93
2008-12-19,44,13.8
2008-12-26,35,13.36
2009-01-02,35,14.33
2009-01-09,35,12.99
2009-01-16,55,7.18
2009-01-23,58,6.24
2009-01-30,72,6.58
2009-02-06,74,6.13
2009-02-13,40,5.57
2009-02-20,34,3.79
2009-02-27,61,3.95
2009-03-06,59,3.14
2009-03-13,66,5.76
2009-03-20,53,6.19
2009-03-27,39,7.34
2009-04-03,63,7.6
2009-04-17,51,10.6
2009-04-24,68,9.1
2009-05-01,69,8.7
2009-05-08,59,14.17
2009-05-15,54,10.67
2009-05-22,54,11.07
2009-05-29,38,11.27
2009-06-05,60,11.86
2009-06-12,69,13.72
2009-06-19,47,13.22
2009-06-26,34,12.75
2009-07-10,42,11.88
2009-07-17,45,12.89
2009-07-24,39,12.51
2009-07-31,39,14.79
2009-08-07,49,16.42
2009-08-14,32,17.39
2009-08-21,38,17.46
2009-08-28,43,17.98
2009-09-04,45,17.09
2009-09-11,48,16.97
2009-09-18,41,17.63
2009-09-25,68,16.6
2009-10-02,43,16.34
2009-10-09,55,17.5
2009-10-16,54,17.26
2009-10-23,53,16.22
2009-10-30,44,14.58
2009-11-06,30,15.05
2009-11-13,38,15.98
2009-11-20,27,16.09
2009-11-27,28,15.47
2009-12-04,72,16.28
2009-12-11,46,15.63
2009-12-18,50,15.03
2010-01-08,29,16.78
2010-01-15,44,16.26
2010-01-22,56,14.9
2010-01-29,45,15.18
2010-02-05,28,15
2010-02-12,30,14.45
2010-02-19,38,15.88
2010-02-26,47,16.66
2010-03-05,55,16.7
2010-03-12,42,16.85
2010-03-19,45,16.82
2010-03-26,47,17.9
2010-04-09,42,18.59
2010-04-16,40,18.41
2010-04-23,59,18.43
2010-04-30,43,17.83
2010-05-07,48,16.18
2010-05-14,38,16.34
2010-05-21,38,15.99
2010-05-28,38,15.74
2010-06-04,31,15.35
2010-06-11,51,15.6
2010-06-18,33,15.82
2010-06-25,31,15.42
2010-07-02,26,13.84
2010-07-09,49,15.11
2010-07-16,46,13.98
2010-07-23,32,13.74
2010-07-30,41,14.04
2010-08-06,27,13.96
2010-08-13,38,13.23
2010-08-20,34,12.87
2010-08-27,40,12.64
2010-09-03,27,13.5
2010-09-10,30,13.55
2010-09-17,27,13.4
2010-09-24,33,13.6
2010-10-01,28,13.3
2010-10-08,37,13.18
2010-10-15,37,11.98
2010-10-22,55,11.44
2010-10-29,23,11.45
2010-11-05,34,12.36
2010-11-12,40,12.12
2010-11-19,42,11.66
2010-11-26,40,11.12
2010-12-03,46,11.86
2010-12-10,35,12.8
2010-12-17,31,12.57
2010-12-31,26,13.34
2011-01-07,45,14.25
2011-01-14,41,15.25
2011-01-21,50,14.25
2011-01-28,38,13.6
2011-02-04,24,14.29
2011-02-11,32,14.77
2011-02-18,28,14.75
2011-02-25,44,14.2
2011-03-04,42,14.12
2011-03-11,34,14.38
2011-03-18,39,14.04
2011-03-25,44,13.34
2011-04-01,49,13.37
2011-04-08,45,13.48
2011-04-15,39,12.82
2011-04-29,33,12.28
2011-05-06,26,12.31
2011-05-13,30,11.93
2011-05-20,46,11.58
2011-05-27,19,11.69
2011-06-03,25,11.28
2011-06-10,27,10.8
2011-06-17,41,10.68
2011-06-24,26,10.52
2011-07-01,30,11.09
2011-07-08,30,10.7
2011-07-15,53,10
2011-07-22,41,10.13
2011-07-29,20,9.71
2011-08-05,48,8.17
2011-08-12,69,7.19
2011-08-19,42,6.97
2011-08-26,51,7.76
2011-09-02,35,7.25
2011-09-09,29,6.98
2011-09-16,31,7.23
2011-09-23,34,6.31
2011-09-30,32,6.12
2011-10-07,45,5.9
2011-10-14,35,6.19
2011-10-21,51,6.46
2011-10-28,28,7.35
2011-11-04,39,6.49
2011-11-11,39,6.21
2011-11-18,38,5.78
2011-11-25,28,5.17
2011-12-02,29,5.64
2011-12-09,38,5.72
2011-12-16,25,5.2
2011-12-23,32,5.6
2011-12-30,32,5.56
2012-01-06,32,6.18
2012-01-13,24,6.61
2012-01-20,41,7.07
2012-01-27,37,7.29
2012-02-03,24,7.84
2012-02-10,28,8.07
2012-02-17,32,8.02
2012-02-24,29,7.88
2012-03-02,30,8.13
2012-03-09,28,8.05
2012-03-16,42,9.8
2012-03-23,37,9.85
2012-03-30,40,9.57
2012-04-13,35,8.68
2012-04-20,38,8.36
2012-04-27,20,8.25
2012-05-04,25,7.74
2012-05-11,33,7.55
2012-05-18,30,7.02
2012-05-25,38,7.15
2012-06-01,22,7.02
2012-06-08,27,7.56
2012-06-15,19,7.9
2012-06-22,34,7.94
2012-06-29,29,8.18
2012-07-06,22,7.66
2012-07-13,24,7.82
2012-07-20,33,7.07
2012-07-27,41,7.31
2012-08-03,31,7.43
2012-08-10,28,7.74
2012-08-17,19,8
2012-08-24,28,8.16
2012-08-31,26,7.99
2012-09-07,21,8.8
2012-09-14,30,9.55
2012-09-21,18,9.11
2012-09-28,42,8.83
2012-10-05,40,9.32
2012-10-12,20,9.12
2012-10-19,21,9.44
2012-10-26,26,9.12
2012-11-02,32,9.85
2012-11-09,38,9.43
2012-11-16,22,9.12
2012-11-23,17,9.9
2012-11-30,35,9.86
2012-12-07,28,10.64
2012-12-14,25,10.58
2012-12-21,30,11.29
2012-12-28,23,11.36
2013-01-04,23,12.11
2013-01-11,33,11.63
2013-01-18,23,11.14
2013-01-25,24,11.62
2013-02-01,26,11.71
2013-02-08,34,11.76
2013-02-15,23,12.03
2013-02-22,29,11.44
2013-03-01,24,11.34
2013-03-08,33,12.07
2013-03-15,27,12.57
2013-03-22,16,12.56
2013-04-05,22,11.97
2013-04-12,15,12.17
2013-04-19,27,11.66
2013-04-26,32,12.42
2013-05-03,19,12.24
2013-05-10,21,13.02
2013-05-17,28,13.43
2013-05-24,30,13.24
2013-05-31,28,13.66
2013-06-07,22,13.38
2013-06-14,30,13.07
2013-06-21,24,12.69
2013-06-28,20,12.86
2013-07-05,20,13.06
2013-07-12,25,13.78
2013-07-19,19,14.75
2013-07-26,21,14.73
2013-08-02,16,14.84
2013-08-09,27,14.45
2013-08-16,19,14.42
2013-08-23,28,14.57
2013-08-30,23,14.12
2013-09-06,16,14.36
2013-09-13,23,14.49
2013-09-20,21,14.44
2013-09-27,22,13.9
2013-10-04,22,14.05
2013-10-11,18,14.19
2013-10-18,22,14.63
2013-10-25,31,14.26
2013-11-01,28,14.02
2013-11-08,12,14.32
2013-11-15,22,14.92
2013-11-22,14,15.64
2013-11-29,14,15.82
2013-12-06,31,15.56
2013-12-13,28,15.18
2013-12-20,24,15.6
2013-12-27,16,15.67
2014-01-03,15,16.41
2014-01-10,30,16.77
2014-01-17,31,17.01
2014-01-24,27,16.45
2014-01-31,29,16.75
2014-02-07,22,16.82
2014-02-14,21,16.7
2014-02-21,21,16.29
2014-02-28,10,16.53
2014-03-07,23,17.33
2014-03-14,26,16.8
2014-03-21,26,17.56
2014-03-28,26,16.98
2014-04-04,22,16.72
2014-04-11,25,15.77
2014-04-25,15,15.95
