"Date","sell.V","Price"
2008-03-28,9,62.76
2008-04-04,9,64.48
2008-04-11,9,66.11
2008-04-18,9,69
2008-04-25,9,75.1
2008-05-02,9,82.75
2008-05-09,6,82.86
2008-05-16,6,82.37
2008-05-23,6,76.35
2008-05-30,6,86.36
2008-06-06,6,83.65
2008-06-13,6,81.53
2008-06-20,6,83.57
2008-06-27,6,82.6
2008-07-11,8,74.55
2008-07-18,6,73.4
2008-07-25,6,71.96
2008-08-01,6,71.73
2008-08-08,6,72.6
2008-08-15,6,75.79
2008-08-22,7,74.09
2008-08-29,6,75.9
2008-09-05,6,71.76
2008-09-12,6,71.65
2008-09-19,6,69.57
2008-09-26,6,62.04
2008-10-03,7,56.84
2008-10-10,7,52
2008-10-17,6,52.22
2008-10-24,7,47.98
2008-10-31,7,55.35
2008-11-07,7,53.5
2008-11-14,5,54.24
2008-11-21,5,46.38
2008-11-28,5,52.56
2008-12-05,5,53.18
2008-12-12,5,52.95
2008-12-19,5,54.97
2008-12-26,5,53.25
2009-01-02,5,53.44
2009-01-09,5,55.62
2009-01-16,5,47.41
2009-01-23,6,44.32
2009-01-30,6,49.35
2009-02-06,6,55.41
2009-02-13,7,55.95
2009-02-20,8,55.66
2009-02-27,10,56.71
2009-03-06,10,50.19
2009-03-13,8,52.05
2009-03-20,7,52.53
2009-03-27,7,54.25
2009-04-03,8,60.08
2009-04-17,6,58
2009-04-24,6,60.38
2009-05-01,8,65.01
2009-05-08,10,68.43
2009-05-15,11,65.07
2009-05-22,6,65.75
2009-05-29,6,67.71
2009-06-05,6,69.28
2009-06-12,6,64.36
2009-06-19,4,61.37
2009-06-26,5,63.82
2009-07-10,6,59.86
2009-07-17,7,64.1
2009-07-24,5,67.29
2009-07-31,5,65.46
2009-08-07,6,69.17
2009-08-14,8,67.8
2009-08-21,7,69
2009-08-28,7,70.5
2009-09-04,8,70.36
2009-09-11,7,72.29
2009-09-18,4,73.79
2009-09-25,5,70.66
2009-10-02,4,67.79
2009-10-09,6,72.94
2009-10-16,6,74.29
2009-10-23,6,74.12
2009-10-30,5,75.76
2009-11-06,7,79.67
2009-11-13,7,80
2009-11-20,5,80
2009-11-27,7,80.33
2009-12-04,7,80.27
2009-12-11,4,81.34
2009-12-18,5,88.97
2010-01-08,5,87
2010-01-15,5,86.14
2010-01-22,5,82.73
2010-01-29,5,82.03
2010-02-05,7,82.56
2010-02-12,6,84.78
2010-02-19,6,86.81
2010-02-26,6,85.28
2010-03-05,18,88.51
2010-03-12,7,93.25
2010-03-19,8,88.84
2010-03-26,11,90.25
2010-04-09,6,92.52
2010-04-16,6,93.85
2010-04-23,5,96.59
2010-04-30,5,90.23
2010-05-07,5,82.29
2010-05-14,4,77.26
2010-05-21,7,74.2
2010-05-28,4,72.46
2010-06-04,6,72.13
2010-06-11,5,76.08
2010-06-18,6,77.04
2010-06-25,7,76.66
2010-07-02,4,73.18
2010-07-09,4,77.38
2010-07-16,4,71.45
2010-07-23,9,75.59
2010-07-30,8,73.35
2010-08-06,5,72.14
2010-08-13,6,72.22
2010-08-20,5,70.1
2010-08-27,5,71.11
2010-09-03,6,72.5
2010-09-10,5,68.09
2010-09-17,6,68.49
2010-09-24,5,72.37
2010-10-01,6,73.32
2010-10-08,4,74
2010-10-15,9,77.6
2010-10-22,6,79.29
2010-10-29,7,78.16
2010-11-05,8,79.8
2010-11-12,6,76.94
2010-11-19,6,77.05
2010-11-26,6,75.48
2010-12-03,6,77.35
2010-12-10,6,80.2
2010-12-17,6,66.9
2010-12-31,7,70.38
2011-01-07,5,72.96
2011-01-14,5,71.12
2011-01-21,4,70.15
2011-01-28,8,69.46
2011-02-04,8,72.9
2011-02-11,9,74.93
2011-02-18,9,75.83
2011-02-25,8,74.68
2011-03-04,22,74.69
2011-03-11,10,72.51
2011-03-18,6,71.42
2011-03-25,8,72.09
2011-04-01,10,74.22
2011-04-08,5,76.72
2011-04-15,6,76.47
2011-04-29,8,78.12
2011-05-06,8,79.41
2011-05-13,6,79.91
