"Date","buy.MTB","Price"
2008-07-11,100,69.7
2008-10-24,56,75.25
2009-03-27,49,47.74
2009-04-03,49,47.31
2009-04-17,49,59.97
2009-04-24,49,53.56
2009-05-01,50,49.39
2009-05-08,59,55.09
2009-06-26,47,49.15
2009-07-10,53,51.36
2009-08-28,47,61.64
2009-09-04,48,58.46
2009-09-11,49,59.33
2009-10-30,50,62.85
2009-11-06,41,62.83
2009-11-13,41,62.5
2009-11-20,41,65.85
2009-11-27,41,63.85
2009-12-04,41,63.44
2010-03-26,41,80.81
2010-04-09,46,85.34
2010-04-16,46,84.25
2010-04-23,46,88.49
2010-04-30,46,87.35
2010-05-07,46,84.07
2010-05-14,54,87.25
2010-05-21,57,84
2010-05-28,50,79.24
2010-06-04,51,75.36
2010-06-11,52,78.39
2010-06-18,53,90.71
2010-06-25,54,88.37
2010-07-02,47,84.89
2010-07-09,41,90.23
2010-07-16,58,85.73
2010-07-23,66,89.56
2010-07-30,51,87.34
2010-08-06,51,86.88
2010-08-13,51,85.35
2010-08-20,47,89.76
2010-08-27,35,87.78
2010-10-08,45,76.84
2010-10-15,32,75.22
2010-10-22,32,74.44
2010-10-29,35,74.75
2010-11-05,36,82.7
2010-11-12,38,80.98
2010-11-19,31,77.8
2010-11-26,47,76.45
2010-12-03,36,80.86
2010-12-10,52,85.02
2010-12-17,34,82.75
2010-12-31,32,87.05
2011-01-07,32,86.82
2011-01-14,32,86.38
2011-01-21,41,86.77
2011-01-28,49,86.35
2011-02-04,29,87.49
2011-02-11,29,89.86
2011-02-18,28,91.01
2011-02-25,29,88.56
2011-03-04,30,88.01
2011-03-11,33,87.7
2011-03-18,37,87.57
2011-03-25,28,87.54
2011-04-01,42,89.69
2011-04-08,34,87.7
2011-04-15,42,85.35
2011-04-29,35,88.37
2011-05-06,59,86.43
2011-05-13,40,86.39
2011-05-20,36,88.04
2011-05-27,31,87.62
2011-06-03,43,85.79
2011-06-10,41,84.41
2011-06-17,47,88.02
2011-06-24,28,85.32
2011-07-01,39,89.03
2011-07-08,51,87.56
2011-07-15,40,85.56
2011-07-22,33,89.08
2011-07-29,50,86.24
2011-08-05,31,78.65
2011-08-12,27,73.04
2011-08-19,30,69.86
2011-08-26,53,74.39
2011-09-02,31,72.29
2011-09-09,41,70.5
2011-09-16,28,74.15
2011-09-23,36,69.01
2011-09-30,48,69.9
2011-10-07,35,70.82
2011-10-14,36,75.72
2011-10-21,45,74.94
2011-10-28,27,78.3
2011-11-04,34,72.1
2011-11-11,34,73.91
2011-11-18,34,71.76
2011-11-25,34,67.7
2011-12-02,29,73.88
2011-12-09,33,73.01
2011-12-16,38,72.75
2011-12-23,33,76.89
2011-12-30,58,76.34
2012-01-06,34,79.45
2012-01-13,34,82.34
2012-01-20,34,81.72
2012-01-27,29,80.11
2012-02-03,42,82.45
2012-02-10,46,79.8
2012-02-17,22,82.92
2012-02-24,44,81.77
2012-03-02,42,80.59
2012-03-09,38,81.35
2012-03-16,46,85.69
2012-03-23,47,85.86
2012-03-30,38,86.88
2012-04-13,41,84.43
2012-04-20,28,87.39
2012-04-27,48,87.38
2012-05-04,25,85.56
2012-05-11,43,84.8
2012-05-18,39,80.71
2012-05-25,66,81.82
2012-06-01,37,78.57
2012-06-08,58,79.93
2012-06-15,34,81.04
2012-06-22,44,80.96
2012-06-29,46,82.57
2012-07-06,29,83.88
2012-07-13,37,83.98
2012-07-20,48,84.97
2012-07-27,33,86.45
2012-08-03,44,87.42
2012-08-10,51,86.66
2012-08-17,47,87.28
2012-08-24,45,85.87
2012-08-31,43,86.9
2012-09-07,55,90.74
2012-09-14,46,94.8
2012-09-21,42,94.99
2012-09-28,47,95.16
2012-10-05,45,98.51
2012-10-12,48,96.32
2012-10-19,42,103.7
2012-10-26,20,103.44
2012-11-02,41,103.55
2012-11-09,53,99.09
2012-11-16,47,97.1
2012-11-23,31,99.67
2012-11-30,40,97.73
2012-12-07,34,97.64
2012-12-14,34,97.91
2012-12-21,22,99.86
2012-12-28,41,97.55
2013-01-04,35,102.8
2013-01-11,29,103.24
2013-01-18,45,103.29
2013-01-25,24,103.99
2013-02-01,47,103.92
2013-02-08,56,104.39
2013-02-15,29,104.83
2013-02-22,54,104.73
2013-03-01,49,102.66
2013-03-08,46,103.96
2013-03-15,36,104.35
2013-03-22,52,103.12
2013-04-05,48,101.2
2013-04-12,38,100.24
2013-04-19,33,98.75
2013-04-26,46,99.82
2013-05-03,43,100.77
2013-05-10,37,103.52
2013-05-17,53,105.94
2013-05-24,46,104.71
2013-05-31,54,104.9
2013-06-07,54,103.74
2013-06-14,42,102.51
2013-06-21,39,106.25
2013-06-28,35,111.75
2013-07-05,38,116.4
2013-07-12,47,117.78
2013-07-19,39,118.23
2013-07-26,52,117.25
2013-08-02,39,119.12
2013-08-09,59,117.67
2013-08-16,64,116.77
2013-08-23,37,118.26
2013-08-30,59,113.34
2013-09-06,51,114.98
2013-09-13,37,111.93
2013-09-20,42,111.53
2013-09-27,67,112.08
2013-10-04,48,112.83
2013-10-11,35,114.45
2013-10-18,32,114.8
2013-10-25,34,112.55
2013-11-01,43,111.9
2013-11-08,37,113.87
2013-11-15,33,113.23
2013-11-22,21,116.12
2013-11-29,38,115.36
2013-12-06,22,114.3
2013-12-13,45,113.75
2013-12-20,40,114.34
2013-12-27,32,116.07
2014-01-03,37,115.21
2014-01-10,43,116
2014-01-17,43,111.99
2014-01-24,46,111.27
2014-01-31,35,111.51
2014-02-07,38,113
2014-02-14,37,114.06
2014-02-21,28,113.51
2014-02-28,32,116.59
2014-03-07,32,119.38
2014-03-14,44,117.43
2014-03-21,39,121.13
2014-03-28,44,120.44
2014-04-04,60,120.55
2014-04-11,36,118.22
2014-04-25,52,122.24
