"Date","SRE","Price"
2004-02-06,26,31.14
2004-02-13,41,31.01
2004-02-20,32,30.94
2004-02-27,35,31.7
2004-03-05,44,32.96
2004-03-12,37,31.91
2004-03-19,41,31.65
2004-03-26,38,31.03
2004-04-02,36,32.11
2004-04-16,34,31.27
2004-04-23,48,31.74
2004-04-30,38,31.75
2004-05-07,41,32.21
2004-05-14,26,31.64
2004-05-21,35,31.22
2004-05-28,44,33.37
2004-06-04,38,33.24
2004-06-18,32,34.6
2004-06-25,28,34.47
2004-07-02,29,34.57
2004-07-09,32,34.5
2004-07-16,35,35.45
2004-07-23,36,34.83
2004-07-30,48,35.75
2004-08-06,34,36.09
2004-08-13,31,35.53
2004-08-20,30,36.7
2004-08-27,33,36.2
2004-09-03,40,36.88
2004-09-10,46,36.44
2004-09-17,32,36.6
2004-09-24,43,35.9
2004-10-01,45,36.5
2004-10-08,38,36.96
2004-10-15,36,36.34
2004-10-22,43,34.1
2004-10-29,49,33.54
2004-11-05,42,35.35
2004-11-12,32,36.8
2004-11-19,45,36.53
2004-11-26,34,37.74
2004-12-03,38,36.3
2004-12-10,35,35.4
2004-12-17,38,37
2004-12-31,23,36.68
2005-01-07,39,36.05
2005-01-14,44,36.38
2005-01-21,41,36.05
2005-01-28,55,36.9
2005-02-04,40,38.91
2005-02-11,39,40.29
2005-02-18,33,39.5
2005-02-25,36,39.64
2005-03-04,48,40.85
2005-03-11,54,39.99
2005-03-18,46,40.56
2005-04-01,45,40.04
2005-04-08,51,40.23
2005-04-15,50,38.63
2005-04-22,45,39.84
2005-04-29,50,40.38
2005-05-06,40,39.13
2005-05-13,48,37.82
2005-05-20,36,38.54
2005-05-27,46,39.22
2005-06-03,37,39.78
2005-06-10,40,40.05
2005-06-17,42,40.13
2005-06-24,34,40.62
2005-07-01,29,41.82
2005-07-08,39,42
2005-07-15,46,42.34
2005-07-22,42,42.27
2005-07-29,43,42.5
2005-08-05,43,42
2005-08-12,43,42.14
2005-08-19,43,43.5
2005-08-26,36,43.99
2005-09-02,48,45.14
2005-09-09,49,45.7
2005-09-16,42,46.76
2005-09-23,48,45.5
2005-09-30,46,47.06
2005-10-07,51,43.97
2005-10-14,45,42.94
2005-10-21,42,41.46
2005-10-28,46,43.04
2005-11-04,37,42.8
2005-11-11,44,43.23
2005-11-18,46,42.34
2005-11-25,48,43.5
2005-12-02,54,44.54
2005-12-09,51,45.51
2005-12-16,41,46.57
2005-12-23,42,45.14
2005-12-30,31,44.84
2006-01-06,52,46.99
2006-01-13,60,47.22
2006-01-20,57,47.73
2006-01-27,57,48.25
2006-02-03,65,47.02
2006-02-10,63,46.88
2006-02-17,49,47.86
2006-02-24,61,48.58
2006-03-03,59,46.65
2006-03-10,62,46.51
2006-03-17,55,47.23
2006-03-24,49,47.22
2006-03-31,49,46.46
2006-04-07,58,45.88
2006-04-21,57,45.9
2006-04-28,39,46.02
2006-05-05,49,46.95
2006-05-12,54,44.36
2006-05-19,44,44.04
2006-05-26,47,45.17
2006-06-02,48,46.11
2006-06-09,58,44.6
2006-06-16,43,44.38
2006-06-23,46,43.86
2006-06-30,43,45.48
2006-07-07,44,46.08
2006-07-14,46,44.91
2006-07-21,46,47.02
2006-07-28,45,48.47
2006-08-04,43,47.44
2006-08-11,45,47.04
2006-08-18,45,47.69
2006-08-25,53,48.41
2006-09-01,41,49.7
2006-09-08,39,49.86
2006-09-15,47,49.47
2006-09-22,52,48.79
2006-09-29,45,50.25
2006-10-06,61,51.26
2006-10-13,52,52.25
2006-10-20,55,53.81
2006-10-27,55,53.1
2006-11-03,53,52.57
2006-11-10,51,53.89
2006-11-17,53,54.59
2006-11-24,47,54.51
2006-12-01,47,55.05
2006-12-08,45,55.64
2006-12-15,47,56.75
2006-12-22,46,55.21
2006-12-29,41,56.04
2007-01-05,45,55.19
2007-01-12,63,55.48
2007-01-19,49,55.95
2007-01-26,65,57.3
2007-02-02,49,57.79
2007-02-09,49,60.37
2007-02-16,45,60.45
2007-02-23,48,60.6
2007-03-02,57,59.33
2007-03-09,53,59.85
2007-03-16,59,60.16
2007-03-23,46,61.99
2007-03-30,50,61.01
2007-04-13,51,63.85
2007-04-20,55,64.26
2007-04-27,59,64.13
2007-05-04,54,63.03
2007-05-11,51,62.13
2007-05-18,60,64.05
2007-05-25,44,61.88
2007-06-01,43,61.36
2007-06-08,50,59.1
2007-06-15,52,59.8
2007-06-22,54,58.85
2007-06-29,54,59.23
2007-07-06,47,59.3
2007-07-13,47,58.81
2007-07-20,51,58.71
2007-07-27,44,53.1
2007-08-03,49,53.93
2007-08-10,51,53.48
2007-08-17,44,53.68
2007-08-24,52,55.97
2007-08-31,52,55.03
2007-09-07,51,54.51
2007-09-14,47,56.29
2007-09-21,50,59.84
2007-09-28,50,58.12
2007-10-05,43,58.6
2007-10-12,54,59.27
2007-10-19,52,58.16
2007-10-26,51,60.05
2007-11-02,54,61.21
2007-11-09,53,60
2007-11-16,52,60.11
2007-11-23,50,60.58
2007-11-30,50,62.62
2007-12-07,50,63.59
2007-12-14,50,61.18
2007-12-21,49,62.72
2007-12-28,41,62.26
2008-01-04,43,60.25
