"Date","CBG","Price"
2004-06-18,51,19.03
2004-06-25,41,19
2004-07-02,33,19.15
2004-07-09,36,19
2004-07-16,39,18.9
2004-07-23,28,18.9
2004-07-30,25,18.94
2004-08-06,22,19.42
2004-08-13,26,19.2
2004-08-20,25,19.4
2004-08-27,25,19.33
2004-09-03,42,20.6
2004-09-10,32,22.36
2004-09-17,21,22
2004-09-24,28,22.6
2004-10-01,20,23.51
2004-10-08,37,24.9
2004-10-15,27,24.12
2004-10-22,27,25.02
2004-10-29,31,25.9
2004-11-05,34,26.8
2004-11-12,45,26.4
2004-11-19,38,25.78
2004-11-26,45,26.9
2004-12-03,39,30.8
2004-12-10,37,29.91
2004-12-17,35,29.8
2004-12-31,36,33.55
2005-01-07,37,32.2
2005-01-14,48,33.95
2005-01-21,41,33.53
2005-01-28,45,33.46
2005-02-04,41,37.04
2005-02-11,37,37.9
2005-02-18,58,37
2005-02-25,45,36.4
2005-03-04,35,37
2005-03-11,42,34.56
2005-03-18,29,34.94
2005-04-01,32,34.88
2005-04-08,56,34.18
2005-04-15,49,32.74
2005-04-22,42,34.41
2005-04-29,52,34.75
2005-05-06,34,34.38
2005-05-13,34,33.6
2005-05-20,49,37.2
2005-05-27,30,38.88
2005-06-03,52,38.54
2005-06-10,31,38.95
2005-06-17,64,40.13
2005-06-24,40,42.35
2005-07-01,33,43.13
2005-07-08,42,44.42
2005-07-15,42,42.15
2005-07-22,35,42.55
2005-07-29,42,46.04
2005-08-05,47,46.86
2005-08-12,45,47.7
2005-08-19,41,46.2
2005-08-26,50,43.3
2005-09-02,45,48.59
2005-09-09,35,49.48
2005-09-16,39,47.06
2005-09-23,32,45.39
2005-09-30,34,49.2
2005-10-07,42,47.1
2005-10-14,41,48.3
2005-10-21,43,45.87
2005-10-28,48,46.92
2005-11-04,43,54.05
2005-11-11,25,53.5
2005-11-18,41,53.33
2005-11-25,48,56.65
2005-12-02,29,55.49
2005-12-09,31,53.01
2005-12-16,46,57.95
2005-12-23,38,58.39
2005-12-30,26,58.85
2006-01-06,26,62.2
2006-01-13,43,61.35
2006-01-20,44,61.96
2006-01-27,45,62.99
2006-02-03,45,68.26
2006-02-10,43,65.12
2006-02-17,41,69.95
2006-02-24,42,69.83
2006-03-03,38,73.68
2006-03-10,40,70.8
2006-03-17,50,74.71
2006-03-24,44,77.44
2006-03-31,37,80.7
2006-04-07,36,81.71
2006-04-21,31,85.2
2006-04-28,43,87.89
2006-05-05,45,87.05
2006-05-12,46,83.44
2006-05-19,34,77.41
2006-05-26,39,76.51
2006-06-02,38,26.8
2006-06-09,36,24.26
2006-06-16,53,23.46
2006-06-23,51,22.79
2006-06-30,32,24.9
2006-07-07,40,25.06
2006-07-14,49,22.98
2006-07-21,35,22
2006-07-28,53,23.3
2006-08-04,40,23.91
2006-08-11,35,20.6
2006-08-18,42,21.18
2006-08-25,55,21.51
2006-09-01,43,22.84
2006-09-08,54,23.49
2006-09-15,46,24.9
2006-09-22,46,24.7
2006-09-29,36,24.6
2006-10-06,43,23.7
2006-10-13,46,25.52
2006-10-20,35,25.5
2006-10-27,31,28.72
2006-11-03,45,28.39
2006-11-10,40,31.27
2006-11-17,44,31.7
2006-11-24,48,32.61
2006-12-01,33,32.81
2006-12-08,40,33
2006-12-15,31,32.94
2006-12-22,45,32.47
2006-12-29,26,33.2
2007-01-05,44,33.1
2007-01-12,48,34.16
2007-01-19,56,35.03
2007-01-26,44,35.63
2007-02-02,43,38.69
2007-02-09,55,36.66
2007-02-16,57,37
2007-02-23,64,36.17
2007-03-02,47,32.56
2007-03-09,44,33.93
2007-03-16,53,33.52
2007-03-23,50,36.05
2007-03-30,51,34.18
2007-04-13,40,33.42
2007-04-20,44,36.19
2007-04-27,39,35.34
2007-05-04,42,37.43
2007-05-11,37,37.46
2007-05-18,45,37.33
2007-05-25,46,36.05
2007-06-01,38,36.78
2007-06-08,42,36.62
2007-06-15,46,39.4
2007-06-22,46,37.76
2007-06-29,43,36.5
2007-07-06,42,39.55
2007-07-13,34,41.13
2007-07-20,49,39.75
2007-07-27,49,34.5
2007-08-03,44,31.26
2007-08-10,42,29.86
2007-08-17,50,28.3
2007-08-24,44,30.76
2007-08-31,50,29.52
2007-09-07,48,25.5
2007-09-14,40,25.26
2007-09-21,38,29.01
2007-09-28,44,27.84
2007-10-05,43,28.62
2007-10-12,47,26.44
2007-10-19,38,23.8
2007-10-26,42,25.86
2007-11-02,44,22.42
2007-11-09,42,20.13
2007-11-16,50,19.59
2007-11-23,48,19.8
2007-11-30,53,23.75
2007-12-07,45,23.89
2007-12-14,40,21.66
2007-12-21,40,22.21
2007-12-28,33,21.36
2008-01-04,33,19.4
2008-01-11,45,17.91
2008-01-18,47,16.44
2008-01-25,54,18.06
2008-02-01,51,19.96
2008-02-08,59,17.97
2008-02-15,53,19.42
2008-02-22,56,21.01
2008-02-29,52,20.06
2008-03-07,42,18.48
2008-03-14,37,18.37
2008-03-28,47,20.96
2008-04-04,48,21.68
2008-04-11,41,20.35
2008-04-18,43,21.26
2008-04-25,44,23.77
2008-05-02,49,23.63
2008-05-09,42,22.15
2008-05-16,41,23.29
2008-05-23,42,21.48
2008-05-30,38,22.46
2008-06-06,42,21.31
2008-06-13,44,21.34
2008-06-20,41,20.62
2008-06-27,42,19.79
2008-07-11,42,17.96
2008-07-18,40,19.3
2008-07-25,42,18.26
2008-08-01,42,13.45
2008-08-08,37,16
2008-08-15,41,15.06
2008-08-22,47,13.61
2008-08-29,43,13.07
2008-09-05,35,13.3
2008-09-12,43,14.64
2008-09-19,43,14.75
2008-09-26,38,13.88
2008-10-03,39,9.45
2008-10-10,40,9.25
2008-10-17,51,6.32
2008-10-24,36,4.43
2008-10-31,35,7.01
2008-11-07,42,7.1
2008-11-14,48,4.84
2008-11-21,40,3.49
2008-11-28,34,4.56
2008-12-05,38,4.11
2008-12-12,40,4.08
2008-12-19,30,3.96
2008-12-26,27,4.04
2009-01-02,36,4.48
2009-01-09,46,4.77
2009-01-16,40,4.26
2009-01-23,52,3.82
2009-01-30,49,3.6
2009-02-06,39,4.36
2009-02-13,40,3.76
2009-02-20,38,3.33
2009-02-27,49,2.89
2009-03-06,47,2.52
2009-03-13,44,3.06
2009-03-20,54,2.36
2009-03-27,51,4.25
2009-04-03,42,5.02
2009-04-17,37,5.97
2009-04-24,47,7.13
2009-05-01,40,7.92
2009-05-08,42,9.37
2009-05-15,42,7.07
2009-05-22,48,6.77
2009-05-29,45,7.3
2009-06-05,41,8.04
2009-06-12,48,9.81
2009-06-19,50,8.65
2009-06-26,49,9.37
2009-07-10,50,8.09
2009-07-17,48,9.3
2009-07-24,48,9.86
2009-07-31,48,10.9
2009-08-07,49,12.01
2009-08-14,50,11.15
2009-08-21,51,12.11
2009-08-28,59,12.01
2009-09-04,50,11.38
2009-09-11,47,11.8
2009-09-18,49,12.48
2009-09-25,50,11.43
2009-10-02,48,10.76
2009-10-09,52,12.23
2009-10-16,56,12.4
2009-10-23,50,13
2009-10-30,55,10.35
2009-11-06,48,10.73
2009-11-13,47,11.06
2009-11-20,57,11.13
2009-11-27,55,10.82
2009-12-04,49,12.39
2009-12-11,49,12.19
2009-12-18,50,13.05
2010-01-08,48,14.2
2010-01-15,51,13.38
2010-01-22,56,12.47
2010-01-29,50,12.3
2010-02-05,58,12.34
2010-02-12,55,12.64
2010-02-19,54,13.42
2010-02-26,63,13.2
2010-03-05,52,14.05
2010-03-12,57,14.04
2010-03-19,51,14.73
2010-03-26,51,14.95
2010-04-09,52,16.96
2010-04-16,51,16.49
2010-04-23,53,17.66
2010-04-30,55,17.32
2010-05-07,50,15.2
2010-05-14,48,15.98
2010-05-21,52,15.02
2010-05-28,59,15.83
2010-06-04,55,14.88
2010-06-11,52,14.89
2010-06-18,57,15.56
2010-06-25,56,14.95
2010-07-02,61,13.28
2010-07-09,56,13.9
2010-07-16,61,13.7
2010-07-23,57,15.19
2010-07-30,61,17
2010-08-06,63,16.97
2010-08-13,60,16.15
2010-08-20,69,16.34
2010-08-27,70,16.49
2010-09-03,68,17.95
2010-09-10,63,18.25
2010-09-17,66,18.26
2010-09-24,62,18.81
2010-10-01,62,18.13
2010-10-08,60,18.85
2010-10-15,55,18.95
2010-10-22,58,18.88
2010-10-29,54,18.35
2010-11-05,64,19.85
2010-11-12,56,19.8
2010-11-19,54,18.55
2010-11-26,42,19.08
2010-12-03,48,19.92
2010-12-10,43,20.2
2010-12-17,49,20.5
2010-12-31,45,20.48
2011-01-07,56,20.7
2011-01-14,57,21.97
2011-01-21,58,22.59
2011-01-28,56,21.88
2011-02-04,67,23.95
2011-02-11,74,24.53
2011-02-18,69,25.46
2011-02-25,63,24.89
2011-03-04,64,25.07
2011-03-11,62,27.3
2011-03-18,61,26.65
2011-03-25,65,27.19
2011-04-01,57,27.66
2011-04-08,63,27.47
2011-04-15,62,28.91
2011-04-29,51,26.71
2011-05-06,51,26.73
2011-05-13,55,25.94
2011-05-20,56,26.72
2011-05-27,53,26.51
2011-06-03,54,25.59
2011-06-10,57,24.3
2011-06-17,53,23.98
2011-06-24,64,23.29
2011-07-01,64,25.39
2011-07-08,56,25.28
2011-07-15,59,23.29
2011-07-22,58,23.77
2011-07-29,58,21.8
2011-08-05,57,18.27
2011-08-12,61,16.62
2011-08-19,62,13.72
2011-08-26,76,14.17
2011-09-02,69,14.35
2011-09-09,68,14.05
2011-09-16,66,15.14
2011-09-23,69,13.37
2011-09-30,68,13.46
2011-10-07,60,13.51
2011-10-14,64,15.22
2011-10-21,69,15.29
2011-10-28,66,18.98
2011-11-04,69,16.67
2011-11-11,61,16.32
2011-11-18,57,15.11
2011-11-25,65,14.62
2011-12-02,69,16.51
2011-12-09,71,15.48
2011-12-16,66,15.04
2011-12-23,65,15.39
2011-12-30,70,15.22
2012-01-06,66,15.96
2012-01-13,75,17.02
2012-01-20,83,17.86
2012-01-27,80,19.07
2012-02-03,80,19.61
2012-02-10,84,17.87
2012-02-17,75,19.07
2012-02-24,80,18.51
2012-03-02,86,18.67
2012-03-09,87,19.19
2012-03-16,87,20.83
2012-03-23,94,20.48
2012-03-30,81,19.96
2012-04-13,85,18.21
2012-04-20,82,18.37
2012-04-27,85,19.13
2012-05-04,82,17.93
2012-05-11,79,17.27
2012-05-18,89,15.84
2012-05-25,89,16.38
2012-06-01,85,15.59
2012-06-08,89,16.24
2012-06-15,84,16.41
2012-06-22,89,15.87
2012-06-29,97,16.36
2012-07-06,100,15.85
2012-07-13,92,15.78
2012-07-20,95,16.14
2012-07-27,95,16.33
2012-08-03,93,17.08
2012-08-10,98,17.77
2012-08-17,94,18.04
2012-08-24,64,17.58
2012-08-31,42,17.31
2012-09-07,37,17.7
