"Date","buy.BLK","Price"
2011-06-24,17,184.39
2011-10-07,29,147.78
2011-11-25,50,151.27
2011-12-02,34,169.02
2011-12-09,20,172.68
2011-12-16,20,170.33
2011-12-23,20,178.41
2011-12-30,20,178.24
2012-01-06,18,179.13
2012-01-13,14,186.57
2012-01-20,14,182.82
2012-01-27,14,187.49
2012-02-03,14,188.64
2012-02-10,14,190
2012-02-17,15,196.19
2012-02-24,16,196
2012-03-02,17,198.25
2012-04-27,31,192.5
2012-05-04,27,183.17
2012-05-11,13,179.77
2012-05-18,13,171.91
2012-05-25,15,171.36
2012-06-01,19,166.57
2012-06-08,24,173.91
2012-06-15,16,176.73
2012-06-22,16,172
2012-06-29,15,169.82
2012-07-06,15,171.28
2012-07-13,16,175.78
2012-07-20,100,173.31
2012-07-27,48,170.67
2012-08-03,22,173.19
2012-08-10,30,174.41
2012-08-17,29,178.79
2012-08-24,22,178.27
2012-08-31,22,176.37
2012-09-07,26,182.02
2012-09-14,22,183
2012-09-21,24,183
2012-09-28,25,178.3
2012-10-05,13,187.39
2012-10-12,15,184.31
2012-10-19,16,188.94
2012-10-26,18,186.99
2012-11-02,16,189.52
2012-11-09,16,186.83
2012-11-16,12,186.99
2012-11-23,22,195.54
2012-11-30,15,197.04
2012-12-07,15,194.76
2012-12-14,17,201.53
2012-12-21,19,206.75
2012-12-28,16,204.51
2013-01-04,15,218.03
2013-01-11,16,221.01
2013-01-18,21,233.93
2013-01-25,14,236.42
2013-02-01,15,236.89
2013-02-08,13,238.16
2013-02-15,13,242.95
2013-02-22,13,240.87
2013-03-01,17,236.83
2013-03-08,21,248.27
2013-03-15,15,256.74
2013-03-22,15,253.13
2013-04-05,13,245.79
2013-04-12,17,263.13
2013-04-19,13,250.16
2013-04-26,13,263.77
2013-05-03,14,271.34
2013-05-10,14,276.67
2013-05-17,14,290.95
2013-05-24,13,283.35
2013-05-31,12,279.2
2013-06-07,21,280.23
2013-06-14,14,269.73
2013-06-21,19,248.67
2013-06-28,24,256.85
2013-07-05,18,257.26
2013-07-12,15,269.74
2013-07-19,16,280.72
2013-07-26,13,286.38
2013-08-02,15,286.62
2013-08-09,21,280.57
2013-08-16,18,270.15
2013-08-23,13,268.8
2013-08-30,22,260.32
2013-09-06,17,261.23
2013-09-13,15,264.63
2013-09-20,15,278.3
2013-09-27,10,270.95
2013-10-04,27,272.01
2013-10-11,14,280.49
2013-10-18,15,301.66
2013-10-25,15,307.61
2013-11-01,15,303.65
2013-11-08,19,301.59
2013-11-15,22,303.19
2013-11-22,14,303.76
2013-11-29,21,302.75
2013-12-06,12,301.83
2013-12-13,10,297.8
2013-12-20,14,314.34
2013-12-27,17,316.38
2014-01-03,19,314.17
2014-01-10,15,314.94
2014-01-17,15,316.72
2014-01-24,13,303.11
2014-01-31,14,300.47
2014-02-07,14,299.87
2014-02-14,15,303.03
2014-02-21,15,299
2014-02-28,11,304.84
2014-03-07,10,310.79
2014-03-14,10,295.71
2014-03-21,16,301.86
2014-03-28,15,310.89
2014-04-04,10,308.92
2014-04-11,11,293.71
2014-04-25,10,300.45
