"Date","PFE","Price"
2004-02-06,36,38.85
2004-02-13,49,37.38
2004-02-20,35,37.27
2004-02-27,48,36.65
2004-03-05,29,37.17
2004-03-12,76,35.29
2004-03-19,32,33.95
2004-03-26,33,34.29
2004-04-02,34,36
2004-04-16,44,37.62
2004-04-23,30,36.42
2004-04-30,48,35.76
2004-05-07,30,36.36
2004-05-14,23,35.6
2004-05-21,36,34.81
2004-05-28,38,35.34
2004-06-04,42,35.62
2004-06-18,20,35.43
2004-06-25,30,33.82
2004-07-02,32,33.94
2004-07-09,37,34
2004-07-16,25,32.38
2004-07-23,37,32.3
2004-07-30,32,31.96
2004-08-06,24,31.18
2004-08-13,21,31.15
2004-08-20,24,31.74
2004-08-27,29,32.65
2004-09-03,27,32.55
2004-09-10,26,31.86
2004-09-17,27,31.72
2004-09-24,35,29.66
2004-10-01,36,30.97
2004-10-08,34,29.8
2004-10-15,34,28.5
2004-10-22,30,27.74
2004-10-29,36,28.95
2004-11-05,32,28.79
2004-11-12,18,27.45
2004-11-19,33,27.23
2004-11-26,32,27.16
2004-12-03,48,27.89
2004-12-10,33,27.09
2004-12-17,35,25.75
2004-12-31,45,26.89
2005-01-07,44,26.3
2005-01-14,43,25.25
2005-01-21,33,24.48
2005-01-28,34,24.35
2005-02-04,37,24.23
2005-02-11,44,25.15
2005-02-18,39,26.8
2005-02-25,46,26.86
2005-03-04,37,26.85
2005-03-11,34,26.36
2005-03-18,28,25.83
2005-04-01,28,26.15
2005-04-08,44,26.6
2005-04-15,34,27.71
2005-04-22,50,27.22
2005-04-29,39,27.17
2005-05-06,37,27.61
2005-05-13,45,27.86
2005-05-20,33,28.58
2005-05-27,55,28.35
2005-06-03,24,27.96
2005-06-10,33,27.68
2005-06-17,36,28.78
2005-06-24,40,28.52
2005-07-01,45,27.1
2005-07-08,29,27.14
2005-07-15,48,27.57
2005-07-22,40,26.5
2005-07-29,44,26.5
2005-08-05,39,26.25
2005-08-12,38,26.16
2005-08-19,42,25.55
2005-08-26,44,24.89
2005-09-02,34,25.33
2005-09-09,35,26.33
2005-09-16,35,25.9
2005-09-23,36,24.87
2005-09-30,44,24.97
2005-10-07,47,24.39
2005-10-14,39,24.32
2005-10-21,61,21.25
2005-10-28,57,21.5
2005-11-04,56,22.26
2005-11-11,60,22.43
2005-11-18,46,21.6
2005-11-25,44,21.67
2005-12-02,49,21.3
2005-12-09,51,20.6
2005-12-16,63,22.58
2005-12-23,70,23.96
2005-12-30,49,23.32
2006-01-06,56,24.85
2006-01-13,51,24.67
2006-01-20,57,24.71
2006-01-27,60,25.99
2006-02-03,52,25.28
2006-02-10,62,25.68
2006-02-17,53,25.82
2006-02-24,46,26.37
2006-03-03,54,26.34
2006-03-10,46,26.08
2006-03-17,41,26.39
2006-03-24,38,26.02
2006-03-31,41,24.92
2006-04-07,38,24.69
2006-04-21,44,24.87
2006-04-28,32,25.33
2006-05-05,42,25.41
2006-05-12,40,24.5
2006-05-19,36,23.82
2006-05-26,35,24
2006-06-02,28,24.19
2006-06-09,40,23.53
2006-06-16,36,23.43
2006-06-23,39,22.64
2006-06-30,37,23.47
2006-07-07,31,23.68
2006-07-14,36,22.42
2006-07-21,43,23.83
2006-07-28,44,26.11
2006-08-04,52,25.98
2006-08-11,47,25.82
2006-08-18,42,27.05
2006-08-25,41,27.23
2006-09-01,44,27.96
2006-09-08,33,27.59
2006-09-15,38,28.04
2006-09-22,46,28.16
2006-09-29,40,28.36
2006-10-06,44,27.9
2006-10-13,39,27.59
2006-10-20,44,27.68
2006-10-27,35,27.22
2006-11-03,43,26.55
2006-11-10,41,25.71
2006-11-17,34,27.21
2006-11-24,31,26.89
2006-12-01,41,27.86
2006-12-08,100,25.17
2006-12-15,42,25.64
2006-12-22,49,25.97
2006-12-29,30,25.9
2007-01-05,36,26.3
2007-01-12,41,26.64
2007-01-19,33,27.22
2007-01-26,55,26.29
2007-02-02,43,26.8
2007-02-09,33,26.38
2007-02-16,37,26.3
2007-02-23,37,25.62
2007-03-02,44,24.79
2007-03-09,31,25.41
2007-03-16,36,24.99
2007-03-23,38,25.66
2007-03-30,32,25.26
2007-04-13,33,26.67
2007-04-20,39,26.97
2007-04-27,40,26.61
2007-05-04,36,27.08
2007-05-11,36,27.04
2007-05-18,31,27.44
2007-05-25,31,27.53
2007-06-01,28,27.68
2007-06-08,30,26.52
2007-06-15,27,26.47
2007-06-22,31,25.38
2007-06-29,30,25.57
2007-07-06,26,25.92
2007-07-13,35,25.91
2007-07-20,37,24.9
2007-07-27,36,23.79
2007-08-03,32,23.51
2007-08-10,34,23.99
2007-08-17,34,23.94
2007-08-24,32,24.74
2007-08-31,25,24.84
2007-09-07,23,24.25
2007-09-14,25,24.29
2007-09-21,30,24.59
2007-09-28,29,24.43
2007-10-05,30,25.58
2007-10-12,28,25.26
2007-10-19,32,24.07
2007-10-26,33,24.31
2007-11-02,29,23.67
2007-11-09,23,22.83
2007-11-16,30,23.39
2007-11-23,27,22.98
2007-11-30,32,23.76
2007-12-07,30,24.4
2007-12-14,25,23.1
2007-12-21,24,23.24
2007-12-28,19,22.9
2008-01-04,27,22.83
2008-01-11,31,24.02
2008-01-18,31,22.5
2008-01-25,30,22.61
2008-02-01,29,23.59
2008-02-08,33,22.3
2008-02-15,30,22.33
2008-02-22,28,22.5
2008-02-29,26,22.28
2008-03-07,31,21.35
2008-03-14,28,20.64
2008-03-28,28,20.5
2008-04-04,31,21.35
2008-04-11,26,20.45
2008-04-18,29,20.47
2008-04-25,30,20.43
2008-05-02,25,20.61
2008-05-09,30,19.79
2008-05-16,30,20.03
2008-05-23,31,19.53
2008-05-30,30,19.36
2008-06-06,33,17.96
2008-06-13,33,17.99
2008-06-20,35,17.33
2008-06-27,32,17.28
2008-07-11,28,17.81
2008-07-18,31,18.32
2008-07-25,36,18.89
2008-08-01,25,18.6
2008-08-08,30,19.84
2008-08-15,25,19.97
2008-08-22,23,19.75
2008-08-29,23,19.11
2008-09-05,28,18.51
2008-09-12,28,18.62
2008-09-19,30,18.55
2008-09-26,28,18.66
2008-10-03,33,19
2008-10-10,40,15.14
2008-10-17,41,16.91
2008-10-24,41,16.57
2008-10-31,37,17.71
2008-11-07,33,16.86
2008-11-14,34,16.28
2008-11-21,35,15.67
2008-11-28,28,16.43
2008-12-05,29,16.55
2008-12-12,29,16.92
2008-12-19,27,17.3
2008-12-26,19,17.1
2009-01-02,24,18.27
2009-01-09,33,17.44
2009-01-16,32,17.5
2009-01-23,33,17.45
2009-01-30,55,14.58
2009-02-06,36,14.84
2009-02-13,33,14.58
2009-02-20,28,13.71
2009-02-27,30,12.31
2009-03-06,32,12.73
2009-03-13,37,14.54
2009-03-20,31,13.63
2009-03-27,33,14.04
2009-04-03,32,13.55
2009-04-17,29,14.16
2009-04-24,30,13.17
2009-05-01,29,13.58
2009-05-08,32,14.4
2009-05-15,37,15.01
2009-05-22,34,14.96
2009-05-29,30,15.19
2009-06-05,31,14.51
2009-06-12,28,14.76
2009-06-19,30,15
2009-06-26,26,15.19
2009-07-10,21,14.2
2009-07-17,25,14.96
2009-07-24,27,16.48
2009-07-31,29,15.93
2009-08-07,27,15.96
2009-08-14,25,15.77
2009-08-21,31,16.64
2009-08-28,26,16.81
2009-09-04,31,16.39
2009-09-11,19,16.25
2009-09-18,27,16.51
2009-09-25,22,16.4
2009-10-02,25,16.15
2009-10-09,24,16.92
2009-10-16,31,17.77
2009-10-23,28,17.25
2009-10-30,24,17.03
2009-11-06,25,16.96
2009-11-13,26,17.59
2009-11-20,25,18.36
2009-11-27,26,18.25
2009-12-04,27,18.49
2009-12-11,24,18.3
2009-12-18,24,18.3
2010-01-08,24,18.68
2010-01-15,26,19.49
2010-01-22,25,18.96
2010-01-29,27,18.66
2010-02-05,28,17.96
2010-02-12,24,17.8
2010-02-19,20,17.99
2010-02-26,25,17.55
2010-03-05,25,17.48
2010-03-12,28,17.08
2010-03-19,25,16.91
2010-03-26,29,17.14
2010-04-09,26,17.25
2010-04-16,28,16.8
2010-04-23,26,16.91
2010-04-30,25,16.72
2010-05-07,29,16.46
2010-05-14,29,16.2
2010-05-21,29,15.4
2010-05-28,28,15.23
2010-06-04,21,14.76
2010-06-11,23,15.46
2010-06-18,23,15.21
2010-06-25,25,14.64
2010-07-02,21,14.14
2010-07-09,21,14.77
2010-07-16,24,14.56
2010-07-23,22,14.58
2010-07-30,20,15
2010-08-06,28,16.24
2010-08-13,23,16.08
2010-08-20,24,15.92
2010-08-27,23,16.09
2010-09-03,21,16.46
2010-09-10,18,16.99
2010-09-17,21,17.06
2010-09-24,21,17.4
2010-10-01,23,17.18
2010-10-08,24,17.46
2010-10-15,21,17.75
2010-10-22,24,17.5
2010-10-29,26,17.42
2010-11-05,25,17.18
2010-11-12,27,16.85
2010-11-19,20,16.8
2010-11-26,18,16.49
2010-12-03,22,16.72
2010-12-10,28,17.02
2010-12-17,25,17.03
2010-12-31,20,17.51
2011-01-07,23,18.34
2011-01-14,21,18.34
2011-01-21,22,18.36
2011-01-28,23,18.15
2011-02-04,26,19.3
2011-02-11,25,18.83
2011-02-18,24,19.19
2011-02-25,22,18.86
2011-03-04,22,19.66
2011-03-11,21,19.47
2011-03-18,25,20.18
2011-03-25,25,20.35
2011-04-01,25,20.38
2011-04-08,23,20.46
2011-04-15,23,20.53
2011-04-29,22,20.97
2011-05-06,23,20.55
2011-05-13,24,20.92
2011-05-20,27,20.69
2011-05-27,22,20.93
2011-06-03,21,20.84
2011-06-10,25,20.11
2011-06-17,21,20.26
2011-06-24,22,20.08
2011-07-01,20,20.75
2011-07-08,20,20.16
2011-07-15,18,19.75
2011-07-22,17,20.07
2011-07-29,17,19.25
2011-08-05,22,17.49
2011-08-12,25,17.86
2011-08-19,23,17.67
2011-08-26,19,18.21
2011-09-02,21,18.46
2011-09-09,18,18.28
2011-09-16,19,18.15
2011-09-23,22,17.45
2011-09-30,24,17.68
2011-10-07,22,18.44
2011-10-14,20,19.04
2011-10-21,20,19.06
2011-10-28,21,19.82
2011-11-04,20,19.66
2011-11-11,23,19.99
2011-11-18,20,19.53
2011-11-25,21,18.45
2011-12-02,24,19.89
2011-12-09,23,20.56
2011-12-16,23,21.03
2011-12-23,24,21.83
2011-12-30,16,21.64
2012-01-06,23,21.57
2012-01-13,24,21.84
2012-01-20,24,21.9
2012-01-27,25,21.48
2012-02-03,25,21.2
2012-02-10,25,21.05
2012-02-17,23,21.19
2012-02-24,22,21.18
2012-03-02,26,21.41
2012-03-09,23,21.48
2012-03-16,22,21.94
2012-03-23,20,21.82
2012-03-30,23,22.65
2012-04-13,24,21.85
2012-04-20,23,22.56
2012-04-27,24,23.08
2012-05-04,21,22.38
2012-05-11,23,22.65
2012-05-18,26,22.57
2012-05-25,27,22.13
2012-06-01,25,21.64
2012-06-08,24,22.14
2012-06-15,24,22.61
2012-06-22,30,22.73
2012-06-29,25,23
2012-07-06,25,22.54
2012-07-13,19,22.81
2012-07-20,21,23.7
2012-07-27,19,23.83
2012-08-03,20,24.28
2012-08-10,20,23.94
2012-08-17,20,23.79
2012-08-24,22,24.01
2012-08-31,21,23.86
2012-09-07,19,24.24
2012-09-14,21,23.8
2012-09-21,24,24.52
2012-09-28,23,24.85
2012-10-05,24,25.52
2012-10-12,22,25.12
2012-10-19,23,25.76
2012-10-26,20,25.43
2012-11-02,19,24.55
2012-11-09,20,24.17
2012-11-16,20,23.86
2012-11-23,21,24.53
2012-11-30,22,25.02
2012-12-07,22,25.56
2012-12-14,22,25.18
2012-12-21,21,25.08
2012-12-28,16,24.89
2013-01-04,20,25.96
2013-01-11,24,26.52
2013-01-18,23,26.54
2013-01-25,24,27
2013-02-01,29,27.63
2013-02-08,24,26.88
2013-02-15,22,27.29
2013-02-22,24,27.38
2013-03-01,24,27.39
2013-03-08,25,28.19
2013-03-15,25,28.02
2013-03-22,23,28.38
2013-04-05,25,29.1
2013-04-12,27,30.67
2013-04-19,25,31.06
2013-04-26,25,30.09
2013-05-03,29,28.96
2013-05-10,26,28.72
2013-05-17,27,28.96
2013-05-24,28,29.04
2013-05-31,25,27.23
2013-06-07,33,28.26
2013-06-14,33,29.09
2013-06-21,28,28.46
2013-06-28,27,28.01
2013-07-05,22,27.97
2013-07-12,19,28.81
2013-07-19,22,29.09
2013-07-26,20,29.37
2013-08-02,22,29.37
2013-08-09,20,29.21
2013-08-16,19,28.37
2013-08-23,19,28.34
2013-08-30,19,28.21
2013-09-06,18,28.28
2013-09-13,18,28.51
2013-09-20,21,28.97
2013-09-27,21,28.88
2013-10-04,21,29
2013-10-11,23,28.72
2013-10-18,20,30.51
2013-10-25,23,30.61
2013-11-01,24,31.17
