"Date","Boston.Scientific","Price"
2004-02-06,75,42.08
2004-02-13,71,42.6
2004-02-20,88,41.94
2004-02-27,72,40.85
2004-03-05,77,43.53
2004-03-12,72,41.24
2004-03-19,80,39.98
2004-03-26,85,42.21
2004-04-02,74,44.92
2004-04-16,58,43.6
2004-04-23,61,41.81
2004-04-30,59,41.19
2004-05-07,47,39.77
2004-05-14,58,39.57
2004-05-21,58,37.9
2004-05-28,62,44.3
2004-06-04,72,42.9
2004-06-18,57,40.96
2004-06-25,63,41.56
2004-07-02,60,42.67
2004-07-09,52,41.4
2004-07-16,98,37.4
2004-07-23,100,33.59
2004-07-30,56,38.26
2004-08-06,77,33.21
2004-08-13,65,32.37
2004-08-20,69,34.52
2004-08-27,54,37.29
2004-09-03,57,39.06
2004-09-10,46,39.47
2004-09-17,56,38.34
2004-09-24,58,38.28
2004-10-01,66,39.46
2004-10-08,66,37.96
2004-10-15,61,37
2004-10-22,70,35.21
2004-10-29,47,35.3
2004-11-05,62,36.65
2004-11-12,55,34.7
2004-11-19,66,34.02
2004-11-26,44,34.32
2004-12-03,49,34.54
2004-12-10,61,34.26
2004-12-17,57,35.47
2004-12-31,33,35.55
2005-01-07,45,34.74
2005-01-14,64,33.14
2005-01-21,58,32.91
2005-01-28,68,32.2
2005-02-04,82,34.12
2005-02-11,61,33
2005-02-18,49,32.76
2005-02-25,49,33.31
2005-03-04,60,31.39
2005-03-11,80,30
2005-03-18,63,29.87
2005-04-01,57,28.67
2005-04-08,62,30.5
2005-04-15,42,29.93
2005-04-22,52,29.35
2005-04-29,48,29.58
2005-05-06,58,29.61
2005-05-13,47,30.3
2005-05-20,60,30.32
2005-05-27,48,27.95
2005-06-03,56,27.8
2005-06-10,59,28.6
2005-06-17,43,29
2005-06-24,65,27.51
2005-07-01,49,26.89
2005-07-08,54,27.8
2005-07-15,69,27.66
2005-07-22,64,28.43
2005-07-29,60,28.95
2005-08-05,51,28.68
2005-08-12,52,28.31
2005-08-19,50,27.56
2005-08-26,55,26.23
2005-09-02,48,26.34
2005-09-09,43,25.1
2005-09-16,55,24.2
2005-09-23,59,24.36
2005-09-30,51,23.37
2005-10-07,41,23.6
2005-10-14,55,23.86
2005-10-21,56,23.89
2005-10-28,44,24.59
2005-11-04,49,25.56
2005-11-11,47,25.45
2005-11-18,51,26.1
2005-11-25,30,26.57
2005-12-02,47,27.33
2005-12-09,98,26.17
2005-12-16,60,25.64
2005-12-23,40,25.84
2005-12-30,37,24.49
2006-01-06,50,26.24
2006-01-13,79,25.2
2006-01-20,74,23.59
2006-01-27,97,21.63
2006-02-03,70,21.8
2006-02-10,72,21.86
2006-02-17,56,24.45
2006-02-24,51,24.3
2006-03-03,62,23.53
2006-03-10,56,22.62
2006-03-17,52,22.62
2006-03-24,47,23.49
2006-03-31,52,23.05
2006-04-07,53,21.57
2006-04-21,65,22.49
2006-04-28,61,23.24
2006-05-05,58,21.91
2006-05-12,54,20.7
2006-05-19,57,20.15
2006-05-26,49,20.47
2006-06-02,53,20.7
2006-06-09,51,19.71
2006-06-16,55,20.09
2006-06-23,63,18.26
2006-06-30,74,16.84
2006-07-07,39,16.06
2006-07-14,57,15.85
2006-07-21,59,15.86
2006-07-28,70,17.5
2006-08-04,63,15.95
2006-08-11,51,16.3
2006-08-18,52,16.72
2006-08-25,45,17.33
2006-09-01,43,17.37
2006-09-08,51,16.67
2006-09-15,64,16.23
2006-09-22,59,14.85
2006-09-29,52,14.79
2006-10-06,55,14.82
2006-10-13,51,15.34
2006-10-20,52,16.24
2006-10-27,58,16.05
2006-11-03,49,16.4
2006-11-10,53,16.06
2006-11-17,59,16.23
2006-11-24,34,16.49
2006-12-01,50,15.76
2006-12-08,57,16.71
2006-12-15,41,16.29
2006-12-22,42,16.78
2006-12-29,24,17.18
2007-01-05,47,17.1
2007-01-12,58,18.21
2007-01-19,40,18.19
2007-01-26,52,17.47
2007-02-02,44,18.26
2007-02-09,41,17.37
2007-02-16,46,17.01
2007-02-23,51,17.12
2007-03-02,46,15.99
2007-03-09,46,15.77
2007-03-16,50,14.83
2007-03-23,43,15.22
2007-03-30,60,14.54
2007-04-13,47,15.01
2007-04-20,46,15.98
2007-04-27,55,15.72
2007-05-04,46,16.16
2007-05-11,51,15.85
2007-05-18,45,15.44
2007-05-25,48,15.75
2007-06-01,36,15.69
2007-06-08,52,16.15
2007-06-15,44,16.38
2007-06-22,46,15.78
2007-06-29,40,15.34
2007-07-06,39,15.51
2007-07-13,50,15.41
2007-07-20,51,14.79
2007-07-27,51,13.36
2007-08-03,39,13.09
2007-08-10,48,13.08
2007-08-17,45,12.52
2007-08-24,44,12.69
2007-08-31,42,12.83
2007-09-07,39,13.21
2007-09-14,41,13.5
2007-09-21,39,13.75
2007-09-28,43,13.95
2007-10-05,37,14.26
2007-10-12,37,15.02
2007-10-19,49,14.42
2007-10-26,42,13.76
2007-11-02,39,13.24
2007-11-09,53,12.66
2007-11-16,47,12.1
2007-11-23,30,12.51
2007-11-30,34,12.63
2007-12-07,46,12.73
2007-12-14,32,11.95
2007-12-21,29,11.83
2007-12-28,18,11.72
2008-01-04,34,11.31
2008-01-11,36,11.74
2008-01-18,43,12.13
2008-01-25,38,11.84
2008-02-01,38,12.37
2008-02-08,33,12.33
2008-02-15,43,12.81
2008-02-22,39,12.31
2008-02-29,40,12.59
2008-03-07,38,12.35
2008-03-14,40,12.63
2008-03-28,35,12.61
2008-04-04,35,14.11
2008-04-11,38,12.88
2008-04-18,38,12.65
2008-04-25,43,12.77
2008-05-02,37,13.42
2008-05-09,36,13.42
2008-05-16,40,13.4
2008-05-23,35,13.12
2008-05-30,34,13.29
2008-06-06,42,13.49
2008-06-13,35,13.29
2008-06-20,39,12.68
2008-06-27,37,12.23
2008-07-11,38,12.09
2008-07-18,36,13.89
2008-07-25,46,12.09
2008-08-01,34,11.96
2008-08-08,37,13.27
2008-08-15,40,13.22
2008-08-22,35,12.76
2008-08-29,36,12.56
2008-09-05,34,12.57
2008-09-12,35,13.51
2008-09-19,35,13.65
2008-09-26,39,12.74
2008-10-03,43,11.05
2008-10-10,41,7.31
2008-10-17,44,8.67
2008-10-24,36,7.93
2008-10-31,42,9.03
2008-11-07,35,8.55
2008-11-14,44,7.39
2008-11-21,34,6.14
2008-11-28,29,6.17
2008-12-05,46,7.61
2008-12-12,37,7.17
2008-12-19,41,7.78
2008-12-26,23,7.39
2009-01-02,21,7.88
2009-01-09,38,7.65
2009-01-16,40,7.87
2009-01-23,38,7.73
2009-01-30,41,8.87
2009-02-06,44,9.41
2009-02-13,44,8.66
2009-02-20,41,8.18
2009-02-27,41,7.02
2009-03-06,38,6.33
2009-03-13,37,7.42
2009-03-20,42,7.56
2009-03-27,42,8.2
2009-04-03,40,8.39
2009-04-17,32,9.02
2009-04-24,41,8.39
2009-05-01,36,8.32
2009-05-08,33,9.31
2009-05-15,33,8.76
2009-05-22,39,8.8
2009-05-29,29,9.4
2009-06-05,33,9.54
2009-06-12,33,9.37
2009-06-19,36,9.42
2009-06-26,41,10.35
2009-07-10,37,9.63
2009-07-17,37,10.04
2009-07-24,45,10.57
2009-07-31,37,10.74
2009-08-07,34,11.32
2009-08-14,38,11.14
2009-08-21,38,11.37
2009-08-28,38,11.44
2009-09-04,36,11.36
2009-09-11,28,11.34
2009-09-18,39,10.97
2009-09-25,38,10.35
2009-10-02,33,10.01
2009-10-09,35,10.29
2009-10-16,35,10.02
2009-10-23,43,8.75
2009-10-30,33,8.12
2009-11-06,33,8.08
2009-11-13,34,8.26
2009-11-20,33,8.09
2009-11-27,24,8.5
2009-12-04,34,8.52
2009-12-11,31,8.67
2009-12-18,26,8.9
2010-01-08,29,9
2010-01-15,31,9.43
2010-01-22,33,9
2010-01-29,30,8.63
2010-02-05,32,8.21
2010-02-12,45,7.39
2010-02-19,33,7.69
2010-02-26,33,7.74
2010-03-05,30,7.89
2010-03-12,31,7.78
2010-03-19,59,7.13
2010-03-26,39,7.01
2010-04-09,37,6.97
2010-04-16,39,7.34
2010-04-23,30,7.21
2010-04-30,36,6.88
2010-05-07,30,6.38
2010-05-14,31,6.83
2010-05-21,30,6.24
2010-05-28,29,6.05
2010-06-04,26,5.74
2010-06-11,29,5.77
2010-06-18,26,6.33
2010-06-25,28,6.11
2010-07-02,26,6.14
2010-07-09,26,6.46
2010-07-16,27,6.11
2010-07-23,37,5.95
2010-07-30,29,5.6
2010-08-06,30,5.8
2010-08-13,28,5.48
2010-08-20,32,5.69
2010-08-27,32,5.49
2010-09-03,31,5.35
2010-09-10,28,5.33
2010-09-17,29,5.42
2010-09-24,31,5.75
2010-10-01,30,6.07
2010-10-08,28,6.13
2010-10-15,25,6.15
2010-10-22,31,6.3
2010-10-29,30,6.39
2010-11-05,29,6.92
2010-11-12,26,6.74
2010-11-19,31,6.77
2010-11-26,20,6.58
2010-12-03,27,6.83
2010-12-10,25,7.11
2010-12-17,22,7.65
2010-12-31,17,7.57
2011-01-07,31,7.28
2011-01-14,26,7.53
2011-01-21,28,7.16
2011-01-28,29,6.99
2011-02-04,28,6.99
2011-02-11,30,6.88
2011-02-18,26,7.54
2011-02-25,27,7.18
2011-03-04,31,7.53
2011-03-11,26,7.51
2011-03-18,25,7.2
2011-03-25,27,7.21
2011-04-01,26,7.3
2011-04-08,29,7.35
2011-04-15,26,7.08
2011-04-29,26,7.49
2011-05-06,27,7.72
2011-05-13,32,6.84
2011-05-20,27,6.8
2011-05-27,26,7.04
2011-06-03,25,6.87
2011-06-10,24,6.76
2011-06-17,25,6.79
2011-06-24,27,6.89
2011-07-01,27,7.23
2011-07-08,23,7.17
2011-07-15,26,7.01
2011-07-22,28,7.21
2011-07-29,34,7.16
2011-08-05,26,6.49
2011-08-12,25,6.41
2011-08-19,25,6.12
2011-08-26,26,6.37
2011-09-02,22,6.42
2011-09-09,22,6.2
2011-09-16,30,6.53
2011-09-23,25,5.76
2011-09-30,27,5.91
2011-10-07,26,5.62
2011-10-14,24,5.69
2011-10-21,27,5.39
2011-10-28,21,5.81
2011-11-04,25,5.77
2011-11-11,25,5.9
2011-11-18,23,5.42
2011-11-25,21,5.27
2011-12-02,24,5.5
2011-12-09,23,5.34
2011-12-16,24,5.14
2011-12-23,20,5.23
2011-12-30,14,5.34
2012-01-06,20,5.3
2012-01-13,24,5.52
2012-01-20,21,5.98
2012-01-27,26,5.93
2012-02-03,25,6.03
2012-02-10,25,5.93
2012-02-17,24,6.09
2012-02-24,23,6.25
2012-03-02,25,6
2012-03-09,24,5.95
2012-03-16,24,6.12
2012-03-23,23,5.97
2012-03-30,25,5.98
2012-04-13,24,5.62
2012-04-20,25,5.94
2012-04-27,23,6.27
2012-05-04,22,6.19
2012-05-11,22,6.31
2012-05-18,25,5.96
2012-05-25,21,5.87
2012-06-01,21,5.61
2012-06-08,23,5.71
2012-06-15,24,5.95
2012-06-22,20,5.7
2012-06-29,24,5.67
2012-07-06,17,5.65
2012-07-13,22,5.59
2012-07-20,22,5.38
2012-07-27,23,5.22
2012-08-03,21,5.31
2012-08-10,21,5.54
2012-08-17,22,5.59
2012-08-24,23,5.5
2012-08-31,23,5.4
2012-09-07,20,5.63
2012-09-14,23,5.82
2012-09-21,24,5.79
2012-09-28,23,5.74
2012-10-05,22,5.76
2012-10-12,25,5.57
2012-10-19,26,5.22
2012-10-26,22,5.17
2012-11-02,22,5.2
2012-11-09,22,5.15
2012-11-16,24,5.14
2012-11-23,17,5.59
2012-11-30,20,5.54
2012-12-07,19,5.6
2012-12-14,19,5.67
2012-12-21,16,5.82
2012-12-28,12,5.58
2013-01-04,17,5.92
2013-01-11,23,6.36
2013-01-18,21,6.7
2013-01-25,21,6.86
2013-02-01,29,7.64
2013-02-08,23,7.7
2013-02-15,24,7.54
2013-02-22,22,7.37
2013-03-01,23,7.37
2013-03-08,21,7.49
2013-03-15,22,7.39
2013-03-22,21,7.4
2013-04-05,22,7.86
2013-04-12,20,7.66
2013-04-19,28,7.27
2013-04-26,24,7.45
2013-05-03,23,7.69
2013-05-10,22,8.45
2013-05-17,23,9.1
2013-05-24,21,9.08
2013-05-31,20,9.24
2013-06-07,19,9.3
2013-06-14,20,9.51
2013-06-21,21,9.14
2013-06-28,21,9.27
2013-07-05,17,9.3
2013-07-12,21,9.61
2013-07-19,21,9.67
2013-07-26,23,10.96
2013-08-02,23,11.24
2013-08-09,23,11.35
2013-08-16,22,11.06
2013-08-23,21,11.14
2013-08-30,21,10.58
2013-09-06,21,11.5
2013-09-13,22,11.84
2013-09-20,21,11.63
2013-09-27,21,11.52
2013-10-04,21,11.69
2013-10-11,21,11.87
2013-10-18,23,12.28
2013-10-25,25,11.62
2013-11-01,23,11.75
2013-11-08,20,11.88
2013-11-15,22,11.89
2013-11-22,23,12.05
2013-11-29,17,11.58
2013-12-06,20,11.85
2013-12-13,21,11.39
2013-12-20,19,11.84
2013-12-27,11,12.06
2014-01-03,15,11.93
2014-01-10,21,13.11
2014-01-17,24,13.51
2014-01-24,22,13.34
2014-01-31,23,13.53
2014-02-07,23,13.1
2014-02-14,20,13.3
2014-02-21,22,13.14
2014-02-28,21,13.1
2014-03-07,20,13.7
2014-03-14,21,13.01
2014-03-21,19,12.82
2014-03-28,21,13.2
2014-04-04,19,13.5
2014-04-11,20,12.69
2014-04-25,21,13.38
