"Date","CFN","Price"
2009-08-21,47,18.5
2009-08-28,61,19.1
2009-09-04,70,18.5
2009-09-11,76,19.28
2009-09-18,62,21.81
2009-09-25,67,21.14
2009-10-02,67,21.54
2009-10-09,65,23.25
2009-10-16,63,22.7
2009-10-23,67,22.63
2009-10-30,70,22.37
2009-11-06,62,23.34
2009-11-13,63,24.97
2009-11-20,66,25.06
2009-11-27,53,25.79
2009-12-04,56,24.51
2009-12-11,49,24.44
2009-12-18,43,25.29
2010-01-08,44,26.16
2010-01-15,40,25.59
2010-01-22,35,27.55
2010-01-29,34,25.75
2010-02-05,39,25.98
2010-02-12,37,25.17
2010-02-19,31,26.26
2010-02-26,34,25.24
2010-03-05,32,25.97
2010-03-12,37,25.8
2010-03-19,29,25.18
2010-03-26,34,25.45
2010-04-09,42,26.57
2010-04-16,39,27.17
2010-04-23,34,27.81
2010-04-30,36,27.58
2010-05-07,38,26.16
2010-05-14,41,25.84
2010-05-21,40,24.72
2010-05-28,48,25.42
2010-06-04,33,24.8
2010-06-11,46,25.5
2010-06-18,40,24.68
2010-06-25,40,23.34
2010-07-02,45,22.42
2010-07-09,37,22.61
2010-07-16,45,21.55
2010-07-23,39,21.56
2010-07-30,43,21.07
2010-08-06,44,21.49
2010-08-13,46,22.85
2010-08-20,50,22.81
2010-08-27,42,22.73
2010-09-03,50,22.55
2010-09-10,61,23.31
2010-09-17,55,24.22
2010-09-24,54,24.95
2010-10-01,55,24.76
2010-10-08,56,24.49
2010-10-15,54,24.63
2010-10-22,61,24.7
2010-10-29,49,24.14
2010-11-05,45,24.11
2010-11-12,46,23.11
2010-11-19,51,23.5
2010-11-26,46,23.28
2010-12-03,40,23
2010-12-10,48,24.19
2010-12-17,44,24.86
2010-12-31,38,25.7
2011-01-07,51,25.31
2011-01-14,41,26.84
2011-01-21,43,26.06
2011-01-28,41,25.22
2011-02-04,36,27.43
2011-02-11,45,27.79
2011-02-18,36,28.04
2011-02-25,34,27.39
2011-03-04,31,27.92
2011-03-11,32,27.88
2011-03-18,33,27.05
2011-03-25,33,27.88
2011-04-01,36,28.21
