"Date","BRCM","Price"
2005-06-10,22,35.03
2005-06-17,24,35.79
2005-06-24,27,36.79
2005-07-01,30,36.1
2005-07-08,33,37.66
2005-07-15,36,38.4
2005-07-22,38,43
2005-10-14,21,43.73
2005-10-21,31,42.45
2005-10-28,27,41.42
2005-11-04,22,43.55
2005-11-11,19,45.35
2005-11-18,19,48.28
2005-11-25,27,48.07
2005-12-02,27,48.77
2005-12-09,28,48.49
2005-12-16,29,49.02
2005-12-23,31,48.45
2005-12-30,41,47.15
2006-01-06,52,52.41
2006-01-13,62,57.25
2006-01-20,51,56.38
2006-01-27,100,69.87
2006-02-03,50,67.58
2006-02-10,46,69.01
2006-02-17,36,67.9
2006-02-24,56,45.61
2006-03-03,50,48.63
2006-03-10,47,44.13
2006-03-17,45,44.99
2006-03-24,42,43.44
2006-03-31,50,43.16
2006-04-07,44,45.94
2006-04-21,66,43.65
2006-04-28,48,41.11
2006-05-05,36,41.15
2006-05-12,43,36.32
2006-05-19,38,37.2
2006-05-26,40,34.56
2006-06-02,32,34.32
2006-06-09,43,29.33
2006-06-16,37,32.15
2006-06-23,33,31.51
2006-06-30,40,30.33
2006-07-07,27,27.75
2006-07-14,51,28.13
2006-07-21,63,23.11
2006-07-28,69,23.95
2006-08-04,39,23.77
2006-08-11,53,25.03
2006-08-18,63,30
2006-08-25,46,28.54
2006-09-01,28,27.95
2006-09-08,41,26.09
2006-09-15,37,28.35
2006-09-22,60,27.85
2006-09-29,37,30.34
2006-10-06,35,29.37
2006-10-13,31,29.72
2006-10-20,48,27.51
2006-10-27,42,29.19
2006-11-03,33,30.21
2006-11-10,35,31.64
2006-11-17,30,34.99
2006-11-24,31,35.84
2006-12-01,30,32.34
2006-12-08,24,34.12
2006-12-15,17,33.59
2006-12-22,25,31.8
2006-12-29,26,32.31
2007-01-05,17,32.5
2007-01-12,32,32.42
2007-01-19,24,30.18
2007-01-26,29,31.42
2007-02-02,32,32.35
2007-02-09,47,34.22
2007-02-16,34,35.25
2007-02-23,23,36.4
2007-03-02,26,32.72
2007-03-09,22,33.66
2007-03-16,25,34.12
2007-03-23,21,32.32
2007-03-30,25,32.07
2007-04-13,19,32.74
2007-04-20,30,33.22
2007-04-27,24,33.4
2007-05-04,25,33.14
2007-05-11,25,33.2
2007-05-18,15,30.74
2007-05-25,24,30.52
2007-06-01,16,30.62
2007-06-08,28,30.57
2007-06-15,25,31.32
2007-06-22,19,30.52
2007-06-29,28,29.25
2007-07-06,26,30.63
2007-07-13,23,32.4
2007-07-20,34,34.44
2007-07-27,23,33.11
2007-08-03,24,32.96
2007-08-10,43,35.85
2007-08-17,24,34.41
2007-08-24,18,33.34
2007-08-31,26,34.5
2007-09-07,22,34.55
2007-09-14,17,35.5
2007-09-21,23,36.12
2007-09-28,21,36.44
2007-10-05,20,37.3
2007-10-12,36,40.03
2007-10-19,41,40.55
2007-10-26,60,33.64
2007-11-02,33,32.62
2007-11-09,29,30.97
2007-11-16,26,28.47
2007-11-23,18,27.83
2007-11-30,24,26.74
2007-12-07,22,28.58
2007-12-14,22,27.5
