"Date","Bemis.Company","Price"
2009-07-10,100,24.66
2009-07-17,52,26.76
2009-07-24,67,26.39
2009-07-31,48,26.32
2009-08-07,48,26.91
2009-10-30,49,25.83
2009-11-06,41,27.59
2010-01-22,38,28.7
2010-01-29,37,28.06
2010-02-05,42,27.84
2010-02-12,48,27.99
2010-02-19,52,28.51
2010-02-26,55,29.27
2010-03-05,59,29.46
2010-03-12,37,29.5
2010-03-19,37,29.15
2010-04-30,48,30.41
2010-05-07,56,27.7
2010-10-01,32,31.96
2011-01-21,28,32.21
2011-01-28,27,32.37
2011-02-04,27,32.68
2011-02-11,28,33.11
2011-02-18,29,33.15
2011-02-25,29,32.65
2011-03-04,30,32.72
2011-03-11,30,32.21
2011-03-18,27,31.76
2011-03-25,30,32.25
2011-04-01,32,33.11
2011-04-08,34,32.41
2011-04-15,36,32.05
2011-04-29,28,31.34
2011-06-10,29,32.61
2011-06-17,35,31.74
2011-06-24,30,32.11
2011-07-01,30,34.06
2011-09-02,36,29.94
2011-09-09,25,29.5
2011-09-16,26,31.25
2011-09-23,27,29.34
2011-09-30,28,29.31
2011-10-07,29,29.62
2011-10-14,24,30.97
2011-10-21,24,31.58
2011-10-28,24,28.5
2011-11-04,26,28.68
2011-11-11,29,28.86
2011-11-18,40,27.98
2011-11-25,38,27.62
2011-12-02,38,29.14
2011-12-09,38,29.71
2011-12-16,38,29.29
2011-12-23,30,29.94
2011-12-30,30,30.08
2012-01-06,30,30.39
2012-01-13,36,29.89
2012-01-20,42,29.99
2012-01-27,33,31.58
2012-02-03,33,31.71
2012-02-10,22,31.57
2012-02-17,30,31.97
2012-02-24,29,31.1
2012-03-02,29,31.46
2012-03-09,29,31.77
2012-03-16,26,31.76
2012-03-23,30,31.62
2012-03-30,26,32.29
2012-04-13,25,31.18
2012-04-20,25,32.1
2012-04-27,26,32.44
2012-05-04,42,31.24
2012-05-11,21,31.53
2012-05-18,32,29.91
2012-05-25,24,30.39
2012-06-01,21,30.11
2012-06-08,21,31.74
2012-06-15,21,32.16
2012-06-22,21,31.65
2012-06-29,21,31.34
2012-07-06,28,30.8
2012-07-13,34,30.15
2012-07-20,24,31.13
2012-07-27,24,30.9
2012-08-03,39,30.45
2012-08-10,28,30.28
2012-08-17,28,30.78
2012-08-24,28,30.4
2012-08-31,27,30.26
2012-09-07,27,30.67
2012-09-14,37,31.34
2012-09-21,31,31.77
2012-09-28,33,31.47
2012-10-05,35,31.97
2012-10-12,37,31.69
2012-10-19,39,32.42
2012-10-26,41,33.09
2012-11-02,29,33.46
2012-11-09,29,33.01
2012-11-16,23,32.36
2012-11-23,23,33.66
2012-11-30,21,33.6
2012-12-07,21,33.28
2012-12-14,21,32.61
2012-12-21,21,33.15
2013-02-01,21,36.34
2013-02-08,21,36.56
2013-02-15,21,37.11
2013-02-22,17,37.21
2013-03-01,18,37.48
2013-03-08,18,38.41
2013-03-15,19,39.02
2013-03-22,19,39.06
2013-04-05,19,39.9
2013-04-12,19,40.11
2013-04-19,20,39.95
2013-04-26,33,38.71
2013-05-03,17,39.4
2013-05-10,17,39.73
2013-05-17,17,40.79
2013-05-24,22,40.14
2013-05-31,21,39.15
2013-06-07,17,39.61
2013-06-14,19,39.43
2013-06-21,22,38.6
2013-06-28,24,39.14
2013-07-05,18,39.71
2013-07-12,23,41.49
2013-07-19,29,41.35
2013-07-26,17,41.16
2013-08-02,17,42.23
2013-08-09,18,41.8
2013-08-16,19,40.74
2013-08-23,20,41.11
2013-08-30,20,39.79
2013-09-06,21,39.95
2013-09-13,21,39.41
2013-09-20,25,39.58
2013-09-27,29,39.38
2013-10-04,18,38.47
2013-10-11,24,38.73
2013-10-18,22,39.08
2013-10-25,22,40
2013-11-01,22,39.83
2013-11-08,22,39.07
2013-11-15,38,39.15
2013-11-22,22,39.54
2013-11-29,22,39.03
2013-12-06,22,39.47
2013-12-13,21,39.09
2013-12-20,18,39.78
2013-12-27,18,40.58
2014-01-03,18,40.41
2014-01-10,19,40.48
2014-01-17,20,39.91
2014-01-24,21,37.85
2014-01-31,15,38.51
2014-02-07,16,38.49
2014-02-14,22,39.06
2014-02-21,29,38.88
2014-02-28,33,39.28
2014-03-07,25,39.38
2014-03-14,25,38.45
2014-03-21,16,38.34
2014-03-28,22,38.34
2014-04-04,18,39.92
2014-04-11,19,39.58
2014-04-25,23,40.31
