"Date","Harris.Corporation","Price"
2004-02-06,100,48.7
2004-02-13,80,48.8
2004-02-20,80,47.7
2004-02-27,57,47.25
2004-03-05,62,47.25
2004-03-12,67,45.85
2004-03-19,72,46
2004-03-26,54,47.2
2004-04-02,54,50.25
2004-05-14,66,43.25
2004-05-21,62,43.8
2004-05-28,62,46.2
2004-06-04,54,45.86
2004-06-18,52,47.81
2004-06-25,64,48.83
2004-07-02,54,49.76
2004-07-09,54,48.74
2004-07-16,54,47.29
2004-07-23,54,45.47
2004-07-30,54,47.48
2004-08-06,65,45.67
2004-08-13,63,43.56
2004-08-20,52,46.71
2004-08-27,57,48
2004-09-03,63,48.43
2004-09-10,68,49.34
2004-09-17,54,51.7
2004-09-24,54,53.53
2004-10-01,54,56.12
2004-10-08,73,57.58
2004-10-15,92,58.02
2004-10-22,58,57.7
2004-10-29,58,61.53
2004-11-05,58,63.44
2004-11-12,58,65.59
2004-11-19,58,67.37
2004-11-26,41,67.38
2004-12-03,41,66.71
2004-12-10,41,63.86
2004-12-17,42,61.8
2004-12-31,49,61.79
2005-01-07,49,56.96
2005-01-14,54,58.3
2005-01-21,53,54.11
2005-01-28,45,63.08
2005-02-04,45,64.24
2005-02-11,46,65.35
2005-02-18,43,64.92
2005-02-25,43,67.06
2005-03-04,39,68.82
2005-03-11,39,68.05
2005-03-18,50,66.07
2005-04-01,57,32.56
2005-04-08,45,33.13
2005-04-15,45,31.08
2005-04-22,46,29.82
2005-04-29,36,28.2
2005-05-06,36,29.2
2005-05-13,36,29.24
2005-05-20,37,29.97
2005-05-27,62,29.11
2005-06-03,43,28.83
2005-06-10,43,31.6
2005-06-17,34,32.46
2005-06-24,39,31.09
2005-07-01,38,31.71
2005-07-08,38,32.17
2005-07-15,38,32.58
2005-07-22,52,31.58
2005-07-29,58,37.07
2005-08-05,34,35.77
2005-08-12,44,36.6
2005-08-19,34,37
2005-08-26,42,37.19
2005-09-02,67,37.8
2005-09-09,47,40.85
2005-09-16,47,40.05
2005-09-23,36,39.71
2005-09-30,52,41.8
2005-10-07,40,40.21
2005-10-14,40,37.98
2005-10-21,36,38.03
2005-10-28,45,40.17
2005-11-04,59,42
2005-11-11,39,42.8
2005-11-18,38,43.75
2005-11-25,31,44.86
2005-12-02,50,44.7
2005-12-09,34,43.54
2005-12-16,35,42.46
2005-12-23,35,44.07
2005-12-30,36,43.01
2006-01-06,36,46.58
2006-01-13,61,47.09
2006-01-20,43,45.5
2006-01-27,41,46.28
2006-02-03,41,46.76
2006-02-10,37,47.81
2006-02-17,30,48.37
2006-02-24,43,47.94
2006-03-03,65,47.28
2006-03-10,41,43.89
2006-03-17,41,45.83
2006-03-24,62,45.52
2006-03-31,46,47.29
2006-04-07,40,46.84
2006-04-21,25,45.86
2006-04-28,29,46.57
2006-05-05,41,47.39
2006-05-12,33,44.71
2006-05-19,22,41.48
2006-05-26,50,41.72
2006-06-02,25,42.41
2006-06-09,40,39.74
2006-06-16,36,39.83
2006-06-23,37,38.72
2006-06-30,49,41.51
2006-07-07,39,41.18
2006-07-14,53,39.54
2006-07-21,43,38.17
2006-07-28,40,44.96
2006-08-04,48,44.42
2006-08-11,32,42.67
2006-08-18,40,45.45
2006-08-25,29,43.82
2006-09-01,26,43.4
2006-09-08,38,42.7
2006-09-15,45,44.31
2006-09-22,49,42.97
2006-09-29,21,44.49
