"Date","NSC","Price"
2004-02-06,89,22.16
2004-02-13,87,22.3
2004-02-20,84,22.35
2004-02-27,68,22.16
2004-03-05,92,21.84
2004-03-12,66,21.37
2004-03-19,79,20.81
2004-03-26,68,21.52
2004-04-02,100,22.35
2004-04-16,66,22.1
2004-04-23,100,24.74
2004-04-30,90,23.82
2004-05-07,76,23.67
2004-05-14,64,23.81
2004-05-21,60,23.84
2004-05-28,70,24.23
2004-06-04,71,24.8
2004-06-18,77,25
2004-06-25,68,25.85
2004-07-02,66,25.16
2004-07-09,76,25.74
2004-07-16,85,25.92
2004-07-23,92,25.39
2004-07-30,82,26.69
2004-08-06,73,26.25
2004-08-13,87,26.27
2004-08-20,73,27.56
2004-08-27,70,27.92
2004-09-03,69,29.27
2004-09-10,67,29.15
2004-09-17,81,29.44
2004-09-24,55,29.39
2004-10-01,79,30.27
2004-10-08,82,30.7
2004-10-15,84,31.27
2004-10-22,57,32.59
2004-10-29,73,33.95
2004-11-05,90,34.83
2004-11-12,49,34.91
2004-11-19,50,33.15
2004-11-26,63,34.35
2004-12-03,91,35.86
2004-12-10,63,35.1
2004-12-17,52,34.85
2004-12-31,44,36.19
2005-01-07,57,36.46
2005-01-14,64,36.22
2005-01-21,86,35.32
2005-01-28,98,34.06
2005-02-04,80,35.2
2005-02-11,85,35.75
2005-02-18,77,35.39
2005-02-25,90,36.56
2005-03-04,99,36.95
2005-03-11,72,37.76
2005-03-18,85,37.66
2005-04-01,77,36.78
2005-04-08,75,34.84
2005-04-15,66,30.65
2005-04-22,63,32.72
2005-04-29,79,31.4
2005-05-06,82,32.04
2005-05-13,77,30.21
2005-05-20,77,32.05
2005-05-27,92,31.93
2005-06-03,86,32.09
2005-06-10,62,31.39
2005-06-17,79,32.94
2005-06-24,73,30.34
2005-07-01,76,31.45
2005-07-08,88,32.15
2005-07-15,74,33.17
2005-07-22,73,34.89
2005-07-29,67,37.21
2005-08-05,81,37.02
2005-08-12,73,37.05
2005-08-19,63,36.63
2005-08-26,68,36.48
2005-09-02,67,36.06
2005-09-09,80,36.05
2005-09-16,72,37.31
2005-09-23,71,38.89
2005-09-30,85,40.56
2005-10-07,51,40.38
2005-10-14,75,39.47
