"Date","Public.Storage","Price"
2004-02-06,48,48.25
2004-02-13,42,48.29
2004-02-20,36,48.05
2004-02-27,44,47.73
2004-03-05,51,50
2004-03-12,60,48.16
2004-03-19,55,48.84
2004-03-26,57,48.4
2004-04-02,66,49.6
2004-04-16,57,43.15
2004-04-23,61,42.28
2004-04-30,76,41.79
2004-05-07,81,41.58
2004-05-14,74,40.71
2004-05-21,60,42.67
2004-05-28,68,45.99
2004-06-04,61,47.84
2004-06-18,44,45.8
2004-06-25,63,46.37
2004-07-02,60,47.18
2004-07-09,72,46.99
2004-07-16,51,48.05
2004-07-23,47,45.9
2004-07-30,90,47.13
2004-08-06,71,48.05
2004-08-13,51,47.66
2004-08-20,72,49.75
2004-08-27,68,50.67
2004-09-03,64,51.81
2004-09-10,52,51.07
2004-09-17,48,51.38
2004-09-24,49,49.5
2004-10-01,50,50.43
2004-10-08,48,50.79
2004-10-15,44,51.88
2004-10-22,50,51.63
2004-10-29,46,52.25
2004-11-05,61,53.35
2004-11-12,52,56.2
2004-11-19,58,52.86
2004-11-26,41,53.9
2004-12-03,65,55.33
2004-12-10,51,56.97
2004-12-17,38,56.3
2004-12-31,49,55.75
2005-01-07,75,53.05
2005-01-14,44,53.24
2005-01-21,37,54.5
2005-01-28,36,53.18
2005-02-04,49,55.25
2005-02-11,49,56
2005-02-18,46,56.65
2005-02-25,35,55.27
2005-03-04,63,57.95
2005-03-11,51,56.96
2005-03-18,45,58.7
2005-04-01,74,56.28
2005-04-08,57,56.46
2005-04-15,60,56.9
2005-04-22,52,56.6
2005-04-29,61,58.7
2005-05-06,71,59.18
2005-05-13,74,60.8
2005-05-20,69,63
2005-05-27,56,60.44
2005-06-03,81,60.85
2005-06-10,69,62.45
2005-06-17,58,63.42
2005-06-24,74,62.8
2005-07-01,65,63.53
2005-07-08,62,65.92
2005-07-15,62,65.12
2005-07-22,52,65.38
2005-07-29,82,66.75
2005-08-05,91,62.95
2005-08-12,76,62.3
2005-08-19,65,65.91
2005-08-26,68,66.7
2005-09-02,70,67.97
2005-09-09,61,70.37
2005-09-16,52,67.8
2005-09-23,54,65.17
2005-09-30,72,67
2005-10-07,71,64.01
2005-10-14,51,63.2
2005-10-21,49,63.67
2005-10-28,51,65.48
2005-11-04,68,65.87
2005-11-11,46,69.17
2005-11-18,43,70.1
2005-11-25,41,71.18
2005-12-02,59,71.54
2005-12-09,48,70.32
2005-12-16,42,69.6
2005-12-23,41,70.3
2005-12-30,43,67.72
2006-01-06,53,71.94
2006-01-13,52,71.65
2006-01-20,44,70.29
2006-01-27,45,72.65
2006-02-03,57,71.1
2006-02-10,52,74.21
2006-02-17,46,76.75
2006-02-24,51,77.41
2006-03-03,57,78.36
2006-03-10,72,82.98
2006-03-17,50,82.45
2006-03-24,47,80.94
2006-03-31,54,81.23
2006-04-07,66,75.8
2006-04-21,64,77.64
2006-04-28,68,76.88
2006-05-05,78,77.33
2006-05-12,65,73.85
2006-05-19,56,72.63
2006-05-26,64,73.66
2006-06-02,74,74.45
2006-06-09,76,73.45
2006-06-16,55,73.46
2006-06-23,58,72.2
2006-06-30,76,75.9
2006-07-07,71,78.22
2006-07-14,73,77.45
2006-07-21,68,75.6
2006-07-28,70,79.89
2006-08-04,86,85.73
2006-08-11,82,82.21
2006-08-18,58,86.1
2006-08-25,56,85.17
2006-09-01,76,86.68
2006-09-08,71,86.74
2006-09-15,56,88.88
2006-09-22,64,86.8
2006-09-29,63,85.99
2006-10-06,63,88.23
2006-10-13,64,88.9
2006-10-20,56,88.25
2006-10-27,54,88.36
2006-11-03,80,86.31
2006-11-10,68,86.99
2006-11-17,56,89.15
2006-11-24,46,96.18
2006-12-01,66,95.42
2006-12-08,76,95.18
2006-12-15,56,96.16
2006-12-22,48,94.13
2006-12-29,63,97.5
2007-01-05,80,97.05
2007-01-12,68,102.98
2007-01-19,53,104.12
2007-01-26,54,105.77
2007-02-02,76,109.62
2007-02-09,68,112.4
2007-02-16,51,111.95
