"Date","Texas.Instruments","Price"
2004-02-06,81,31.31
2004-02-13,72,30.77
2004-02-20,84,30.62
2004-02-27,78,30.65
2004-03-05,71,31.47
2004-03-12,51,29.81
2004-03-19,71,27.79
2004-03-26,61,28.59
2004-04-02,70,30.41
2004-04-16,65,27.66
2004-04-23,62,27.94
2004-04-30,59,25.1
2004-05-07,66,25.42
2004-05-14,56,25.36
2004-05-21,56,24.94
2004-05-28,65,26.11
2004-06-04,64,25.21
2004-06-18,65,23.18
2004-06-25,62,24.03
2004-07-02,57,23.02
2004-07-09,57,22.72
2004-07-16,56,21.14
2004-07-23,57,20.79
2004-07-30,58,21.33
2004-08-06,58,19.67
2004-08-13,74,18.44
2004-08-20,78,19.9
2004-08-27,83,20.34
2004-09-03,93,19.17
2004-09-10,100,21.94
2004-09-17,76,22.08
2004-09-24,76,21.69
2004-10-01,77,22.66
2004-10-08,76,22.05
2004-10-15,72,21.22
2004-10-22,72,22.31
2004-10-29,63,24.45
2004-11-05,61,24.7
2004-11-12,62,24.69
2004-11-19,68,24.75
2004-11-26,63,24.59
2004-12-03,57,25.1
2004-12-10,66,23.63
2004-12-17,60,23.44
2004-12-31,44,24.62
2005-01-07,58,22.92
2005-01-14,69,22.47
2005-01-21,61,21.03
2005-01-28,69,23.11
2005-02-04,67,24.8
2005-02-11,61,25.86
2005-02-18,62,25.32
2005-02-25,59,26.7
2005-03-04,62,26.89
2005-03-11,55,26.2
2005-03-18,53,25.44
2005-04-01,45,24.96
2005-04-08,47,24.91
2005-04-15,56,22.76
2005-04-22,48,24.42
2005-04-29,52,24.96
2005-05-06,50,26.41
2005-05-13,46,26.5
2005-05-20,49,27.7
2005-05-27,45,27.75
2005-06-03,52,27.98
2005-06-10,47,27.38
2005-06-17,51,27.32
2005-06-24,44,28.01
2005-07-01,45,28.03
2005-07-08,40,29.75
2005-07-15,44,30.76
2005-07-22,46,30.76
2005-07-29,48,31.76
2005-08-05,47,31.31
2005-08-12,53,31.79
2005-08-19,59,31.16
2005-08-26,67,32.06
2005-09-02,67,32.5
2005-09-09,74,33.74
2005-09-16,74,32.8
2005-09-23,64,33.9
2005-09-30,63,33.9
2005-10-07,64,30.63
2005-10-14,61,29.93
2005-10-21,62,30.52
2005-10-28,53,28
2005-11-04,49,30.95
2005-11-11,55,31.12
2005-11-18,54,31.88
2005-11-25,47,32.16
2005-12-02,55,34.11
2005-12-09,55,33.37
2005-12-16,47,33.07
2005-12-23,43,32.93
2005-12-30,34,32.07
2006-01-06,42,34.45
2006-01-13,54,33.03
2006-01-20,47,31.66
2006-01-27,53,30.23
2006-02-03,51,30
2006-02-10,52,30.91
2006-02-17,50,31.48
2006-02-24,44,29.68
2006-03-03,53,32.29
2006-03-10,52,30.77
2006-03-17,46,30.19
2006-03-24,44,30.89
2006-03-31,48,32.47
2006-04-07,45,33.07
2006-04-21,41,35.34
2006-04-28,41,34.71
2006-05-05,45,34.95
2006-05-12,42,33.21
2006-05-19,43,31.97
2006-05-26,40,31.64
2006-06-02,41,32.13
2006-06-09,41,29.68
2006-06-16,42,29.56
2006-06-23,44,29.39
2006-06-30,34,30.29
2006-07-07,32,29.17
2006-07-14,40,28.75
2006-07-21,38,27
