"Date","Dun...Bradstreet","Price"
2004-02-06,55,53.27
2004-02-13,57,54.66
2004-02-20,47,53.77
2004-02-27,52,53.22
2004-03-05,47,56.21
2004-03-12,51,54.9
2004-03-19,51,54.55
2004-03-26,49,53.74
2004-04-02,51,54.89
2004-04-16,52,54.16
2004-04-23,53,53.58
2004-04-30,51,52.25
2004-05-07,49,52.7
2004-05-14,54,52.28
2004-05-21,50,52.64
2004-05-28,51,55.33
2004-06-04,46,54.12
2004-06-18,47,53.34
2004-06-25,50,53.23
2004-07-02,52,53.66
2004-07-09,48,51.94
2004-07-16,44,51.82
2004-07-23,56,54.43
2004-07-30,50,56.14
2004-08-06,51,53.15
2004-08-13,52,53.22
2004-08-20,51,55.35
2004-08-27,50,54.85
2004-09-03,45,56.63
2004-09-10,48,58.29
2004-09-17,41,58.25
2004-09-24,49,58.22
2004-10-01,49,58.98
2004-10-08,52,58.86
2004-10-15,47,58.88
2004-10-22,51,56.58
2004-10-29,43,56.56
2004-11-05,44,57.37
2004-11-12,36,58.95
2004-11-19,48,59.06
2004-11-26,40,59.95
2004-12-03,44,59.36
2004-12-10,48,59.66
2004-12-17,45,58.91
2004-12-31,33,59.65
2005-01-07,40,56.31
2005-01-14,46,55.04
2005-01-21,43,56.06
2005-01-28,51,56.8
2005-02-04,43,59.13
2005-02-11,47,59.32
2005-02-18,46,60.63
2005-02-25,44,60.95
2005-03-04,46,62
2005-03-11,43,62
2005-03-18,46,60.94
2005-04-01,40,63.56
2005-04-08,40,63.98
2005-04-15,47,61.53
2005-04-22,43,61.7
2005-04-29,45,62.44
2005-05-06,42,61.11
2005-05-13,47,60.5
2005-05-20,46,61.83
2005-05-27,49,62.3
2005-06-03,44,62.58
2005-06-10,40,61.92
2005-06-17,48,61.65
2005-06-24,43,59.59
2005-07-01,41,61.95
2005-07-08,45,62.36
2005-07-15,44,62.49
2005-07-22,48,62.3
2005-07-29,41,63.33
2005-08-05,46,64.3
2005-08-12,47,64.86
2005-08-19,44,64
2005-08-26,50,63.52
2005-09-02,41,63.65
2005-09-09,44,64.52
2005-09-16,43,65.32
2005-09-23,45,64.57
2005-09-30,45,65.87
2005-10-07,45,64.51
2005-10-14,43,65.53
2005-10-21,46,66.53
2005-10-28,45,62.95
2005-11-04,43,64.38
2005-11-11,41,64.61
2005-11-18,44,65.6
2005-11-25,41,65.66
2005-12-02,40,64.97
2005-12-09,42,64.12
2005-12-16,39,65.37
2005-12-23,38,67.88
2005-12-30,39,66.96
2006-01-06,43,70.13
2006-01-13,43,73.21
2006-01-20,44,72.13
2006-01-27,46,72.18
2006-02-03,46,71.66
2006-02-10,46,71.33
2006-02-17,43,72.18
2006-02-24,45,72.46
2006-03-03,44,73.65
2006-03-10,44,74.55
2006-03-17,43,75.54
2006-03-24,46,75.65
2006-03-31,44,76.68
2006-04-07,40,76.41
2006-04-21,41,77.74
2006-04-28,39,77.02
2006-05-05,39,76.2
