"Date","sell.GPS","Price"
2007-10-26,75,18.61
2008-11-28,71,13.02
2008-12-05,78,14.01
2008-12-12,86,13.19
2008-12-19,93,13.57
2008-12-26,100,12.97
2009-02-20,55,11.55
2009-07-10,48,14.96
2009-07-17,48,16.17
2009-07-24,48,15.94
2009-09-25,44,21.48
2009-12-11,40,21.46
2009-12-18,44,20.89
2010-02-12,53,19.95
2010-02-19,37,19.85
2010-02-26,37,21.5
2010-03-05,37,22.32
2010-03-12,37,22.8
2010-03-19,37,23.22
2010-03-26,37,23.42
2010-04-09,37,24.85
2010-04-16,37,25
2010-04-23,37,26.06
2010-04-30,37,24.73
2010-06-11,45,21.99
2010-06-18,59,21.24
2010-06-25,73,20.2
2010-07-02,36,19.48
2010-07-09,36,18.53
2010-07-16,36,18.13
2010-07-23,40,18.41
2010-07-30,34,18.11
2010-08-06,34,18.28
2010-08-13,34,17.67
2010-08-20,34,17.32
2010-08-27,34,17.03
2010-09-03,36,17.65
2010-09-10,38,17.37
2010-09-17,40,18.91
2010-09-24,42,18.83
2010-10-01,35,18.51
2010-10-08,35,18.21
2010-10-15,35,19.52
2010-10-22,35,19.15
2010-10-29,34,19.01
2010-11-05,34,20.81
2010-11-12,34,20.49
2010-11-19,36,20.7
2010-11-26,37,20.9
2010-12-03,39,21.44
2010-12-10,31,21.48
2010-12-17,31,21.19
2010-12-31,31,22.14
2011-01-07,31,20.51
2011-02-18,28,23.05
2011-02-25,29,22.75
2011-03-04,29,21.59
2011-03-11,30,21.97
2011-03-18,32,21.87
2011-03-25,33,22.56
2011-04-01,32,22.63
2011-04-08,32,22.25
2011-04-15,32,22.47
2011-06-03,31,17.92
2011-06-10,32,17.72
2011-06-17,34,17.83
2011-06-24,35,17.66
2011-07-01,36,18.28
2011-07-08,34,18.98
2011-07-15,34,18.91
2011-07-22,33,19.66
2011-07-29,33,19.29
2011-08-05,28,16.75
2011-09-16,25,17.04
2011-09-23,28,16.31
2011-09-30,30,16.24
2011-10-07,27,17.3
2011-10-14,28,17.78
2011-10-21,28,18.71
2011-10-28,29,19.33
2011-11-04,27,19.65
2011-11-11,27,20.33
2011-11-18,31,18.76
2011-11-25,44,17.62
2011-12-02,33,18.7
2011-12-09,33,18.85
2011-12-16,30,18.3
2011-12-23,30,18.61
2011-12-30,24,18.55
2012-01-06,24,18
2012-01-13,25,18.26
2012-01-20,27,18.63
2012-01-27,32,18.93
2012-02-03,37,21.71
2012-02-10,22,21.59
2012-02-17,22,22.72
2012-02-24,22,22.57
2012-03-02,22,24.41
2012-03-09,22,25
2012-03-16,26,25.39
2012-03-23,22,26.46
2012-03-30,37,26.14
2012-04-13,24,26.56
2012-04-20,24,27.85
2012-04-27,24,28.53
2012-05-04,24,28.2
2012-05-11,27,28
2012-05-18,30,25.71
2012-05-25,33,27.16
2012-06-01,36,25.26
2012-06-08,38,26.24
2012-06-15,23,26.73
2012-06-22,24,27.36
2012-06-29,28,27.36
2012-07-06,26,27.88
2012-07-13,26,27.9
2012-07-20,24,29.2
2012-07-27,29,29.91
2012-08-03,35,33.46
2012-08-10,33,34.21
2012-08-17,27,35.99
2012-08-24,49,35.12
2012-08-31,32,35.82
2012-09-07,27,35.93
2012-09-14,31,35.2
2012-09-21,29,36.19
2012-09-28,22,35.78
2012-10-05,32,37.1
2012-10-12,25,36.1
2012-10-19,23,36.37
2012-10-26,47,35.41
2012-11-02,21,35.11
2012-11-09,19,33.62
2012-11-16,31,33.59
2012-11-23,19,35.5
2012-11-30,36,34.46
2012-12-07,45,31.81
2012-12-14,21,31.45
2012-12-21,41,31.37
2012-12-28,53,30.43
2013-01-04,33,32.1
2013-01-11,22,31.71
2013-01-18,25,32.96
2013-01-25,23,33.54
2013-02-01,25,32.97
2013-02-08,27,32.23
2013-02-15,29,32.88
2013-02-22,22,31.96
2013-03-01,22,33.87
2013-03-08,22,36.23
2013-03-15,22,36.39
2013-03-22,24,35.66
2013-04-05,17,36.65
2013-04-12,38,38.18
2013-04-19,35,37
2013-04-26,19,37.49
2013-05-03,18,38.81
2013-05-10,28,40.99
2013-05-17,24,40.96
2013-05-24,26,40.64
2013-05-31,29,40.55
2013-06-07,28,42.09
2013-06-14,37,41.48
2013-06-21,26,41.32
2013-06-28,26,41.73
2013-07-05,31,43.3
2013-07-12,35,45.1
2013-07-19,34,45.03
2013-07-26,34,45.48
2013-08-02,19,46.48
2013-08-09,23,44.1
2013-08-16,28,43.12
2013-08-23,38,41.97
2013-08-30,34,40.44
2013-09-06,18,40.39
2013-09-13,28,41.64
2013-09-20,23,41.55
2013-09-27,27,40.67
2013-10-04,23,40.51
2013-10-11,23,36.83
2013-10-18,23,37.22
2013-10-25,21,36.66
2013-11-01,28,36.78
2013-11-08,21,41.43
2013-11-15,24,42.15
2013-11-22,22,41.31
2013-11-29,29,40.97
2013-12-06,19,39.46
2013-12-13,29,38.49
2013-12-20,36,38.57
2013-12-27,31,38.62
2014-01-03,31,39.52
2014-01-10,28,39.84
2014-01-17,32,37.3
2014-01-24,24,37.21
2014-01-31,27,38.08
2014-02-07,35,42
2014-02-14,20,42.34
2014-02-21,30,42.77
2014-02-28,36,43.75
2014-03-07,20,42.38
2014-03-14,24,42.08
2014-03-21,24,41.69
2014-03-28,25,40.17
2014-04-04,34,41.37
2014-04-11,21,38.4
2014-04-25,26,38.78
