"Date","sell.HD","Price"
2008-01-18,39,26.28
2008-01-25,41,28.53
2008-02-01,43,30.45
2008-02-08,46,27.97
2008-02-15,48,27.52
2008-02-22,50,27.77
2008-06-13,41,27.53
2008-09-26,37,26.46
2008-11-21,34,19.29
2008-11-28,40,23.11
2008-12-05,30,24.4
2008-12-12,38,23.47
2009-02-20,34,19.46
2009-02-27,28,20.89
2009-03-06,28,18
2009-03-13,28,20.71
2009-03-20,28,22.16
2009-03-27,28,23.63
2009-04-03,28,25
2009-04-17,29,26.1
2009-04-24,38,26.31
2009-05-01,31,25.77
2009-05-08,30,25.5
2009-05-15,27,24.4
2009-05-22,27,22.86
2009-05-29,28,23.16
2009-06-05,28,24.17
2009-06-12,29,24.15
2009-06-19,32,23.52
2009-06-26,34,23.61
2009-07-10,30,22.52
2009-07-17,36,24.67
2009-07-24,44,25.32
2009-07-31,36,25.94
2009-08-07,36,27.26
2009-08-14,27,27.14
2009-08-21,27,27.5
2009-08-28,32,27.69
2009-09-04,25,27.03
2009-09-11,35,27.34
2009-09-18,45,28.23
2009-09-25,35,26.85
2009-10-02,29,26.03
2009-10-09,24,26.96
2009-10-16,27,27.26
2009-10-23,30,26.27
2009-10-30,33,25.09
2009-11-06,23,26.08
2009-11-13,23,27.34
2009-11-20,32,27.18
2009-11-27,29,27.61
2009-12-04,25,28.08
2009-12-11,44,28.49
2009-12-18,26,28.65
2010-01-08,34,28.98
2010-01-15,39,28.57
2010-01-22,30,27.72
2010-01-29,21,28.01
2010-02-05,40,27.98
2010-02-12,30,29
2010-02-19,26,30.15
2010-02-26,35,31.2
2010-03-05,27,31.8
2010-03-12,27,32.45
2010-03-19,27,32.36
2010-03-26,27,32.75
2010-04-09,21,33.25
2010-04-16,21,35.01
2010-04-23,31,36.39
2010-04-30,32,35.23
2010-05-07,36,33.43
2010-05-14,30,35.2
2010-05-21,26,33.02
2010-05-28,26,33.86
2010-06-04,37,32.15
2010-06-11,30,32.22
2010-06-18,31,31.94
2010-06-25,31,30.2
2010-07-02,31,27.76
2010-07-09,29,28.26
2010-07-16,33,27.11
2010-07-23,29,28.25
2010-07-30,33,28.51
2010-08-06,23,28.68
2010-08-13,32,27.31
2010-08-20,27,28.17
2010-08-27,30,28.74
2010-09-03,23,29.85
2010-09-10,49,29.68
2010-09-17,39,29.89
2010-09-24,35,31.64
2010-10-01,35,31.82
2010-10-08,44,31.89
2010-10-15,31,30.7
2010-10-22,48,31.48
2010-10-29,30,30.9
2010-11-05,32,31.92
2010-11-12,44,31.44
2010-11-19,35,31.22
2010-11-26,47,31
2010-12-03,34,33.48
2010-12-10,26,34.4
2010-12-17,35,35.1
2010-12-31,46,35.06
2011-01-07,50,34.38
2011-01-14,33,35.89
2011-01-21,24,36.51
2011-01-28,50,36.7
2011-02-04,28,36.8
2011-02-11,58,37.48
2011-02-18,41,38.48
2011-02-25,31,37.08
2011-03-04,37,37.22
