"Date","CMCSA","Price"
2005-02-18,95,32.77
2006-01-20,63,27.76
2006-05-12,72,32.07
2006-05-19,51,31.56
2006-05-26,51,32.28
2006-07-28,84,34.46
2006-08-04,56,34.84
2006-09-29,53,36.9
2006-10-06,62,37.13
2006-10-13,44,38.54
2006-10-20,58,37.98
2006-10-27,73,40.02
2006-11-03,64,40.02
2006-11-10,65,40.31
2006-11-17,47,40.29
2006-11-24,47,39.75
2006-12-01,47,40.61
2006-12-08,39,42.11
2006-12-15,53,42.95
2006-12-22,43,42.43
2006-12-29,53,42.33
2007-01-05,62,42.55
2007-01-12,71,44.09
2007-01-19,40,44.61
2007-01-26,52,43.3
2007-02-02,94,43.07
2007-02-09,85,40.82
2007-02-16,65,41.63
2007-02-23,100,27.13
2007-03-02,79,25.44
2007-03-09,56,26.12
2007-03-16,56,25.44
2007-03-23,45,26.51
2007-03-30,35,25.95
2007-04-13,56,28.18
2007-04-20,41,27.91
2007-04-27,64,26.93
2007-05-04,65,26.89
2007-05-11,56,26.41
2007-05-18,63,27.53
2007-05-25,51,27.24
2007-06-01,41,27.35
2007-06-08,66,26.33
2007-06-15,47,27.99
2007-06-22,50,27.76
2007-06-29,31,28.12
2007-07-06,35,28.58
2007-07-13,44,27.97
2007-07-20,61,28.59
2007-07-27,44,26.66
2007-08-03,35,25.57
2007-08-10,32,25.44
2007-08-17,47,25.25
2007-08-24,30,25.48
2007-08-31,30,26.09
2007-09-07,34,25
2007-09-14,38,25.17
2007-09-21,42,23.87
2007-09-28,28,24.18
2007-10-05,39,24.22
2007-10-12,41,24.01
2007-10-19,37,23.46
2007-10-26,55,21.23
2007-11-02,59,20.55
2007-11-09,64,19.38
2007-11-16,42,19.89
2007-11-23,29,19.54
2007-11-30,45,20.54
2007-12-07,62,18.28
2007-12-14,52,18.14
2007-12-21,40,18.41
2007-12-28,38,18.4
2008-01-04,38,16.84
2008-01-11,37,17.12
2008-01-18,43,17.03
2008-01-25,47,17.22
2008-02-01,36,18.55
2008-02-08,36,17.06
2008-02-15,59,20.19
2008-02-22,40,20.15
2008-02-29,48,19.54
2008-03-07,43,19.67
2008-03-14,23,18.92
2008-03-28,51,18.98
2008-04-04,32,20.29
2008-04-11,29,19.65
2008-04-18,34,20.28
2008-04-25,41,19.53
2008-05-02,49,21.97
2008-05-09,36,21.68
2008-05-16,38,22.08
2008-05-23,38,21.62
2008-05-30,39,22.5
2008-06-06,39,21.94
2008-06-13,22,21.74
2008-06-20,27,19.7
2008-06-27,23,18.63
2008-07-11,30,18.49
2008-07-18,31,20.24
2008-07-25,33,19.62
2008-08-01,39,20.35
2008-08-08,34,21.72
