"Date","Becton.Dickinson","Price"
2004-02-06,58,47.62
2004-02-13,70,48.8
2004-02-20,59,48.29
2004-02-27,66,48.65
2004-03-05,100,48.82
2004-03-12,55,47.4
2004-03-19,64,47.82
2004-03-26,77,47.75
2004-04-02,72,49.84
2004-04-16,51,49.65
2004-04-23,59,52.81
2004-04-30,58,50.55
2004-05-07,45,50.68
2004-05-14,59,48.41
2004-05-21,56,48.76
2004-05-28,68,50.32
2004-06-04,49,50.38
2004-06-18,64,52.94
2004-06-25,68,50.61
2004-07-02,61,49.49
2004-07-09,69,48.14
2004-07-16,67,47.93
2004-07-23,63,46.5
2004-07-30,68,47.23
2004-08-06,47,46.62
2004-08-13,53,47.68
2004-08-20,46,48.4
2004-08-27,58,47.34
2004-09-03,55,49.47
2004-09-10,52,50.21
2004-09-17,59,50.9
2004-09-24,58,51.57
2004-10-01,57,52.85
2004-10-08,60,50.8
2004-10-15,49,50.32
2004-10-22,56,50.41
2004-10-29,45,52.5
2004-11-05,56,52.32
2004-11-12,54,54.44
2004-11-19,72,53.86
2004-11-26,45,54.09
2004-12-03,57,56.17
2004-12-10,60,56.3
2004-12-17,48,57.83
2004-12-31,18,56.8
2005-01-07,53,54.86
2005-01-14,42,54.16
2005-01-21,59,54.08
2005-01-28,69,56.4
2005-02-04,47,59.28
2005-02-11,56,58.96
2005-02-18,50,58.7
2005-02-25,50,59.96
2005-03-04,44,59.4
2005-03-11,55,58.89
2005-03-18,38,59.15
2005-04-01,34,57.56
2005-04-08,39,58.44
2005-04-15,48,57.08
2005-04-22,56,57.15
2005-04-29,52,58.52
2005-05-06,40,59.5
2005-05-13,58,58.64
2005-05-20,53,58.72
2005-05-27,40,57.4
2005-06-03,38,56.4
2005-06-10,36,55.67
2005-06-17,42,53.73
2005-06-24,57,51.27
2005-07-01,42,52.58
2005-07-08,45,52.33
2005-07-15,44,52.53
2005-07-22,56,54.91
2005-07-29,45,55.37
2005-08-05,48,54.06
2005-08-12,46,54.31
2005-08-19,47,53.54
2005-08-26,44,52.44
2005-09-02,27,53.65
2005-09-09,42,54
2005-09-16,58,53.83
2005-09-23,50,52.75
2005-09-30,34,52.43
2005-10-07,55,51.83
2005-10-14,45,51.42
2005-10-21,45,50.82
2005-10-28,40,50.53
2005-11-04,35,57.5
2005-11-11,49,58.48
2005-11-18,42,59.29
2005-11-25,39,59.1
2005-12-02,37,58.68
2005-12-09,41,58.13
2005-12-16,33,59.42
2005-12-23,36,60.72
2005-12-30,31,60.08
2006-01-06,41,62.05
2006-01-13,44,61.43
2006-01-20,39,58.97
2006-01-27,49,64.2
2006-02-03,47,63.27
2006-02-10,37,64.33
2006-02-17,40,65.36
2006-02-24,33,65.45
2006-03-03,37,64.43
2006-03-10,34,62.88
2006-03-17,40,64
