"Date","Dollar.General","Price"
2009-11-13,29,22.73
2009-11-20,26,23.21
2009-11-27,31,23.15
2009-12-04,31,23.85
2009-12-11,31,23.34
2009-12-18,31,22.57
2010-01-08,22,23.87
2010-01-15,20,24.36
2010-01-22,22,23.34
2010-01-29,21,23.49
2010-02-05,21,21.71
2010-02-12,23,22.55
2010-02-19,20,23.58
2010-02-26,20,23.89
2010-03-05,22,24.52
2010-03-12,20,25.13
2010-03-19,21,25.6
2010-03-26,21,24.99
2010-04-09,24,26.47
2010-04-16,22,28.6
2010-04-23,23,29.38
2010-04-30,25,28.57
2010-05-07,25,27.19
2010-05-14,25,29.27
2010-05-21,24,29.55
2010-05-28,24,30.23
2010-06-04,23,30.04
2010-06-11,23,29.97
2010-06-18,24,30.15
2010-06-25,24,29.08
2010-07-02,24,28.01
2010-07-09,27,28.14
2010-07-16,27,29.09
2010-07-23,28,29.37
2010-07-30,26,29.18
2010-08-06,30,29.44
2010-08-13,28,28.76
2010-08-20,30,29.44
2010-08-27,27,28.09
2010-09-03,28,28.03
2010-09-10,27,27.45
2010-09-17,26,27.42
2010-09-24,28,28.23
2010-10-01,28,29.15
2010-10-08,30,30
2010-10-15,26,28.93
2010-10-22,28,28.2
2010-10-29,30,28.19
2010-11-05,30,28
2010-11-12,31,29.02
2010-11-19,32,30.96
2010-11-26,43,32.74
2010-12-03,40,33.43
2010-12-10,39,31.07
2010-12-17,39,30.66
2010-12-31,30,30.67
2011-01-07,40,29.83
2011-01-14,32,29.46
2011-01-21,32,29.41
2011-01-28,30,28.4
2011-02-04,30,27.47
2011-02-11,28,27.24
2011-02-18,29,29.25
2011-02-25,29,28
2011-03-04,30,28.47
2011-03-11,27,28.82
2011-03-18,28,29.85
2011-03-25,32,31.55
2011-04-01,30,31.55
2011-04-08,34,31.82
2011-04-15,33,31.49
2011-04-29,35,32.59
2011-05-06,35,32.95
2011-05-13,38,33.39
2011-05-20,38,33.63
2011-05-27,39,34.66
2011-06-03,44,31.84
2011-06-10,39,32.57
2011-06-17,41,33.89
2011-06-24,42,33.44
2011-07-01,44,34
2011-07-08,39,33.86
2011-07-15,43,33.21
2011-07-22,43,33.2
2011-07-29,43,31.46
2011-08-05,45,30.8
2011-08-12,44,31.66
2011-08-19,46,32.08
2011-08-26,43,32.55
2011-09-02,43,36.06
2011-09-09,40,34.8
2011-09-16,38,38.07
2011-09-23,40,36.55
2011-09-30,39,37.76
2011-10-07,43,37.8
2011-10-14,39,39.33
2011-10-21,42,40
2011-10-28,46,38.97
2011-11-04,45,39.26
2011-11-11,43,39.86
2011-11-18,49,39.71
2011-11-25,60,38.32
2011-12-02,53,39.94
2011-12-09,53,40.44
2011-12-16,51,41.02
2011-12-23,61,41.22
2011-12-30,49,41.14
2012-01-06,50,40.87
2012-01-13,45,41
2012-01-20,43,40.96
2012-01-27,41,42.09
2012-02-03,41,41.94
2012-02-10,40,42.89
2012-02-17,40,42.38
2012-02-24,41,41.67
2012-03-02,38,42.77
2012-03-09,44,44.21
2012-03-16,41,44.69
2012-03-23,45,47.13
2012-03-30,43,46.2
2012-04-13,45,46.3
2012-04-20,46,46.93
2012-04-27,43,47.78
2012-05-04,48,47.56
2012-05-11,46,47.17
2012-05-18,50,45.65
2012-05-25,50,47.58
2012-06-01,52,48.62
2012-06-08,50,50.29
2012-06-15,51,52.19
2012-06-22,53,52.6
2012-06-29,54,54.39
2012-07-06,56,54.59
2012-07-13,57,54.53
2012-07-20,57,52.34
2012-07-27,56,50.99
2012-08-03,60,51.9
2012-08-10,55,51.77
2012-08-17,56,51.35
2012-08-24,57,49.66
2012-08-31,58,51.07
2012-09-07,53,49.85
2012-09-14,53,50.16
2012-09-21,55,52.94
2012-09-28,53,51.54
2012-10-05,57,51.69
2012-10-12,53,49.25
2012-10-19,54,47.17
2012-10-26,60,47.63
2012-11-02,61,47.77
2012-11-09,57,46.99
2012-11-16,62,48.7
2012-11-23,79,49.41
2012-11-30,67,50
2012-12-07,68,46.8
2012-12-14,64,43.83
2012-12-21,72,43.63
