"Date","HCBK","Price"
2005-06-17,100,11.3
2006-10-20,59,13.46
2006-10-27,52,13.57
2006-11-03,52,13.43
2006-11-10,52,13.64
2007-01-19,47,13.99
2007-03-02,43,13.35
2007-11-02,31,14.39
2007-11-09,33,14.94
2007-11-16,35,15.13
2007-11-23,37,14.85
2007-11-30,38,15.22
2007-12-07,51,15.59
2007-12-14,40,14.48
2007-12-21,40,15.03
2007-12-28,40,14.79
2008-01-04,40,14.57
2008-01-11,34,14.95
2008-01-18,30,13.9
2008-01-25,60,15.69
2008-02-01,43,16.42
2008-02-08,44,15.99
2008-02-15,30,15.65
2008-02-22,31,16.25
2008-02-29,33,15.87
2008-03-07,35,15.45
2008-03-14,37,16.34
2008-03-28,45,17.75
2008-04-04,65,18.42
2008-04-11,31,17.48
2008-04-18,28,18.09
2008-04-25,45,19.11
2008-05-02,29,19.41
2008-05-09,34,18.59
2008-05-16,31,18.47
2008-05-23,31,17.83
2008-05-30,28,17.8
2008-06-06,28,17.04
2008-06-13,28,16.74
2008-06-20,30,17.2
2008-06-27,32,16.9
2008-07-11,29,17.81
2008-07-18,56,18.39
2008-07-25,45,17.09
2008-08-01,44,18.34
2008-08-08,35,18.76
2008-08-15,35,18.7
2008-08-22,25,18.01
2008-08-29,25,18.44
2008-09-05,25,18.38
2008-09-12,26,19.21
2008-09-19,42,19.66
2008-09-26,35,18.81
2008-10-03,49,18.45
2008-10-10,34,15.32
2008-10-17,38,17.34
2008-10-24,38,16.03
2008-10-31,22,18.81
2008-11-07,27,17.65
2008-11-14,24,17.51
2008-11-21,30,16.41
2008-11-28,24,16.7
2008-12-05,30,15.64
2009-01-16,21,13.29
2009-01-23,44,12.03
2009-01-30,26,11.6
2009-02-06,34,12.56
2009-02-13,35,11.85
2009-02-20,40,10.48
2009-02-27,44,10.37
2009-03-06,35,8.8
2009-03-13,56,10.55
2009-03-20,51,11.09
2009-03-27,40,11.86
2009-04-03,29,12.26
2009-04-17,38,12.8
2009-04-24,33,12.81
2009-05-01,29,12.13
2009-05-08,19,12.63
2009-05-15,21,12.28
2009-05-22,23,11.63
2009-05-29,24,12.83
2009-06-05,26,12.86
2009-06-12,31,13.17
2009-06-19,36,13.32
2009-06-26,40,13.44
2009-07-10,21,13.66
2009-07-17,27,14.27
2009-07-24,38,13.65
2009-07-31,21,14.06
2009-08-07,35,14.5
2009-08-14,21,13.84
2009-08-21,25,13.37
2009-08-28,28,12.87
2009-09-04,30,12.68
2009-09-11,25,13.29
2009-10-23,36,13.41
2009-10-30,21,13.14
2009-11-06,21,13.22
2009-11-13,21,13.3
2009-11-20,22,13.3
2009-11-27,24,12.95
2009-12-04,26,13.27
2009-12-11,19,13.17
2009-12-18,22,13.48
2010-01-08,31,14.33
2010-01-15,23,13.84
2010-01-22,27,13.12
2010-01-29,21,13.27
2010-02-05,21,13.06
2010-02-12,20,13.19
2010-02-19,20,13.16
2010-02-26,20,13.52
2010-03-05,20,13.39
2010-03-12,20,13.66
2010-03-19,19,13.84
