"Date","buy.K","Price"
2004-02-06,59,38.05
2004-02-13,37,38.49
2004-02-20,40,38.95
2004-02-27,43,39.49
2004-04-16,33,41.34
2004-04-23,33,42.82
2004-04-30,33,42.9
2004-05-07,33,42.34
2004-05-14,35,42.02
2004-05-21,37,42.31
2004-05-28,39,42.4
2004-06-04,41,42.46
2004-06-18,42,41.07
2004-06-25,34,41.17
2004-07-02,34,41.31
2004-07-09,34,41.85
2004-07-16,34,41.21
2004-07-23,34,40.23
2004-07-30,55,41.66
2004-08-06,39,40.76
2004-08-13,39,40.89
2004-08-20,39,41.58
2004-08-27,40,42.01
2004-09-03,40,42.01
2004-09-10,40,42.12
2004-09-17,39,42.71
2004-09-24,39,41.44
2004-10-01,27,42.7
2004-10-08,27,42.09
2004-10-15,27,42.05
2004-10-22,27,42.41
2004-10-29,33,43
2004-11-05,39,44.27
2004-11-12,44,45
2004-11-19,46,44.29
2004-11-26,49,45.01
2004-12-03,41,44.48
2004-12-10,64,43.38
2004-12-17,45,44.02
2004-12-31,47,44.66
2005-01-07,44,44.21
2005-01-14,27,44.3
2005-01-21,36,44.3
2005-01-28,33,45.29
2005-02-04,35,44.45
2005-02-11,31,44.9
2005-02-18,26,44.01
2005-02-25,27,44.3
2005-03-04,28,44.58
2005-03-11,29,43.35
2005-03-18,33,42.81
2005-04-01,23,42.69
2005-04-08,25,43.3
2005-04-15,26,43.43
2005-04-22,35,42.92
2005-04-29,31,44.95
2005-05-06,31,45.46
2005-05-13,31,44.9
2005-05-20,32,45.19
2005-05-27,41,45.75
2005-06-03,32,46.18
2005-06-10,23,45.52
2005-06-17,45,45.5
2005-06-24,27,44.47
2005-07-01,39,44.64
2005-07-08,35,44.63
2005-07-15,29,44.8
2005-07-22,22,44.49
2005-07-29,47,45.31
2005-08-05,41,44.82
2005-08-12,40,45.3
2005-08-19,32,45.74
2005-08-26,29,45.16
2005-09-02,23,45.17
2005-09-09,23,45.83
2005-09-16,41,45
2005-09-23,36,44.06
2005-09-30,25,46.13
2005-10-07,50,45.61
2005-10-14,25,45.81
2005-10-21,30,46.09
2005-10-28,30,46.46
2005-11-04,30,43.9
2005-11-11,34,44.87
2005-11-18,25,44.57
