"Date","buy.TSN","Price"
2008-12-26,79,8.2
2009-05-01,54,10.56
2009-12-04,44,12.6
2009-12-11,51,12.64
2009-12-18,59,12.18
2010-04-30,45,19.59
2010-07-16,39,17.18
2010-08-27,34,16.61
2010-09-03,33,16.21
2010-09-10,33,16.84
2010-09-17,33,15.85
2010-09-24,33,15.65
2010-10-01,37,16.26
2010-10-08,41,15.01
2010-10-15,42,15.36
2010-10-22,42,15.63
2010-10-29,42,15.55
2010-11-05,43,15.1
2010-11-12,43,14.99
2010-11-19,40,15.64
2010-11-26,40,16.18
2010-12-03,40,16.9
2010-12-10,40,17.74
2010-12-17,40,17.18
2010-12-31,76,17.22
2011-01-07,52,16.93
2011-01-14,29,17.01
2011-01-21,29,17.25
2011-01-28,29,16.55
2011-02-04,32,18.56
2011-02-11,36,18.49
2011-02-18,31,18.63
2011-02-25,30,18.87
2011-03-04,30,18.42
2011-03-11,30,19.49
2011-03-18,30,19.06
2011-03-25,35,19.82
2011-04-01,31,19.32
2011-04-08,31,19.31
2011-04-15,31,19.63
2011-06-03,28,17.76
2011-06-10,28,17.12
2011-06-17,28,18.18
2011-06-24,28,18.9
2011-07-01,28,19.53
2011-07-08,28,18.65
2011-09-02,26,17.09
2011-10-14,26,18.55
2011-10-21,29,18.8
2011-10-28,24,19.58
2011-11-04,27,19.33
2011-11-11,30,19.51
2011-11-18,33,19.45
2011-11-25,36,19.25
2011-12-02,35,20.16
2011-12-09,33,20.53
2011-12-16,49,20.37
2011-12-23,37,20.91
2011-12-30,91,20.64
2012-01-06,28,20.32
2012-01-13,51,19.88
2012-01-20,40,19.2
2012-01-27,40,18.8
2012-02-03,24,19.38
2012-02-10,28,18.92
2012-02-17,33,18.99
2012-02-24,26,18.99
2012-03-02,42,19.43
2012-03-09,31,19.86
2012-03-16,24,19.86
2012-03-23,24,19.48
2012-03-30,22,19.15
2012-04-13,41,17.93
2012-04-20,24,18.05
2012-04-27,24,18.22
2012-05-04,24,18.04
2012-05-11,26,19.58
2012-05-18,27,19.12
2012-05-25,29,19.32
2012-06-01,30,18.68
2012-06-08,32,19.05
2012-06-15,25,18.76
2012-06-22,32,18.93
2012-06-29,22,18.83
2012-07-06,22,17.59
2012-07-13,22,16.15
2012-07-20,22,15.09
2012-07-27,22,15.07
2012-08-03,32,15.4
2012-08-10,41,16.04
2012-08-17,33,15.46
2012-08-24,22,15.15
2012-08-31,21,15.66
2012-09-07,21,15.7
2012-09-14,21,16.46
2012-09-21,21,16.44
2012-09-28,21,16.02
2012-10-05,21,16.37
2012-10-12,22,16.02
2012-10-19,31,16.44
2012-10-26,37,16.54
2012-11-02,19,17.13
2012-11-09,19,16.81
2012-11-16,31,16.88
2012-11-23,66,19.25
2012-11-30,39,19.17
2012-12-07,34,19.63
2012-12-14,39,19.65
2012-12-21,42,19.47
2012-12-28,100,19.18
2013-01-04,48,20.34
2013-01-11,36,20.32
2013-01-18,41,21.85
2013-01-25,23,22.44
2013-02-01,25,22.8
2013-02-08,20,23.78
2013-02-15,18,24.01
2013-02-22,36,23.8
2013-03-01,36,23.18
2013-03-08,36,24
2013-03-15,29,24.41
2013-03-22,26,24.13
2013-04-05,47,24.03
2013-04-12,24,23.88
2013-04-19,17,24.08
2013-04-26,22,24.72
2013-05-03,24,24.93
2013-05-10,22,24.75
2013-05-17,22,24.95
2013-05-24,17,24.87
2013-05-31,26,25
2013-06-07,26,25.05
2013-06-14,19,25.56
2013-06-21,20,25.19
2013-06-28,21,25.68
2013-07-05,28,26.32
2013-07-12,26,27.19
2013-07-19,19,27.07
2013-07-26,19,27.15
2013-08-02,23,28.51
2013-08-09,19,31.36
2013-08-16,17,31.44
2013-08-23,17,31.48
2013-08-30,17,28.95
2013-09-06,23,29.5
2013-09-13,31,30.25
2013-09-20,21,30.32
2013-09-27,21,28.6
2013-10-04,21,28.84
2013-10-11,20,29.76
2013-10-18,21,28.45
2013-10-25,18,28.14
2013-11-01,24,27.71
2013-11-08,32,28
2013-11-15,27,28.77
2013-11-22,25,31.82
2013-11-29,41,31.69
2013-12-06,41,33.82
2013-12-13,32,33.11
2013-12-20,34,33.21
2013-12-27,64,33.47
2014-01-03,60,33.42
2014-01-10,28,34.84
2014-01-17,26,35.04
2014-01-24,39,34.77
2014-01-31,38,37.4
2014-02-07,17,36.09
2014-02-14,21,37.73
2014-02-21,27,38.91
2014-02-28,37,39.45
2014-03-07,30,40.27
2014-03-14,23,41.48
2014-03-21,24,42.37
2014-03-28,15,43.15
2014-04-04,19,41.22
2014-04-11,18,41.67
2014-04-25,15,42.43
