"Date","buy.L","Price"
2004-07-30,94,56.63
2004-11-05,88,63.53
2004-11-12,65,65.44
2004-11-19,65,66.63
2004-11-26,65,68.55
2004-12-03,65,70.19
2004-12-10,65,69.44
2004-12-17,75,69.1
2004-12-31,75,70.3
2005-01-07,75,69.47
2005-01-14,75,69.4
2005-01-21,75,68.29
2005-01-28,75,67.39
2005-02-04,59,70.8
2005-02-11,61,71.74
2005-02-18,64,72.03
2005-02-25,89,72.24
2005-03-04,71,73.87
2005-03-11,71,71.8
2005-03-18,71,70.82
2005-04-01,58,72.94
2005-04-08,60,73.35
2005-04-15,63,70.01
2005-04-22,66,69.97
2005-04-29,49,70.88
2005-05-06,51,73
2005-05-13,52,71.36
2005-05-20,53,72.34
2005-05-27,64,74.5
2005-06-03,54,74.93
2005-07-15,70,80.48
2005-07-22,49,83
2005-07-29,49,83.63
2005-08-05,89,83.45
2005-08-12,72,85.35
2005-08-19,92,87.2
2005-08-26,60,87.6
2005-09-02,61,87.28
2005-09-09,62,93.67
2005-09-16,47,93.07
2005-09-23,57,90.43
2005-09-30,41,92.41
2005-10-07,76,90.68
2005-10-14,44,88.3
2005-10-21,44,89.94
2005-10-28,48,90.75
2005-11-04,46,94.53
2005-11-11,46,96.36
2005-11-18,50,97.8
2005-11-25,57,97.8
2005-12-02,64,97.52
2005-12-09,57,96.96
2005-12-16,39,96.5
2005-12-23,80,95.94
2005-12-30,72,94.85
2006-01-06,72,98.79
2006-01-13,73,100.76
2006-01-20,69,99.26
2006-01-27,47,99.47
2006-02-03,47,97.53
2006-02-10,47,95.85
2006-02-17,43,95.43
2006-02-24,54,93.35
2006-03-03,40,94.59
2006-03-10,55,95.04
2006-03-17,52,100.05
2006-03-24,41,100.59
2006-03-31,54,101.2
2006-04-07,42,99.98
2006-04-21,63,104.21
2006-04-28,63,106.15
2006-05-05,36,110.38
2006-05-12,41,35.51
2006-05-19,47,34.85
2006-05-26,44,33.8
2006-06-02,48,34.97
2006-06-09,41,34.38
2006-06-16,42,34.03
2006-06-23,60,34.33
2006-06-30,50,35.45
2006-07-07,50,35.62
2006-07-14,32,35.46
2006-07-21,36,35.04
2006-07-28,48,36.23
2006-08-04,50,36.79
2006-08-11,49,36.65
2006-08-18,44,37.34
2006-08-25,66,37.9
2006-09-01,58,38.6
2006-09-08,37,38.05
2006-09-15,48,38.41
2006-09-22,44,38
2006-09-29,44,37.9
2006-10-06,82,37.81
2006-10-13,67,38.25
2006-10-20,42,38.14
2006-10-27,47,38.65
2006-11-03,55,38.82
2006-11-10,43,40
2006-11-17,44,39.41
2006-11-24,46,40.06
2006-12-01,29,40.3
2006-12-08,66,40.59
2006-12-15,35,41.57
2006-12-22,80,41.43
2006-12-29,47,41.47
2007-01-05,38,40.37
2007-01-12,53,42.26
2007-01-19,43,42.44
2007-01-26,43,42.43
2007-02-02,47,43.58
2007-02-09,44,42.84
2007-02-16,29,44.01
2007-02-23,59,44.09
2007-03-02,40,42.53
2007-03-09,43,43.9
2007-03-16,45,43.7
2007-03-23,42,45.96
2007-03-30,28,45.43
2007-04-13,39,46.54
2007-04-20,46,46.44
2007-04-27,32,46.64
2007-05-04,40,47.93
2007-05-11,59,48.56
2007-05-18,46,50.09
2007-05-25,33,50.95
2007-06-01,43,51.02
2007-06-08,50,50.87
2007-06-15,63,52.85
2007-06-22,51,52.07
2007-06-29,46,50.98
2007-07-06,37,52.06
2007-07-13,52,51.86
2007-07-20,47,51.12
2007-07-27,46,47.6
2007-08-03,48,44.95
2007-08-10,54,44.3
2007-08-17,50,46.45
2007-08-24,52,48.25
2007-08-31,40,47.01
2007-09-07,63,46.02
2007-09-14,50,45.57
2007-09-21,61,47.62
2007-09-28,51,48.35
2007-10-05,67,49.67
2007-10-12,60,50.12
2007-10-19,46,48.84
2007-10-26,61,50.03
2007-11-02,63,47.61
2007-11-09,55,45.9
2007-11-16,49,45.18
2007-11-23,82,45.31
2007-11-30,65,47.79
2007-12-07,62,48.54
2007-12-14,41,46.8
2007-12-21,48,49.49
2007-12-28,50,49.35
2008-01-04,77,48.49
2008-01-11,76,47.88
2008-01-18,56,44.92
2008-01-25,42,44.75
2008-02-01,54,47.28
2008-02-08,57,44.73
2008-02-15,58,42.92
2008-02-22,56,43.01
2008-02-29,55,41.84
2008-03-07,69,40.96
2008-03-14,56,40.24
2008-03-28,49,40.06
2008-04-04,43,42.14
2008-04-11,65,41.09
2008-04-18,63,44.27
2008-04-25,48,44.63
2008-05-02,65,43.32
2008-05-09,42,46.29
2008-05-16,48,49.41
2008-05-23,68,47.09
2008-05-30,67,49.57
2008-06-06,68,49.95
2008-06-13,80,50.4
2008-06-20,49,49.49
2008-06-27,49,47.52
