"Date","CMA","Price"
2004-02-06,8,56.9
2004-02-13,8,57.58
2004-02-20,7,56.8
2004-02-27,9,57.54
2004-03-05,8,57.98
2004-03-12,8,54.63
2004-03-19,7,53.56
2004-03-26,7,53.08
2004-04-02,7,53.82
2004-04-16,6,52.5
2004-04-23,7,52.58
2004-04-30,8,51.63
2004-05-07,6,51.81
2004-05-14,9,52.66
2004-05-21,9,54.71
2004-05-28,11,56.61
2004-06-04,9,55.7
2004-06-18,9,54.27
2004-06-25,7,54.67
2004-07-02,7,54.41
2004-07-09,7,53.17
2004-07-16,8,56.23
2004-07-23,8,57.79
2004-07-30,7,58.47
2004-08-06,7,56.65
2004-08-13,8,59.39
2004-08-20,7,59.31
2004-08-27,7,59.86
2004-09-03,8,60.65
2004-09-10,8,60.4
2004-09-17,9,60.56
2004-09-24,8,59.08
2004-10-01,8,60.14
2004-10-08,9,61.82
2004-10-15,7,62.33
2004-10-22,8,59.45
2004-10-29,7,61.51
2004-11-05,9,62.22
2004-11-12,35,63.46
2004-11-19,11,61.74
2004-11-26,8,62.38
2004-12-03,8,62.2
2004-12-10,7,59.72
2004-12-17,7,59.5
2004-12-31,5,61.02
2005-01-07,8,59.26
2005-01-14,7,58.72
2005-01-21,8,58.2
2005-01-28,8,57.06
2005-02-04,9,58.75
2005-02-11,7,58.41
2005-02-18,7,57.87
2005-02-25,8,57.68
2005-03-04,9,58.09
2005-03-11,7,56.97
2005-03-18,8,56.4
2005-04-01,8,54.69
2005-04-08,8,54.77
2005-04-15,9,53.46
2005-04-22,8,55.57
2005-04-29,8,57.26
2005-05-06,8,56.92
2005-05-13,8,55.45
2005-05-20,12,56.89
2005-05-27,8,56.38
2005-06-03,9,56.69
2005-06-10,9,56.32
2005-06-17,9,58.46
2005-06-24,8,57.54
2005-07-01,7,57.66
2005-07-08,7,58.38
2005-07-15,8,60.01
2005-07-22,8,63.05
2005-07-29,9,61.1
2005-08-05,10,59.55
2005-08-12,9,60.24
2005-08-19,8,60.86
2005-08-26,8,59.48
2005-09-02,7,61
2005-09-09,9,61.48
2005-09-16,9,61.15
2005-09-23,8,59.41
2005-09-30,8,58.9
2005-10-07,8,57.84
2005-10-14,9,56.45
2005-10-21,8,55.03
2005-10-28,8,57.74
2005-11-04,9,57.98
2005-11-11,10,59.73
2005-11-18,43,59.59
2005-11-25,11,59
2005-12-02,9,58.02
2005-12-09,8,56.98
2005-12-16,7,57.75
2005-12-23,6,57.87
2005-12-30,7,56.76
2006-01-06,8,57.63
2006-01-13,8,57.8
2006-01-20,8,54.76
2006-01-27,8,56.3
2006-02-03,8,55.03
2006-02-10,7,55.46
2006-02-17,8,56.78
2006-02-24,8,57.22
2006-03-03,8,56.92
2006-03-10,9,56.4
2006-03-17,8,57.75
2006-03-24,8,58.22
2006-03-31,8,57.97
2006-04-07,8,58.21
2006-04-21,8,55.33
2006-04-28,8,56.87
2006-05-05,8,55.96
2006-05-12,9,55.76
2006-05-19,8,55.48
2006-05-26,13,55.25
2006-06-02,9,55.4
2006-06-09,10,55.82
2006-06-16,9,54.01
2006-06-23,8,50.7
2006-06-30,8,51.99
2006-07-07,7,53.2
2006-07-14,9,52.14
2006-07-21,8,55.04
2006-07-28,12,58.33
2006-08-04,9,58.65
2006-08-11,8,57.42
2006-08-18,8,57.27
2006-08-25,8,56.57
2006-09-01,10,57.42
2006-09-08,9,56.82
2006-09-15,10,57.38
2006-09-22,9,57.47
2006-09-29,8,56.92
2006-10-06,8,56.16
2006-10-13,9,57.24
2006-10-20,9,58.39
2006-10-27,9,58.58
2006-11-03,10,57.81
2006-11-10,100,58.98
2006-11-17,14,59.18
2006-11-24,10,58.52
2006-12-01,8,57.98
