"Date","KMI","Price"
2011-02-11,28,31.05
2011-02-18,27,31.37
2011-02-25,30,30.5
2011-03-04,25,30.85
2011-03-11,29,30.1
2011-03-18,30,30.5
2011-03-25,32,29.52
2011-04-01,43,29.5
2011-04-08,45,29.33
2011-04-15,44,28.88
2011-04-29,51,28.58
2011-05-06,43,28
2011-05-13,55,27.93
2011-05-20,45,28.5
2011-05-27,54,29.18
2011-06-03,55,29.75
2011-06-10,55,29.53
2011-06-17,51,29.7
2011-06-24,59,28.6
2011-07-01,72,29.27
2011-07-08,48,28.92
2011-07-15,61,28.59
2011-07-22,53,28.36
2011-07-29,47,28.23
2011-08-05,56,25.92
2011-08-12,57,26.77
2011-08-19,58,23.82
2011-08-26,74,24.78
2011-09-02,49,25.19
2011-09-09,48,24.85
2011-09-16,39,25.5
2011-09-23,31,25.52
2011-09-30,28,25.89
2011-10-07,37,26.34
2011-10-14,27,26.89
2011-10-21,28,29.22
2011-10-28,25,29.1
2011-11-04,25,28.31
2011-11-11,20,27.57
2011-11-18,20,28.25
2011-11-25,20,29
2011-12-02,24,31
2011-12-09,28,29.6
2011-12-16,43,29.84
2011-12-23,30,31.37
2011-12-30,22,32.17
2012-01-06,38,32.89
2012-01-13,23,32.86
2012-01-20,28,32.77
2012-01-27,31,32.38
2012-02-03,63,31.92
2012-02-10,51,32.35
2012-02-17,36,32.23
2012-02-24,25,33.24
2012-03-02,22,36.29
2012-03-09,33,37.52
2012-03-16,35,36.85
2012-03-23,32,38.6
2012-03-30,37,38.65
2012-04-13,40,38.41
2012-04-20,43,36.16
2012-04-27,51,35.84
2012-05-04,57,35.25
2012-05-11,53,33.99
2012-05-18,58,32.5
2012-05-25,61,32.42
2012-06-01,59,32.35
2012-06-08,57,31.53
2012-06-15,59,31.9
2012-06-22,73,31.68
2012-06-29,73,32.22
2012-07-06,64,32.96
2012-07-13,58,34.54
2012-07-20,63,34.99
2012-07-27,61,35.81
2012-08-03,59,35.89
2012-08-10,52,34.64
2012-08-17,59,34.22
2012-08-24,65,35.29
2012-08-31,48,35.77
2012-09-07,36,35.84
2012-09-14,42,36.23
2012-09-21,36,35.7
2012-09-28,36,35.52
2012-10-05,36,36.04
2012-10-12,30,34.5
2012-10-19,35,34.97
2012-10-26,32,34.7
2012-11-02,31,34.11
2012-11-09,26,32.58
2012-11-16,19,32.3
2012-11-23,26,33.72
2012-11-30,31,33.81
2012-12-07,69,33.58
2012-12-14,38,33.72
2012-12-21,26,35.34
2012-12-28,30,34.62
2013-01-04,24,36.71
2013-01-11,34,37.06
2013-01-18,68,37.41
2013-01-25,58,37.25
2013-02-01,35,37.49
2013-02-08,41,37.6
2013-02-15,41,37.52
2013-02-22,32,37
2013-03-01,33,37.26
2013-03-08,40,37.37
2013-03-15,64,36.4
2013-03-22,49,37.62
2013-04-05,38,37.52
2013-04-12,48,38.78
2013-04-19,53,38.87
2013-04-26,51,38.78
2013-05-03,58,38.85
2013-05-10,62,39.45
2013-05-17,58,40.48
2013-05-24,59,40.58
2013-05-31,62,37.98
2013-06-07,53,39.54
2013-06-14,63,38.42
2013-06-21,83,36.28
2013-06-28,59,38.15
2013-07-05,56,38.44
2013-07-12,48,40.07
2013-07-19,49,39.55
2013-07-26,83,38.71
2013-08-02,71,37.65
2013-08-09,65,37.6
2013-08-16,58,37.44
2013-08-23,59,37.23
2013-08-30,43,37.93
2013-09-06,47,35.22
2013-09-13,46,35.08
2013-09-20,37,36.21
2013-09-27,33,35.84
2013-10-04,31,35.4
2013-10-11,35,35.49
2013-10-18,37,35.33
2013-10-25,36,36.49
2013-11-01,38,35.31
2013-11-08,33,35
2013-11-15,30,35.35
2013-11-22,30,35.52
2013-11-29,24,35.54
2013-12-06,36,33.51
2013-12-13,21,32.83
2013-12-20,22,35.22
2013-12-27,33,35.91
2014-01-03,27,35.97
2014-01-10,28,35.9
2014-01-17,26,35.57
2014-01-24,31,35.47
2014-01-31,32,34.01
2014-02-07,31,33.99
2014-02-14,36,33.78
2014-02-21,26,33.03
2014-02-28,30,31.85
2014-03-07,28,32
2014-03-14,34,31.7
2014-03-21,36,31.15
2014-03-28,34,32.14
2014-04-04,42,33.02
2014-04-11,40,32.29
2014-04-25,50,33
