"Date","Sempra.Energy","Price"
2004-04-23,100,31.74
2004-04-30,69,31.75
2004-05-07,69,32.21
2004-05-14,69,31.64
2004-05-21,77,31.22
2004-05-28,86,33.37
2004-06-04,94,33.24
2004-06-18,85,34.6
2004-06-25,85,34.47
2004-08-20,91,36.7
2004-08-27,74,36.2
2004-10-22,59,34.1
2004-10-29,75,33.54
2004-11-05,61,35.35
2004-11-12,61,36.8
2004-11-19,61,36.53
2004-11-26,61,37.74
2004-12-03,61,36.3
2005-01-14,58,36.38
2005-01-21,50,36.05
2005-01-28,50,36.9
2005-02-04,50,38.91
2005-02-11,93,40.29
2005-02-18,50,39.5
2005-02-25,63,39.64
2005-03-04,52,40.85
2005-03-11,52,39.99
2005-03-18,52,40.56
2005-05-06,48,39.13
2005-05-13,53,37.82
2005-05-20,45,38.54
2005-05-27,48,39.22
2005-06-03,51,39.78
2005-06-10,54,40.05
2005-06-17,58,40.13
2005-06-24,62,40.62
2005-07-01,66,41.82
2005-07-08,71,42
2005-07-15,72,42.34
2005-07-22,73,42.27
2005-07-29,75,42.5
2005-08-05,76,42
2005-08-12,77,42.14
2005-08-19,79,43.5
2005-08-26,82,43.99
2005-09-02,63,45.14
2005-09-09,63,45.7
2005-09-16,48,46.76
2005-09-23,51,45.5
2005-09-30,54,47.06
2005-10-07,39,43.97
2005-10-14,39,42.94
2005-10-21,45,41.46
2005-10-28,43,43.04
2005-11-04,43,42.8
2005-11-11,43,43.23
2005-11-18,58,42.34
2005-11-25,35,43.5
2005-12-02,35,44.54
2005-12-09,36,45.51
2005-12-16,36,46.57
2005-12-23,45,45.14
2005-12-30,55,44.84
2006-01-06,65,46.99
2006-01-13,75,47.22
2006-01-20,53,47.73
2006-01-27,53,48.25
2006-02-03,36,47.02
2006-02-10,41,46.88
2006-02-17,53,47.86
2006-02-24,38,48.58
2006-03-03,42,46.65
2006-03-10,45,46.51
2006-03-17,45,47.23
2006-03-24,30,47.22
2006-03-31,30,46.46
2006-04-07,30,45.88
2006-04-21,40,45.9
2006-04-28,44,46.02
2006-05-05,34,46.95
2006-05-12,46,44.36
2006-05-19,58,44.04
2006-05-26,38,45.17
2006-06-02,36,46.11
2006-06-09,33,44.6
2006-06-16,40,44.38
2006-06-23,30,43.86
2006-06-30,39,45.48
2006-07-07,40,46.08
2006-07-14,42,44.91
2006-07-21,36,47.02
2006-07-28,36,48.47
2006-08-04,43,47.44
2006-08-11,49,47.04
2006-08-18,41,47.69
2006-08-25,47,48.41
2006-09-01,35,49.7
2006-09-08,33,49.86
2006-09-15,33,49.47
2006-09-22,33,48.79
2006-09-29,33,50.25
2006-10-06,33,51.26
2006-10-13,35,52.25
2006-10-20,49,53.81
2006-10-27,44,53.1
2006-11-03,27,52.57
2006-11-10,26,53.89
2006-11-17,32,54.59
2006-11-24,29,54.51
2006-12-01,27,55.05
2006-12-08,25,55.64
2006-12-15,25,56.75
2006-12-22,30,55.21
2006-12-29,28,56.04
2007-01-05,28,55.19
2007-01-12,26,55.48
2007-01-19,29,55.95
2007-01-26,38,57.3
2007-02-02,21,57.79
2007-02-09,22,60.37
2007-02-16,41,60.45
2007-02-23,49,60.6
2007-03-02,36,59.33
2007-03-09,44,59.85
2007-03-16,38,60.16
2007-03-23,26,61.99
2007-03-30,32,61.01
2007-04-13,22,63.85
2007-04-20,25,64.26
2007-04-27,31,64.13
2007-05-04,34,63.03
2007-05-11,18,62.13
2007-05-18,38,64.05
2007-05-25,20,61.88
2007-06-01,38,61.36
2007-06-08,33,59.1
2007-06-15,48,59.8
2007-06-22,38,58.85
2007-06-29,34,59.23
2007-07-06,28,59.3
2007-07-13,33,58.81
2007-07-20,29,58.71
2007-07-27,36,53.1
2007-08-03,45,53.93
2007-08-10,25,53.48
2007-08-17,23,53.68
2007-08-24,26,55.97
2007-08-31,34,55.03
2007-09-07,35,54.51
2007-09-14,29,56.29
2007-09-21,29,59.84
2007-09-28,22,58.12
2007-10-05,33,58.6
2007-10-12,32,59.27
2007-10-19,28,58.16
2007-10-26,27,60.05
2007-11-02,42,61.21
2007-11-09,37,60
2007-11-16,29,60.11
2007-11-23,18,60.58
2007-11-30,37,62.62
2007-12-07,34,63.59
2007-12-14,39,61.18
2007-12-21,31,62.72
2007-12-28,24,62.26
2008-01-04,27,60.25
2008-01-11,39,62.57
2008-01-18,26,57.3
2008-01-25,25,54.09
2008-02-01,27,56.98
2008-02-08,35,55.61
2008-02-15,26,55.54
2008-02-22,39,54.45
2008-02-29,37,53.13
2008-03-07,39,52.1
2008-03-14,21,52.78
2008-03-28,37,52.98
2008-04-04,36,54.3
2008-04-11,39,55.02
2008-04-18,47,57.24
2008-04-25,35,57.04
2008-05-02,43,58.8
2008-05-09,33,57.16
2008-05-16,45,59.19
2008-05-23,29,57.54
2008-05-30,21,57.81
2008-06-06,26,56.26
2008-06-13,28,56.4
2008-06-20,30,55.37
2008-06-27,36,55.22
2008-07-11,38,55.9
2008-07-18,20,54.61
2008-07-25,37,54.48
2008-08-01,38,55.12
2008-08-08,30,57.17
2008-08-15,19,57.13
2008-08-22,80,57.41
2008-08-29,27,57.92
2008-09-05,28,56.08
2008-09-12,29,58.17
2008-09-19,40,53.49
2008-09-26,31,53.16
2008-10-03,28,49.37
2008-10-10,48,38
2008-10-17,46,38.9
2008-10-24,26,38.11
2008-10-31,22,42.61
2008-11-07,22,42.7
2008-11-14,32,42.09
2008-11-21,31,43.6
2008-11-28,24,46.67
2008-12-05,32,43.26
2008-12-12,28,42.43
2008-12-19,29,40.97
2008-12-26,14,40.21
2009-01-02,14,43.75
2009-01-09,24,43.59
2009-01-16,37,43.71
2009-01-23,28,43.18
2009-01-30,45,43.84
2009-02-06,33,46.53
2009-02-13,32,43.63
2009-02-20,31,39.37
2009-02-27,51,41.57
2009-03-06,27,38.22
2009-03-13,28,40.57
2009-03-20,31,42.81
2009-03-27,37,44.79
2009-04-03,36,46.85
2009-04-17,31,46.41
2009-04-24,27,45.03
2009-05-01,17,46.9
2009-05-08,33,46.4
2009-05-15,32,44.25
2009-05-22,21,44.56
2009-05-29,23,45.68
2009-06-05,32,46.64
2009-06-12,33,49.04
2009-06-19,26,48.84
2009-06-26,29,49.79
2009-07-10,26,47.55
2009-07-17,26,48.92
2009-07-24,32,52.03
2009-07-31,34,52.43
2009-08-07,20,50.6
2009-08-14,35,51.11
2009-08-21,30,51.5
2009-08-28,35,50.94
2009-09-04,30,49.43
2009-09-11,90,48.9
2009-09-18,40,50.92
2009-09-25,32,49.59
2009-10-02,32,49.87
2009-10-09,32,52.12
2009-10-16,33,52.91
2009-10-23,25,52.74
2009-10-30,30,51.45
2009-11-06,30,50.75
2009-11-13,40,52.23
2009-11-20,24,51.96
2009-11-27,24,52.68
2009-12-04,30,54.83
2009-12-11,36,55.35
2009-12-18,24,55.07
2010-01-08,26,53.81
