"Date","sell.BEN","Price"
2008-03-14,83,90.45
2009-02-27,63,45.8
2009-03-06,61,38.66
2009-03-13,61,49.04
2009-03-20,61,47.09
2009-03-27,61,54.2
2009-07-31,61,88.68
2009-11-27,63,108.97
2009-12-04,71,108.87
2009-12-11,79,107.97
2009-12-18,88,103.99
2010-01-08,48,108.05
2010-01-15,48,108.31
2010-01-22,77,101.26
2010-01-29,84,99.03
2010-02-05,92,98
2010-02-12,100,97.86
2010-02-19,63,101.61
2010-02-26,56,101.72
2010-03-05,70,109.29
2010-03-12,51,108.34
2010-03-19,61,110.37
2010-03-26,61,110.96
2010-04-09,59,114.82
2010-04-16,65,118.45
2010-04-23,55,119.64
2010-04-30,48,115.64
2010-05-07,48,104.52
2010-05-14,48,106.09
2010-06-25,53,91
2010-07-02,48,84.97
2010-07-09,51,92.24
2010-07-16,45,90.14
2010-07-23,59,95.52
2010-07-30,59,100.58
2010-08-06,46,102.7
2010-08-13,46,99.53
2010-08-20,46,98.92
2010-08-27,46,98.32
2010-09-03,46,102.64
2010-09-10,46,104.01
2010-09-17,46,105.76
2010-09-24,49,106.97
2010-10-01,44,107.91
2010-10-08,44,113.38
2010-10-15,44,116.41
2010-10-22,44,115.87
2010-10-29,39,114.7
2010-11-05,39,124.59
2010-11-12,39,118.33
2010-11-19,43,116.22
2010-11-26,47,114.03
2010-12-03,47,120.02
2010-12-10,47,118.06
2010-12-17,48,114.6
2010-12-31,48,111.21
2011-01-07,46,111.69
2011-01-14,51,121.21
2011-01-21,52,118.43
2011-01-28,54,120.84
2011-02-04,55,122.44
2011-02-11,36,128.55
2011-02-18,49,130.4
2011-02-25,45,124.94
2011-03-04,45,125.55
2011-03-11,42,121.01
2011-03-18,47,116.52
2011-03-25,51,121.18
2011-04-01,56,127.2
2011-04-08,46,124.6
2011-04-15,46,123.08
2011-04-29,58,129.12
2011-05-06,56,126.27
2011-05-13,35,127.27
2011-05-20,39,125.83
2011-05-27,41,126.76
2011-06-03,43,124.1
2011-06-10,45,121.9
2011-06-17,53,124.38
2011-06-24,42,123.14
2011-07-01,47,134.26
2011-07-08,53,137.08
2011-07-15,57,130.32
2011-07-22,38,133.51
2011-07-29,35,126.96
2011-08-05,42,117.66
2011-08-12,41,115.68
2011-08-19,48,110.63
2011-08-26,46,115.84
2011-09-02,46,113.71
2011-09-09,50,111.69
2011-09-16,53,119.33
2011-09-23,57,98.76
2011-09-30,41,95.64
2011-10-07,43,94.93
2011-10-14,45,101.12
2011-10-21,37,103.53
2011-10-28,34,110.92
2011-11-04,34,106.93
2011-11-11,37,107.59
2011-11-18,45,99.36
2011-11-25,40,91.63
2011-12-02,42,98.44
2011-12-09,44,99.93
2011-12-16,42,94.09
2011-12-23,36,95.92
2011-12-30,36,96.06
2012-01-06,36,98.26
2012-01-13,31,96.26
2012-01-20,28,102.4
2012-01-27,36,106.46
2012-02-03,38,116.41
2012-02-10,39,116.1
2012-02-17,40,117.04
2012-02-24,41,118.84
2012-03-02,36,118.09
2012-03-09,36,120.41
2012-03-16,38,125.46
2012-03-23,33,122.76
2012-03-30,33,124.03
2012-04-13,31,122.24
2012-04-20,27,122.7
2012-04-27,41,125.85
2012-05-04,50,117.57
2012-05-11,49,114.48
2012-05-18,30,107.46
2012-05-25,41,106.79
2012-06-01,53,102.05
2012-06-08,35,108.1
2012-06-15,33,109.18
2012-06-22,33,104.43
2012-06-29,27,110.99
2012-07-06,36,111.53
2012-07-13,46,113.88
2012-07-20,46,110.35
2012-07-27,33,112.21
2012-08-03,28,113.5
2012-08-10,39,116.23
2012-08-17,42,119.93
2012-08-24,31,119.1
2012-08-31,35,117.4
2012-09-07,48,121.36
2012-09-14,55,128
2012-09-21,52,125.12
2012-09-28,41,125.07
2012-10-05,41,129.32
2012-10-12,45,127.3
2012-10-19,47,130.53
2012-10-26,52,128
2012-11-02,34,131.95
2012-11-09,44,128.9
2012-11-16,32,128.12
2012-11-23,59,133.18
2012-11-30,48,132.02
2012-12-07,31,127.68
2012-12-14,31,126.99
2012-12-21,44,128.33
2012-12-28,40,124.66
2013-01-04,31,131.47
2013-01-11,25,135.66
2013-01-18,27,133.39
2013-01-25,30,134.48
2013-02-01,29,139.77
2013-02-08,40,140.2
2013-02-15,27,144.56
2013-02-22,35,143.24
2013-03-01,39,140.83
2013-03-08,35,146.84
2013-03-15,41,149.9
2013-03-22,46,148.64
2013-04-05,44,148.07
2013-04-12,53,155.27
2013-04-19,31,146.83
2013-04-26,55,153.61
2013-05-03,47,156.41
2013-05-10,38,161.21
2013-05-17,33,168.32
2013-05-24,26,162.94
2013-05-31,44,154.81
2013-06-07,44,150.46
2013-06-14,37,147.13
2013-06-21,29,137.02
2013-06-28,35,136.02
2013-07-05,29,136.95
2013-07-12,31,143.49
2013-07-19,25,145.83
2013-07-26,25,48.66
2013-08-02,42,49.89
2013-08-09,56,49.31
2013-08-16,38,46.68
2013-08-23,53,46.97
2013-08-30,74,46.16
2013-09-06,26,47.11
2013-09-13,36,48.55
2013-09-20,27,51.69
2013-09-27,32,50.82
2013-10-04,40,51.67
2013-10-11,29,51.27
