"Date","sell.ACT","Price"
2008-02-08,76,26
2008-02-15,77,27.94
2008-02-22,79,27.58
2008-02-29,59,27.81
2008-03-07,60,27.66
2008-03-14,62,27.56
2008-05-16,70,28.53
2008-05-23,57,28.37
2008-05-30,57,28.56
2008-06-06,57,28.39
2008-06-13,58,27.64
2008-09-05,65,29.95
2008-09-12,66,29.81
2008-09-19,67,28.29
2008-09-26,67,28.8
2008-10-03,68,27.54
2008-10-10,60,21.23
2008-10-17,60,22.7
2008-10-24,60,21.61
2008-10-31,54,26.17
2008-11-07,54,24.82
2008-11-14,54,23.61
2008-11-21,58,22.03
2008-11-28,53,23.75
2008-12-05,53,23.6
2008-12-12,75,23.8
2008-12-19,59,24.39
2008-12-26,59,24.58
2009-01-02,59,26.3
2009-01-09,57,24.61
2009-01-16,46,24.68
2009-01-23,59,25.26
2009-01-30,64,27.28
2009-02-06,68,28.42
2009-02-13,72,29.05
2009-02-20,76,29.81
2009-02-27,54,28.27
2009-03-06,48,26.36
2009-03-13,62,28.57
2009-03-20,44,27.56
2009-03-27,55,28.76
2009-04-03,67,29.84
2009-04-17,61,30.36
2009-04-24,61,31.89
2009-05-01,57,30.19
2009-05-08,51,30
2009-05-15,51,30
2009-05-22,60,29.94
2009-05-29,60,30.25
2009-06-05,46,30.44
2009-06-12,71,29.91
2009-06-19,42,31.6
2009-06-26,42,33.39
2009-07-10,73,33.06
2009-07-17,78,33.24
2009-07-24,48,34.5
2009-07-31,52,34.73
2009-08-07,56,34.46
2009-08-14,61,34.37
2009-08-21,51,35.24
2009-08-28,70,35.35
2009-09-04,40,34.81
2009-09-11,39,36.43
2009-09-18,39,36.81
2009-09-25,63,35.98
2009-10-02,50,35.68
2009-10-09,50,37.12
2009-10-16,50,37.68
2009-10-23,49,35.81
2009-10-30,41,34.42
2009-11-06,81,35.37
2009-11-13,83,35.96
2009-11-20,66,35.15
2009-11-27,47,36.96
2009-12-04,47,37.9
2009-12-11,62,38.28
2009-12-18,89,38.09
2010-01-08,34,39.41
2010-01-15,34,40.9
2010-01-22,58,39.51
2010-01-29,50,38.37
2010-02-05,41,38.19
2010-02-12,50,38.08
2010-02-19,58,39.11
2010-02-26,49,39.79
2010-03-05,84,40.56
2010-03-12,80,41.37
2010-03-19,33,40.42
2010-03-26,53,41.31
2010-04-09,59,42.31
2010-04-16,66,42.55
2010-04-23,50,43.15
2010-04-30,51,42.82
2010-05-07,78,41.99
2010-05-14,45,42.75
2010-05-21,37,42.87
2010-05-28,45,44.16
2010-06-04,44,43.7
2010-06-11,44,42.67
2010-06-18,100,44.01
2010-06-25,38,42.59
2010-07-02,55,40.59
2010-07-09,53,42.58
2010-07-16,36,42.84
2010-07-23,85,41.64
2010-07-30,65,40.5
2010-08-06,62,41.22
2010-08-13,74,41.73
2010-08-20,58,42.19
2010-08-27,53,43.75
2010-09-03,54,44.61
2010-09-10,37,43.08
2010-09-17,51,43.29
2010-09-24,59,44.67
2010-10-01,40,43.37
2010-10-08,67,45.04
2010-10-15,46,47.36
2010-10-22,57,46.76
2010-10-29,48,46.65
2010-11-05,53,51.24
2010-11-12,70,50.41
2010-11-19,87,50.25
2010-11-26,42,49.18
2010-12-03,59,49.55
2010-12-10,69,49.4
2010-12-17,66,51.61
2010-12-31,52,51.65
2011-01-07,52,52.62
2011-01-14,57,51.87
2011-01-21,90,54.09
2011-01-28,67,53.54
2011-02-04,41,55.42
2011-02-11,56,57.16
2011-02-18,52,55.75
2011-02-25,39,55.65
2011-03-04,72,56.79
2011-03-11,65,56.89
2011-03-18,57,54.3
2011-03-25,42,55.63
2011-04-01,35,56.51
2011-04-08,58,57.51
2011-04-15,86,58.64
2011-04-29,62,62.02
2011-05-06,62,62.84
2011-05-13,65,62.96
2011-05-20,67,62.12
2011-05-27,78,63.99
2011-06-03,53,63.44
2011-06-10,73,63.21
2011-06-17,62,63.53
2011-06-24,42,65.66
2011-07-01,55,69.85
2011-07-08,55,69.85
2011-07-15,61,69
2011-07-22,47,70.48
2011-07-29,45,67.13
2011-08-05,42,63.7
2011-08-12,49,64.29
2011-08-19,71,61.59
2011-08-26,50,65.55
2011-09-02,51,66.33
2011-09-09,43,65.88
2011-09-16,68,67.28
2011-09-23,72,70.7
2011-09-30,54,68.25
2011-10-07,53,66.04
2011-10-14,67,68.24
2011-10-21,76,69.15
2011-10-28,75,69.35
2011-11-04,41,64.72
2011-11-11,57,65.73
2011-11-18,47,65.79
2011-11-25,33,63.42
2011-12-02,68,62.86
2011-12-09,59,61.52
2011-12-16,64,60.12
2011-12-23,42,62.08
2011-12-30,47,60.34
2012-01-06,72,63.21
2012-01-13,42,62.21
2012-01-20,54,58.14
2012-01-27,62,59.74
2012-02-03,36,58.01
2012-02-10,61,57.99
2012-02-17,55,60.18
2012-02-24,63,58.17
2012-03-02,60,59.68
2012-03-09,62,59.61
2012-03-16,43,58.81
2012-03-23,41,65.23
2012-03-30,49,67.06
2012-04-13,53,67.26
2012-04-20,76,69.36
2012-04-27,60,76.16
2012-05-04,76,73.65
2012-05-11,69,72.73
2012-05-18,70,69.91
2012-05-25,57,72.67
2012-06-01,57,69.75
2012-06-08,79,70.89
2012-06-15,67,69.02
2012-06-22,58,71.02
2012-06-29,72,73.99
2012-07-06,68,75.01
2012-07-13,60,76.76
2012-07-20,51,75.81
2012-07-27,81,79.77
2012-08-03,47,79.36
2012-08-10,43,79.86
2012-08-17,74,79.9
2012-08-24,51,83.32
2012-08-31,48,81.35
2012-09-07,44,83.59
2012-09-14,67,81.86
2012-09-21,58,83.9
2012-09-28,73,85.16
2012-10-05,86,87.86
2012-10-12,53,86.67
2012-10-19,63,86.91
2012-10-26,62,86.64
2012-11-02,72,86.73
2012-11-09,58,85.11
2012-11-16,67,83.4
2012-11-23,54,86.08
2012-11-30,79,88.01
2012-12-07,62,88.62
2012-12-14,47,87.74
2012-12-21,42,90.85
2012-12-28,46,89.04
2013-01-04,38,85.3
2013-01-11,46,83.71
2013-01-18,60,85.48
2013-01-25,71,84.27
2013-02-01,94,87.88
2013-02-08,77,87.45
2013-02-15,66,85.24
2013-02-22,55,83.44
2013-03-01,67,85.54
2013-03-08,66,87.56
2013-03-15,46,91.59
2013-03-22,57,90.31
2013-04-05,68,97.19
2013-04-12,96,97.33
2013-04-19,67,98.48
2013-04-26,81,100.94
2013-05-03,56,106.46
2013-05-10,76,119.86
2013-05-17,76,125.5
2013-05-24,65,127.23
2013-05-31,53,123.29
2013-06-07,60,124.12
2013-06-14,63,126.45
2013-06-21,56,121.52
2013-06-28,59,126.22
2013-07-05,66,126.37
2013-07-12,57,126.18
2013-07-19,62,125.42
2013-07-26,70,132.71
2013-08-02,50,135.89
2013-08-09,61,133.87
2013-08-16,48,134.52
2013-08-23,44,133.89
2013-08-30,70,135.18
2013-09-06,58,137.39
2013-09-13,61,135.59
2013-09-20,52,135.5
2013-09-27,92,144.3
2013-10-04,75,146.9
2013-10-11,64,141.71
2013-10-18,65,146.92
2013-10-25,85,148.15
2013-11-01,72,158.12
2013-11-08,69,156.73
2013-11-15,87,165.27
2013-11-22,72,164.83
2013-11-29,54,163.07
2013-12-06,81,166.73
2013-12-13,68,159.82
2013-12-20,82,162.51
2013-12-27,32,165.14
2014-01-03,59,168.02
2014-01-10,79,183.32
2014-01-17,62,183.28
2014-01-24,53,177.19
2014-01-31,67,188.98
2014-02-07,89,188.21
2014-02-14,80,191.88
2014-02-21,68,218.41
2014-02-28,83,220.82
2014-03-07,75,213.18
2014-03-14,79,214.52
2014-03-21,68,209.37
2014-03-28,67,203.77
2014-04-04,81,201.31
2014-04-11,91,188.83
2014-04-25,74,198.07
