"Date","sell.NI","Price"
2009-05-08,81,11.4
2009-05-15,80,10.64
2009-05-22,80,10.47
2009-07-17,82,12.28
2009-07-24,90,13.3
2009-07-31,98,12.89
2009-08-07,82,13.09
2009-10-23,70,13.36
2009-10-30,70,12.92
2010-01-08,100,15.02
2010-01-15,69,15.29
2010-01-22,69,14.58
2010-01-29,69,14.25
2010-02-05,69,14.68
2010-05-21,70,14.86
2010-10-15,65,17.78
2010-10-22,79,17.71
2011-01-28,53,18.61
2011-02-04,50,18.4
2011-02-11,46,18.96
2011-02-18,46,19.1
2011-02-25,46,18.95
2011-03-04,56,19.08
2011-03-11,65,18.93
2011-05-13,61,20.36
2011-07-01,52,20.59
2011-07-08,52,20.6
2011-07-15,52,20.44
2011-07-22,60,21.06
2011-09-02,48,20.91
2011-09-09,43,21.02
2011-10-21,41,22.9
2011-10-28,58,22.52
2011-11-04,53,22.23
2011-11-11,40,22.47
2011-11-18,40,22
2011-11-25,40,21.35
2011-12-02,40,22.56
2011-12-09,46,22.25
2011-12-16,52,22.53
2011-12-23,44,23.42
2011-12-30,44,23.81
2012-02-24,44,23.68
2012-03-02,47,23.69
2012-03-09,49,24.11
2012-03-16,51,23.61
2012-04-27,69,24.49
2012-05-04,50,24.92
2012-05-11,50,25.25
2012-05-18,54,24.43
2012-05-25,47,25.04
2012-06-01,47,24.72
2012-07-13,47,25.15
2012-07-20,37,25.64
2012-07-27,37,25.6
2012-08-03,39,25.28
2012-08-10,42,25.17
2012-08-17,44,24.7
2012-08-24,45,24.14
2012-08-31,50,24.34
2012-09-07,50,25.3
2012-09-14,38,25.61
2012-09-21,38,25.5
2012-09-28,38,25.48
2012-10-05,39,25.73
2012-10-12,40,25.32
2012-10-19,39,25.42
2012-10-26,39,25.46
2012-11-02,39,25.22
2012-11-09,39,24.3
2012-11-16,40,23.89
2012-11-23,40,24.02
2012-11-30,41,24.17
2012-12-07,36,24.44
2012-12-14,36,24.15
2012-12-21,36,24.97
2012-12-28,44,24.63
2013-01-04,53,25.4
2013-01-11,61,25.76
2013-01-18,48,26.24
2013-01-25,45,26.66
2013-02-01,51,27.19
2013-02-08,75,26.92
2013-02-15,54,26.78
2013-02-22,52,27.2
2013-03-01,41,27.93
2013-03-08,41,28.29
2013-03-15,40,28.28
2013-03-22,35,28.39
2013-04-05,41,29.87
2013-04-12,40,30.63
2013-04-19,35,31.09
2013-04-26,44,30.82
2013-05-03,48,30.53
2013-05-10,44,28.74
2013-05-17,38,29.78
2013-05-24,41,28.77
2013-05-31,50,28.73
2013-06-07,43,28.53
2013-06-14,41,29.11
2013-06-21,41,28.06
2013-06-28,41,28.64
2013-07-05,42,28.62
2013-07-12,42,30.29
2013-07-19,43,30.99
2013-07-26,60,31.43
2013-08-02,44,31.09
2013-08-09,33,30.67
2013-08-16,46,29.81
2013-08-23,50,29.63
2013-08-30,40,29.26
2013-09-06,54,29.11
2013-09-13,50,29.95
2013-09-20,50,30.38
2013-09-27,42,30.67
2013-10-04,33,30.59
2013-10-11,31,30.79
2013-10-18,33,31.68
2013-10-25,36,32.32
2013-11-01,39,31.72
2013-11-08,30,31.32
2013-11-15,38,32.45
2013-11-22,37,31.86
2013-11-29,34,31.62
2013-12-06,34,31.56
2013-12-13,33,30.94
2013-12-20,33,32.86
2013-12-27,34,32.64
2014-01-03,35,32.46
2014-01-10,47,33.67
2014-01-17,46,33.89
2014-01-24,46,33.59
2014-01-31,49,34.37
2014-02-07,45,34.01
2014-02-14,41,35.17
2014-02-21,49,35.4
2014-02-28,40,34.82
2014-03-07,25,34.72
2014-03-14,48,35.31
2014-03-21,35,35.07
2014-03-28,48,35.35
2014-04-04,40,35.29
2014-04-11,50,34.74
2014-04-25,39,36.07
