"Date","buy.F","Price"
2004-07-02,88,14.95
2004-07-09,74,15.16
2004-07-16,74,14.85
2004-07-23,74,14.67
2004-07-30,74,14.72
2004-08-06,74,14.07
2005-01-14,69,14.06
2005-04-22,57,9.89
2005-04-29,47,9.11
2005-05-06,47,9.76
2005-05-13,47,9.3
2005-05-20,47,10
2005-05-27,47,10.07
2005-06-03,48,9.9
2005-06-10,50,10.33
2005-06-17,51,11.28
2005-08-19,46,9.76
2005-08-26,44,9.77
2005-09-02,44,9.86
2005-09-09,44,9.9
2005-09-16,44,9.93
2005-09-23,46,9.79
2005-11-18,52,8.4
2005-11-25,50,8.32
2005-12-02,36,8.15
2005-12-09,36,8.18
2005-12-16,40,8.3
2005-12-23,52,7.9
2005-12-30,38,7.72
2006-01-06,38,8.52
2006-01-13,38,8.55
2006-01-20,32,7.9
2006-01-27,32,8.65
2006-02-03,32,8.26
2006-02-10,32,8.27
2006-02-17,34,8.45
2006-02-24,36,8.1
2006-03-03,39,7.57
2006-03-10,43,7.84
2006-03-17,46,7.81
2006-03-24,33,8.09
2006-03-31,33,7.96
2006-04-07,41,7.6
2006-04-21,32,7.32
2006-04-28,31,6.95
2006-05-05,31,6.93
2006-05-12,38,7.11
2006-05-19,44,7.03
2006-05-26,30,7.31
2006-06-02,34,7.1
2006-06-09,34,6.76
2006-06-16,34,6.69
2006-06-23,43,6.52
2006-06-30,33,6.93
2006-07-07,39,6.73
2006-07-14,46,6.38
2006-07-21,34,6.28
2006-07-28,40,6.89
2006-08-04,39,7.13
2006-08-11,39,7.37
2006-08-18,36,8
2006-08-25,34,8
2006-09-01,38,8.27
2006-09-08,33,8.77
2006-09-15,32,8.02
2006-09-22,26,8
2006-09-29,31,8.09
2006-10-06,29,8.31
2006-10-13,29,8.17
2006-10-20,30,8.01
2006-10-27,35,8.29
2006-11-03,30,8.38
2006-11-10,31,8.58
2006-11-17,27,8.89
2006-11-24,27,8.52
2006-12-01,30,8.04
2006-12-08,39,7.23
2006-12-15,40,7.08
2006-12-22,30,7.42
2006-12-29,30,7.51
2007-01-05,26,7.62
2007-01-12,26,7.89
2007-01-19,21,8.3
2007-01-26,32,8.42
2007-02-02,23,8.23
2007-02-09,35,8.73
2007-02-16,30,8.53
2007-02-23,39,8.3
2007-03-02,30,7.59
2007-03-09,33,7.93
2007-03-16,43,7.55
2007-03-23,28,7.89
2007-03-30,39,7.89
2007-04-13,24,8.02
2007-04-20,38,7.75
2007-04-27,22,8.05
2007-05-04,44,8.22
2007-05-11,29,8.37
2007-05-18,29,8.69
