"Date","Wyndham.Worldwide","Price"
2006-08-04,100,28.24
2006-08-11,85,28.74
2006-08-18,85,27.77
2006-12-01,55,31.16
2006-12-08,56,32.56
2006-12-15,57,31.34
2006-12-22,59,32.65
2006-12-29,60,32.02
2007-01-05,61,32.24
2007-01-12,61,32.51
2007-01-19,61,31.29
2007-01-26,61,30.39
2007-02-02,50,32.55
2007-02-09,50,33.91
2007-02-16,50,34.67
2007-02-23,51,35.48
2007-03-02,53,34.77
2007-04-13,63,34.91
2007-04-20,61,35.18
2007-04-27,48,35.7
2007-05-04,48,36.8
2007-05-11,48,36.7
2007-05-18,43,36.4
2007-05-25,43,36.93
2007-06-01,57,38.04
2007-06-08,44,35.66
2007-06-15,60,37.45
2007-06-22,61,36.98
2007-06-29,56,36.26
2007-07-06,56,38.53
2007-07-13,57,37.8
2007-07-20,49,37.09
2007-07-27,66,33.76
2007-08-03,83,30.63
2007-08-10,78,30.98
2007-08-17,54,28.65
2007-08-24,54,32.05
2007-08-31,50,31.9
2007-09-07,44,30.19
2007-09-14,49,30.2
2007-09-21,54,32.1
2007-09-28,57,32.76
2007-10-05,38,33.18
2007-10-12,42,32.63
2007-10-19,37,30.29
2007-10-26,54,31.58
2007-11-02,78,31.78
2007-11-09,35,29.1
2007-11-16,35,27.95
2007-11-23,37,28.28
2007-11-30,38,29.17
2007-12-07,66,29.93
2007-12-14,52,25.2
2007-12-21,52,24.35
2007-12-28,45,23.93
2008-01-04,45,21.93
2008-01-11,52,22.26
2008-01-18,66,20.45
2008-01-25,36,21.79
2008-02-01,69,24.94
2008-02-08,54,22.61
2008-02-15,46,22.9
2008-02-22,32,22.77
2008-02-29,35,22.17
2008-03-07,49,20.36
2008-03-14,63,20.67
2008-03-28,51,20.36
2008-04-04,38,21.13
2008-04-11,41,19.55
2008-04-18,44,20.69
2008-04-25,41,21.41
2008-05-02,65,23.82
2008-05-09,44,22.88
2008-05-16,59,23.75
2008-05-23,37,21.27
2008-05-30,47,21.88
2008-06-06,48,20.5
2008-06-13,31,19.96
2008-06-20,31,18.86
2008-06-27,47,18
2008-07-11,66,15.75
2008-07-18,35,16.85
2008-07-25,67,17.48
2008-08-01,82,18.03
2008-08-08,60,19.75
2008-08-15,47,19.65
2008-08-22,47,18.65
2008-08-29,43,19.28
2008-09-05,43,19.89
2008-09-12,51,19.25
2008-09-19,59,17.14
2008-09-26,39,15.77
2008-10-03,53,12.7
2008-10-10,30,9.9
2008-10-17,52,8.6
2008-10-24,46,5.63
2008-10-31,41,8.19
2008-11-07,55,7.09
2008-11-14,42,5.63
2008-11-21,47,3.02
2008-11-28,47,4.78
2008-12-05,49,4.57
2008-12-12,82,5.63
2008-12-19,50,6.93
2008-12-26,38,6.47
2009-01-02,31,7.56
2009-01-09,38,7.45
2009-01-16,42,7.1
2009-01-23,34,6.54
2009-01-30,66,6.13
2009-02-06,55,6.23
2009-02-13,69,4.18
2009-02-20,58,3.59
2009-02-27,46,3.69
2009-03-06,66,2.92
2009-03-13,63,4.18
2009-03-20,57,4.03
2009-03-27,32,4.42
2009-04-03,59,6.1
2009-04-17,50,8.92
2009-04-24,54,10.11
2009-05-01,73,12.12
2009-05-08,37,12.9
2009-05-15,34,10.54
2009-05-22,52,10.79
2009-05-29,41,11.79
2009-06-05,52,12.45
2009-06-12,40,11.99
2009-06-19,60,12.3
2009-06-26,40,11.93
2009-07-10,39,10.64
2009-07-17,37,11.69
2009-07-24,44,12.7
2009-07-31,70,13.95
2009-08-07,47,15.56
2009-08-14,68,15.46
2009-08-21,53,16.31
2009-08-28,31,15.82
2009-09-04,52,14.75
2009-09-11,43,15.6
2009-09-18,36,15.87
2009-09-25,61,14.79
2009-10-02,41,15.45
2009-10-09,52,17.92
2009-10-16,55,17.86
2009-10-23,48,17.2
2009-10-30,32,17.05
2009-11-06,40,17.94
2009-11-13,31,18.94
2009-11-20,37,18.99
2009-11-27,22,18.56
2009-12-04,29,20.55
2009-12-11,33,20.02
2009-12-18,23,20.89
2010-01-08,57,20.86
2010-01-15,22,22.9
2010-01-22,29,22.26
2010-01-29,39,20.99
2010-02-05,45,20.72
2010-02-12,54,22.54
2010-02-19,35,22.7
2010-02-26,51,22.99
2010-03-05,46,24.01
2010-03-12,51,25.17
2010-03-19,46,23.98
2010-03-26,55,25.68
2010-04-09,45,26.88
2010-04-16,55,25.85
2010-04-23,49,27.59
2010-04-30,54,26.81
2010-05-07,49,23.05
2010-05-14,42,24.88
2010-05-21,31,22.69
2010-05-28,52,23.6
2010-06-04,30,22.12
2010-06-11,33,23.57
2010-06-18,43,24.11
2010-06-25,42,22.16
2010-07-02,35,20.12
2010-07-09,46,21.73
2010-07-16,49,20.33
2010-07-23,53,22.71
2010-07-30,36,25.53
2010-08-06,53,26.16
2010-08-13,55,24.88
2010-08-20,38,24.75
2010-08-27,33,23.88
2010-09-03,52,25.59
2010-09-10,31,26.11
2010-09-17,24,26.98
2010-09-24,44,27.72
2010-10-01,49,27.32
2010-10-08,34,28.42
2010-10-15,40,29.18
2010-10-22,30,29.49
2010-10-29,29,28.75
2010-11-05,51,30.07
2010-11-12,28,28.03
2010-11-19,27,28.92
2010-11-26,28,29.06
2010-12-03,45,30.75
2010-12-10,31,30.41
2010-12-17,35,30.58
2010-12-31,27,29.96
2011-01-07,44,29.83
2011-01-14,19,30.34
2011-01-21,31,28.72
2011-01-28,36,28.18
