"Date","PLD","Price"
2004-02-06,76,35.5
2004-02-13,60,35.85
2004-02-20,72,35
2004-02-27,75,35.42
2004-03-05,93,36.6
2004-03-12,70,35.9
2004-03-19,61,36.18
2004-03-26,93,36.25
2004-04-02,88,36.65
2004-04-16,79,32.61
2004-04-23,73,31.05
2004-04-30,85,30.3
2004-05-07,74,29.57
2004-05-14,100,29.63
2004-05-21,90,30.82
2004-05-28,94,33.05
2004-06-04,70,33.09
2004-06-18,80,34.5
2004-06-25,71,35.9
2004-07-02,66,35.42
2004-07-09,72,34.75
2004-07-16,63,35.82
2004-07-23,57,34.53
2004-07-30,72,35.14
2004-08-06,52,34.52
2004-08-13,70,34.49
2004-08-20,79,36.26
2004-08-27,59,36.96
2004-09-03,65,37.6
2004-09-10,73,36.9
2004-09-17,74,36.98
2004-09-24,61,36.35
2004-10-01,69,37.01
2004-10-08,65,36.92
2004-10-15,60,36.7
2004-10-22,65,36.74
2004-10-29,88,37.5
2004-11-05,67,37.71
2004-11-12,78,39.38
2004-11-19,53,38.62
2004-11-26,56,39.71
2004-12-03,63,40.7
2004-12-10,69,40.52
2004-12-17,71,40.26
2004-12-31,80,40.39
2005-01-07,57,39.09
2005-01-14,68,38.3
2005-01-21,52,39.2
2005-01-28,64,37.19
2005-02-04,52,38.9
2005-02-11,69,38.85
2005-02-18,74,39.63
2005-02-25,55,38.7
2005-03-04,66,40.11
2005-03-11,47,38.15
2005-03-18,58,38.44
2005-04-01,48,37.4
2005-04-08,48,37.06
2005-04-15,52,37.3
2005-04-22,58,38.21
2005-04-29,54,38.99
2005-05-06,59,39.42
2005-05-13,58,39.54
2005-05-20,52,40.98
2005-05-27,54,40.01
2005-06-03,54,40.66
2005-06-10,53,42.75
2005-06-17,40,43.75
2005-06-24,59,42.74
2005-07-01,61,43.64
2005-07-08,54,44.65
2005-07-15,66,44.35
2005-07-22,50,45.7
2005-07-29,56,45.99
2005-08-05,49,43.44
2005-08-12,43,43.24
2005-08-19,43,42.7
2005-08-26,56,43.64
2005-09-02,46,44.56
2005-09-09,39,45.29
2005-09-16,50,45.45
2005-09-23,49,43.85
2005-09-30,47,44.9
2005-10-07,48,42.93
2005-10-14,59,42.88
2005-10-21,53,43.02
2005-10-28,53,44.03
2005-11-04,38,43.08
2005-11-11,51,44.37
2005-11-18,54,45.01
2005-11-25,50,45.94
2005-12-02,51,48
2005-12-09,58,49.56
2005-12-16,56,49.36
2005-12-23,54,49.5
2005-12-30,49,49.17
2006-01-06,47,50.07
2006-01-13,54,49.85
2006-01-20,52,49.77
2006-01-27,44,51.16
2006-02-03,41,51.8
2006-02-10,63,50.75
2006-02-17,46,51.8
2006-02-24,42,53.63
2006-03-03,54,53.1
2006-03-10,53,53.95
2006-03-17,43,56.53
2006-03-24,47,54.67
2006-03-31,44,54.27
2006-04-07,40,51.24
2006-04-21,48,51.17
2006-04-28,41,49.99
2006-05-05,43,50.69
2006-05-12,42,50.14
2006-05-19,65,48.56
2006-05-26,61,49.29
2006-06-02,41,50.85
2006-06-09,44,50.49
2006-06-16,47,49.37
2006-06-23,31,48.04
2006-06-30,33,50.55
2006-07-07,38,51.25
2006-07-14,30,51.19
2006-07-21,40,50.57
2006-07-28,40,52.68
2006-08-04,32,55.01
2006-08-11,34,52.61
2006-08-18,34,53.37
2006-08-25,40,53.6
2006-09-01,30,55.54
2006-09-08,34,55.99
2006-09-15,37,56.99
2006-09-22,36,56.41
2006-09-29,34,55.11
2006-10-06,40,54.89
2006-10-13,31,57.43
2006-10-20,38,57.35
2006-10-27,35,57.4
2006-11-03,42,57.81
2006-11-10,39,57.44
2006-11-17,41,59.05
2006-11-24,36,61.92
2006-12-01,42,61.35
2006-12-08,41,61.88
2006-12-15,31,61.05
2006-12-22,38,57.45
2006-12-29,38,58.61
2007-01-05,35,56.75
2007-01-12,40,59.24
2007-01-19,40,60
2007-01-26,39,60.35
2007-02-02,33,61.61
2007-02-09,42,64.73
2007-02-16,40,64.14
2007-02-23,34,62.41
2007-03-02,35,58.13
2007-03-09,37,58.1
2007-03-16,34,58.47
2007-03-23,38,59.09
2007-03-30,33,58.79
2007-04-13,41,60.46
2007-04-20,37,62.14
2007-04-27,40,62.07
2007-05-04,47,60.15
2007-05-11,63,60.4
2007-05-18,39,55.77
2007-05-25,39,54.72
2007-06-01,33,58.69
2007-06-08,39,57.81
2007-06-15,32,56.33
2007-06-22,35,53.65
2007-06-29,38,53.22
2007-07-06,34,56.12
2007-07-13,32,56.51
2007-07-20,32,55.71
2007-07-27,36,52.7
2007-08-03,31,50.78
2007-08-10,26,51.54
2007-08-17,27,51.49
2007-08-24,34,53.62
2007-08-31,34,54.98
2007-09-07,37,53.89
2007-09-14,33,55.79
2007-09-21,39,57.91
2007-09-28,36,59.81
2007-10-05,33,65.06
2007-10-12,36,65.53
2007-10-19,37,62.01
2007-10-26,37,64.8
2007-11-02,37,60.94
2007-11-09,36,60.75
2007-11-16,44,61.82
2007-11-23,58,59.26
2007-11-30,54,61.16
2007-12-07,42,62.84
2007-12-14,37,57.43
2007-12-21,32,56.58
2007-12-28,30,55.95
2008-01-04,27,51.03
2008-01-11,31,51.48
