"Date","DFS","Price"
2007-06-15,50,29.08
2007-06-22,45,31.7
2007-06-29,43,28.5
2007-07-06,45,25.64
2007-07-13,52,27.16
2007-07-20,51,26.3
2007-07-27,50,23.33
2007-08-03,46,21.99
2007-08-10,45,20.86
2007-08-17,49,23.18
2007-08-24,51,23.99
2007-08-31,46,23.14
2007-09-07,40,21.11
2007-09-14,43,21.27
2007-09-21,39,22.4
2007-09-28,42,20.8
2007-10-05,44,22.73
2007-10-12,41,22.13
2007-10-19,44,19.8
2007-10-26,45,18.93
2007-11-02,47,18.18
2007-11-09,44,17.82
2007-11-16,43,17.76
2007-11-23,50,16.68
2007-11-30,46,17.37
2007-12-07,41,16.76
2007-12-14,32,15.64
2007-12-21,36,15.5
2007-12-28,87,14.94
2008-01-04,75,13.94
2008-01-11,53,13.73
2008-01-18,47,12.63
2008-01-25,46,15.56
2008-02-01,45,17.96
2008-02-08,46,15.63
2008-02-15,42,14.23
2008-02-22,42,15.1
2008-02-29,41,15.09
2008-03-07,46,14.15
2008-03-14,47,15.47
2008-03-28,47,15.98
2008-04-04,40,17.14
2008-04-11,39,17.55
2008-04-18,42,18.48
2008-04-25,40,18.85
2008-05-02,44,18.7
2008-05-09,40,17.52
2008-05-16,36,18.41
2008-05-23,38,16.84
2008-05-30,47,17.15
2008-06-06,43,15.7
2008-06-13,42,15.65
2008-06-20,40,14.41
2008-06-27,42,13.57
2008-07-11,49,14.02
2008-07-18,43,16.33
2008-07-25,40,14.05
2008-08-01,37,14.99
2008-08-08,42,14.97
2008-08-15,45,15.61
2008-08-22,44,15.6
2008-08-29,45,16.45
2008-09-05,42,16.42
2008-09-12,41,17.63
2008-09-19,39,16
2008-09-26,40,13.92
2008-10-03,39,11.07
2008-10-10,40,9.57
2008-10-17,40,10.74
2008-10-24,45,10.14
2008-10-31,43,12.25
2008-11-07,40,11.83
2008-11-14,40,9.47
2008-11-21,41,7.65
2008-11-28,41,10.23
2008-12-05,39,10.88
2008-12-12,35,8.97
2008-12-19,34,9.33
2008-12-26,65,8.37
2009-01-02,89,9.51
2009-01-09,55,8.71
2009-01-16,50,7.6
2009-01-23,45,7.5
2009-01-30,49,7.15
2009-02-06,47,7.68
2009-02-13,44,7.01
2009-02-20,43,5.74
2009-02-27,44,5.73
2009-03-06,43,4.95
2009-03-13,41,6.23
2009-03-20,51,5.51
2009-03-27,41,6.8
2009-04-03,41,6.75
2009-04-17,45,8.55
2009-04-24,38,9.09
2009-05-01,40,8.12
2009-05-08,41,10.66
2009-05-15,39,8.59
2009-05-22,43,8.36
2009-05-29,41,9.56
2009-06-05,38,9.41
2009-06-12,38,9.3
2009-06-19,41,9.32
2009-06-26,40,9.9
2009-07-10,47,9.61
2009-07-17,46,10.92
2009-07-24,45,12.06
2009-07-31,45,11.88
2009-08-07,44,12.76
2009-08-14,44,12.48
2009-08-21,45,13.51
2009-08-28,48,14.23
2009-09-04,48,13.55
2009-09-11,39,14.71
2009-09-18,42,16.06
2009-09-25,43,15.36
2009-10-02,42,15.33
2009-10-09,45,16.2
2009-10-16,44,15.08
2009-10-23,45,15.03
2009-10-30,46,14.14
2009-11-06,43,14.53
2009-11-13,42,15.4
2009-11-20,43,15.35
2009-11-27,39,15.13
2009-12-04,42,15.18
2009-12-11,46,16.13
2009-12-18,33,14.95
2010-01-08,58,15.03
2010-01-15,53,14.76
2010-01-22,46,13.46
2010-01-29,45,13.68
2010-02-05,44,13.01
2010-02-12,40,13.03
2010-02-19,43,13.67
2010-02-26,42,13.65
2010-03-05,40,14.17
2010-03-12,40,14.97
2010-03-19,49,15.24
2010-03-26,41,15.39
2010-04-09,41,15.5
2010-04-16,40,15.36
2010-04-23,42,16.26
2010-04-30,41,15.46
2010-05-07,39,14.08
2010-05-14,38,14.24
2010-05-21,37,13.53
2010-05-28,36,13.45
2010-06-04,38,12.86
2010-06-11,36,13.66
2010-06-18,36,14
2010-06-25,33,14.52
2010-07-02,33,13.84
2010-07-09,35,14.85
2010-07-16,43,14.5
2010-07-23,41,15.06
2010-07-30,41,15.27
2010-08-06,42,15.31
2010-08-13,41,14.68
2010-08-20,42,14.27
2010-08-27,45,14.77
2010-09-03,41,15.86
2010-09-10,40,15.9
2010-09-17,40,15.57
2010-09-24,40,16.77
2010-10-01,41,16.58
2010-10-08,41,16.95
2010-10-15,41,17.1
2010-10-22,43,17.41
2010-10-29,43,17.65
2010-11-05,42,18.91
2010-11-12,42,18.6
2010-11-19,41,18.4
2010-11-26,40,18.42
2010-12-03,37,18.84
2010-12-10,41,19.27
2010-12-17,33,18.02
2010-12-31,81,18.53
2011-01-07,59,18.9
2011-01-14,47,20.38
2011-01-21,42,20.47
2011-01-28,40,20.46
2011-02-04,37,20.61
2011-02-11,39,21.72
2011-02-18,38,21.86
2011-02-25,37,21.82
2011-03-04,35,21.61
2011-03-11,36,21.83
2011-03-18,33,22
2011-03-25,33,24
2011-04-01,33,24.15
2011-04-08,42,23.85
2011-04-15,34,24.28
2011-04-29,33,24.84
2011-05-06,32,24.29
2011-05-13,33,24.24
2011-05-20,34,24.92
2011-05-27,36,23.77
2011-06-03,34,23.2
2011-06-10,32,22.52
2011-06-17,35,23.09
2011-06-24,34,24.79
2011-07-01,31,26.55
2011-07-08,33,27.12
2011-07-15,35,25.43
2011-07-22,36,25.97
2011-07-29,34,25.61
2011-08-05,36,22.83
2011-08-12,38,23.33
2011-08-19,36,22.91
2011-08-26,36,24.79
2011-09-02,36,24.22
2011-09-09,33,23.92
2011-09-16,34,26.47
2011-09-23,34,25.35
2011-09-30,33,22.94
2011-10-07,33,23.41
2011-10-14,35,24.13
2011-10-21,37,23.15
2011-10-28,40,24.48
2011-11-04,38,24.5
2011-11-11,38,24.77
2011-11-18,36,23.03
2011-11-25,37,22.96
2011-12-02,34,24.21
2011-12-09,32,24.74
2011-12-16,29,24.23
2011-12-23,31,24.49
2011-12-30,67,24
2012-01-06,53,24.3
2012-01-13,42,26.51
2012-01-20,39,27.39
2012-01-27,38,27.14
2012-02-03,36,28.22
2012-02-10,34,28.18
2012-02-17,34,29.54
2012-02-24,36,30.19
2012-03-02,33,30.53
2012-03-09,34,30.61
2012-03-16,33,32.05
2012-03-23,39,33.83
2012-03-30,33,33.34
2012-04-13,38,32.89
2012-04-20,34,32.93
2012-04-27,34,34.09
2012-05-04,34,33.52
