"Date","Peabody.Energy","Price"
2005-09-23,89,80.83
2005-09-30,75,84.35
2005-10-07,75,74.65
2005-10-14,75,77.78
2005-10-21,75,74.03
2006-01-06,89,88.04
2006-01-13,65,87.49
2006-01-20,65,89.25
2006-01-27,68,94.55
2006-02-03,71,102.36
2006-02-10,72,89.65
2006-02-17,73,92.25
2006-02-24,74,50.75
2006-03-03,75,51.14
2006-03-10,84,46.21
2006-04-21,80,63.17
2006-04-28,71,63.86
2006-05-05,71,69.89
2006-05-12,71,68.99
2006-05-19,77,56.12
2006-05-26,84,61
2006-06-02,90,64.93
2006-06-09,71,52.25
2006-06-16,71,52.38
2006-06-23,71,50.78
2006-06-30,71,55.75
2006-07-07,68,57.01
2006-07-14,73,54.28
2006-07-21,78,44.7
2006-07-28,84,46.05
2006-08-04,89,49.05
2006-08-11,95,46.19
2006-08-18,100,47.36
2006-08-25,67,46.4
2006-09-01,64,44.7
2006-09-08,64,38.63
2006-09-15,51,37.31
2006-09-22,51,34.95
2006-09-29,51,36.78
2006-10-06,53,38.55
2006-10-13,55,41.2
2006-10-20,78,41.75
2006-12-01,59,46.99
2006-12-08,62,47.66
2006-12-15,66,43.84
2006-12-22,69,40.7
2006-12-29,59,40.41
2007-01-05,61,37.22
2007-01-12,51,40
2007-01-19,76,40.83
2007-01-26,42,40.35
2007-02-02,66,42.02
2007-02-09,41,40.87
2007-02-16,49,41.03
2007-02-23,39,44.44
2007-03-02,39,38.94
2007-03-09,43,38.85
2007-03-16,47,37.95
2007-03-23,51,40.84
2007-03-30,42,40.24
2007-04-13,53,46.18
2007-04-20,81,46.55
2007-04-27,67,48.92
2007-05-04,46,48.91
2007-05-11,46,50.53
2007-05-18,50,53.51
2007-05-25,50,53.96
2007-06-01,46,54.7
2007-06-08,46,51.48
2007-06-15,46,52.29
2007-06-22,58,49.18
2007-06-29,57,48.38
2007-07-06,43,50.26
2007-07-13,43,49.56
2007-07-20,51,46.21
2007-07-27,50,41.08
2007-08-03,40,39.43
2007-08-10,43,45.34
2007-08-17,47,41.48
2007-08-24,51,42.6
2007-08-31,37,42.51
2007-09-07,35,45.11
2007-09-14,35,47.42
2007-09-21,52,48.1
2007-09-28,57,47.87
2007-10-05,63,48.79
2007-10-12,32,51.22
2007-10-19,55,50.58
2007-10-26,42,57.93
2007-11-02,40,51.36
2007-11-09,77,55.87
2007-11-16,40,52.41
2007-11-23,40,52.61
2007-11-30,41,55.64
2007-12-07,41,58.89
2007-12-14,31,60
2007-12-21,64,60.39
2007-12-28,37,61.37
2008-01-04,37,57.78
2008-01-11,34,55.44
2008-01-18,27,49.35
2008-01-25,57,56.07
2008-02-01,35,55.63
2008-02-08,47,53.88
2008-02-15,59,55.63
2008-02-22,37,58.24
2008-02-29,36,56.62
2008-03-07,44,52.98
2008-03-14,42,52.36
2008-03-28,31,51.15
2008-04-04,28,57.07
2008-04-11,36,61.07
2008-04-18,48,66.67
2008-04-25,44,64.01
2008-05-02,45,62.4
2008-05-09,34,68.6
2008-05-16,71,78.83
2008-05-23,43,73.2
2008-05-30,48,73.92
2008-06-06,45,77.74
2008-06-13,39,77.59
2008-06-20,41,80.31
2008-06-27,58,84.05
2008-07-11,65,76.85
2008-07-18,39,64.1
2008-07-25,61,66.44
2008-08-01,41,64.77
2008-08-08,39,58.58
2008-08-15,43,57.08
2008-08-22,41,64.51
2008-08-29,32,62.95
2008-09-05,45,53.3
2008-09-12,47,53.99
2008-09-19,44,57.29
2008-09-26,52,48.63
2008-10-03,60,36.12
2008-10-10,47,28.65
2008-10-17,74,32.03
2008-10-24,57,29.68
2008-10-31,53,34.51
2008-11-07,25,29.28
2008-11-14,41,27.07
2008-11-21,43,18.75
2008-11-28,32,23.43
2008-12-05,55,18.44
2008-12-12,46,23.92
2008-12-19,43,23.13
2008-12-26,29,22.07
2009-01-02,26,25.06
2009-01-09,33,27.09
2009-01-16,43,23.91
2009-01-23,46,23.67
2009-01-30,53,25
2009-02-06,34,28.9
2009-02-13,43,28.25
2009-02-20,55,23.98
2009-02-27,44,23.67
2009-03-06,45,21.84
2009-03-13,42,24.54
2009-03-20,47,26.81
2009-03-27,32,26.23
2009-04-03,51,28.88
2009-04-17,38,25.18
2009-04-24,57,27.16
2009-05-01,29,28.98
2009-05-08,33,32.93
2009-05-15,36,28.94
2009-05-22,24,30.69
2009-05-29,32,33.98
2009-06-05,41,35.36
2009-06-12,57,35.66
2009-06-19,35,31.39
2009-06-26,51,30.49
2009-07-10,23,28.92
2009-07-17,36,33.16
2009-07-24,44,34.19
2009-07-31,38,33.11
2009-08-07,46,35.65
2009-08-14,50,36.3
2009-08-21,30,35.84
2009-08-28,37,33.73
2009-09-04,37,33.43
2009-09-11,46,36.64
2009-09-18,38,38.74
2009-09-25,38,36.74
2009-10-02,41,35.2
2009-10-09,51,40.07
2009-10-16,40,41.9
2009-10-23,54,43.22
2009-10-30,31,39.59
2009-11-06,44,42.21
2009-11-13,51,43.55
2009-11-20,32,45.39
2009-11-27,23,44.56
2009-12-04,40,42.85
2009-12-11,32,42.47
2009-12-18,39,44.54
2010-01-08,34,50.86
2010-01-15,38,48.28
2010-01-22,42,45.1
2010-01-29,59,42.12
2010-02-05,38,41.91
2010-02-12,31,44.45
2010-02-19,26,47.04
2010-02-26,46,45.97
2010-03-05,34,49.23
2010-03-12,36,48.69
2010-03-19,41,47
2010-03-26,29,44.59
2010-04-09,49,46.35
2010-04-16,45,46.02
2010-04-23,70,49.21
2010-04-30,58,46.72
2010-05-07,54,40.93
2010-05-14,41,41.81
2010-05-21,54,37.4
2010-05-28,42,38.96
2010-06-04,31,36.68
2010-06-11,31,39.78
2010-06-18,44,41.26
2010-06-25,42,43.55
2010-07-02,44,38.99
2010-07-09,42,43.29
2010-07-16,41,41.81
2010-07-23,43,45.43
2010-07-30,34,45.15
2010-08-06,40,48.64
2010-08-13,40,45.63
2010-08-20,49,44.92
2010-08-27,34,43.18
2010-09-03,32,46.09
2010-09-10,34,45.99
2010-09-17,42,47
2010-09-24,35,49.19
2010-10-01,52,50.89
2010-10-08,37,51.76
2010-10-15,36,51.78
2010-10-22,37,51.04
2010-10-29,35,52.9
2010-11-05,49,57.75
2010-11-12,49,57.65
2010-11-19,53,59.24
2010-11-26,30,58.34
2010-12-03,46,63.28
2010-12-10,35,61.98
2010-12-17,34,60.53
2010-12-31,29,63.98
2011-01-07,45,62.07
2011-01-14,31,62.01
2011-01-21,36,58.17
2011-01-28,50,61.09
2011-02-04,33,63.48
2011-02-11,26,62.84
2011-02-18,41,65.02
2011-02-25,33,65.3
2011-03-04,39,69.35
2011-03-11,34,63.14
2011-03-18,47,70.21
2011-03-25,43,72.63
2011-04-01,60,72.71
2011-04-08,40,68.11
2011-04-15,31,65.57
2011-04-29,33,66.82
2011-05-06,37,62.22
2011-05-13,88,58.45
2011-05-20,40,58.8
2011-05-27,42,61.62
2011-06-03,31,58.76
2011-06-10,31,55.33
2011-06-17,38,53.87
2011-06-24,57,57.04
2011-07-01,47,59.39
2011-07-08,34,59.95
2011-07-15,72,59.61
2011-07-22,52,61.37
2011-07-29,43,57.47
2011-08-05,50,46.87
2011-08-12,53,48.23
2011-08-19,49,42.91
2011-08-26,59,47.1
2011-09-02,46,45.79
2011-09-09,46,46.81
2011-09-16,35,46.09
2011-09-23,48,36.77
2011-09-30,33,33.88
2011-10-07,49,34.65
2011-10-14,39,39.46
2011-10-21,37,38.89
2011-10-28,61,46.84
2011-11-04,45,43.57
2011-11-11,39,40.43
2011-11-18,44,36.06
2011-11-25,36,32.78
2011-12-02,35,38.22
2011-12-09,45,36.72
2011-12-16,33,32.98
2011-12-23,32,34.23
2011-12-30,28,33.11
2012-01-06,36,35.99
2012-01-13,36,35.68
2012-01-20,33,37.85
2012-01-27,47,36.14
2012-02-03,32,37.99
2012-02-10,36,35.77
2012-02-17,47,36.14
2012-02-24,37,36.33
2012-03-02,43,32.89
2012-03-09,49,31.2
2012-03-16,46,33.25
2012-03-23,33,30.19
2012-03-30,56,28.96
2012-04-13,50,28.38
2012-04-20,54,29.8
2012-04-27,40,30.2
2012-05-04,25,29.14
2012-05-11,36,28.48
2012-05-18,38,23.77
2012-05-25,46,23.88
2012-06-01,33,22.94
2012-06-08,43,24.27
2012-06-15,42,23.83
2012-06-22,38,22.58
2012-06-29,42,24.52
2012-07-06,29,24.86
2012-07-13,39,22.51
2012-07-20,42,22.66
2012-07-27,50,20.8
2012-08-03,44,21.29
2012-08-10,42,23.23
2012-08-17,44,22.3
2012-08-24,44,23.37
2012-08-31,37,21.63
2012-09-07,41,23.71
2012-09-14,45,25.61
2012-09-21,35,24.03
2012-09-28,36,22.29
2012-10-05,34,22.38
2012-10-12,26,25.71
2012-10-19,49,25.89
2012-10-26,55,28.22
2012-11-02,29,28.15
2012-11-09,41,26.17
2012-11-16,28,25
2012-11-23,35,25.15
2012-11-30,34,25.11
2012-12-07,24,26.88
2012-12-14,22,27.68
2012-12-21,18,26.35
2012-12-28,14,25.36
2013-01-04,18,27.24
2013-01-11,35,25.17
2013-01-18,25,25.97
2013-01-25,28,25.82
2013-02-01,39,25.07
2013-02-08,30,23.73
2013-02-15,29,24.4
2013-02-22,21,22.68
2013-03-01,28,20.56
2013-03-08,32,22
2013-03-15,26,21.84
2013-03-22,28,20.97
2013-04-05,24,20.17
2013-04-12,36,20.77
2013-04-19,33,19.19
2013-04-26,29,19.17
2013-05-03,27,20.67
2013-05-10,24,21.01
2013-05-17,29,20.21
2013-05-24,21,20.44
2013-05-31,21,19.67
2013-06-07,31,18.74
2013-06-14,35,16.78
2013-06-21,34,16
2013-06-28,37,14.64
2013-07-05,30,14.65
2013-07-12,30,15.99
2013-07-19,26,16.48
2013-07-26,44,16.83
2013-08-02,29,16.12
2013-08-09,26,17.9
2013-08-16,26,17.44
2013-08-23,35,17.85
2013-08-30,30,17.2
2013-09-06,28,18.22
2013-09-13,29,17.98
2013-09-20,24,18.16
2013-09-27,33,17.49
2013-10-04,34,17.37
2013-10-11,26,17.4
2013-10-18,34,18.5
2013-10-25,31,19.16
2013-11-01,23,20.05
2013-11-08,21,20.87
2013-11-15,29,20.1
2013-11-22,31,18.45
2013-11-29,30,18.2
2013-12-06,29,18.64
2013-12-13,39,18.41
2013-12-20,40,18.23
2013-12-27,12,19.25
2014-01-03,24,18.78
2014-01-10,31,17.55
2014-01-17,27,17.97
2014-01-24,44,16.87
2014-01-31,55,17.05
2014-02-07,43,16.47
2014-02-14,36,16.65
2014-02-21,37,16.98
2014-02-28,28,17.56
2014-03-07,32,16.69
2014-03-14,30,15.48
2014-03-21,42,15.74
2014-03-28,39,16.12
2014-04-04,25,17.22
2014-04-11,37,16.97
2014-04-25,37,18
