"Date","FITB","Price"
2005-10-21,25,38.01
2007-04-27,15,40.84
2007-05-04,11,41.12
2007-05-11,11,41.12
2007-05-18,11,41.16
2007-05-25,11,42.93
2007-06-01,11,42.78
2007-08-17,13,38.03
2007-10-19,9,29.97
2007-10-26,8,29.62
2007-11-02,8,29.84
2007-11-09,8,28.83
2007-11-16,8,27.81
2007-11-23,9,28.04
2007-11-30,9,29.91
2007-12-07,10,29.78
2007-12-14,11,26.6
2007-12-21,11,27.06
2007-12-28,11,25.24
2008-01-04,11,23.78
2008-01-11,11,24.36
2008-01-18,8,22.6
2008-01-25,8,24.49
2008-02-01,9,28.06
2008-03-14,13,21.84
2008-03-28,11,20.82
2008-04-04,12,22.71
2008-04-11,13,20.86
2008-04-18,14,20.95
2008-04-25,10,21.78
2008-05-02,11,22.65
2008-05-09,11,20.77
2008-05-16,11,20.48
2008-05-23,12,19.26
2008-05-30,13,18.7
2008-06-06,11,16.74
2008-06-13,17,13.17
2008-06-20,34,10.11
2008-06-27,26,10.23
2008-07-11,17,12.48
2008-07-18,26,13.53
2008-07-25,28,13.72
2008-08-01,14,13.99
2008-08-08,17,15.68
2008-08-15,23,15.07
2008-08-22,18,14.63
2008-08-29,11,15.78
2008-09-05,8,16.16
2008-09-12,11,15.31
2008-09-19,14,18.88
2008-09-26,19,16.16
2008-10-03,53,13.22
2008-10-10,29,10.4
2008-10-17,20,12.24
2008-10-24,25,8.07
2008-10-31,34,10.85
2008-11-07,14,10.69
2008-11-14,19,9.54
2008-11-21,11,7.49
2008-11-28,13,9.56
2008-12-05,19,8.26
2008-12-12,11,7.82
2008-12-19,12,7.65
2008-12-26,12,7.77
2009-01-02,9,8.59
2009-01-09,11,7.49
2009-01-16,9,5.43
2009-01-23,22,2.91
2009-01-30,24,2.39
2009-02-06,35,2.63
2009-02-13,45,2
2009-02-20,35,1.03
2009-02-27,60,2.11
2009-03-06,46,1.29
2009-03-13,52,1.75
2009-03-20,47,2.13
2009-03-27,46,2.35
2009-04-03,60,3.28
2009-04-17,80,4.83
2009-04-24,69,3.71
2009-05-01,55,3.85
2009-05-08,100,8.49
2009-05-15,99,7.1
2009-05-22,56,6.89
2009-05-29,30,6.9
2009-06-05,45,7.13
