"Date","STZ","Price"
2004-07-30,69,37.88
2004-08-06,75,36.92
2004-08-13,73,36.5
2004-10-08,69,38.7
2004-10-15,69,38.07
2004-10-22,55,38.9
2004-10-29,55,39.23
2004-11-05,55,43.25
2004-11-12,61,43.56
2004-11-19,68,42.04
2004-11-26,60,44.67
2004-12-03,53,46.11
2004-12-10,53,46.06
2004-12-17,53,47.82
2004-12-31,69,46.51
2005-01-07,77,49.13
2005-01-14,63,49.46
2005-01-21,68,49.31
2005-04-01,51,53.18
2005-04-08,73,57.95
2005-04-15,44,55.55
2005-04-22,71,55.95
2005-04-29,52,52.71
2005-05-06,56,55.82
2005-05-13,59,52.9
2005-05-20,47,26.58
2005-05-27,57,26.02
2005-06-03,43,28.03
2005-06-10,63,28.02
2005-06-17,60,28.11
2005-06-24,67,28.3
2005-07-01,74,29.9
2005-07-08,88,30.23
2005-07-15,53,28.66
2005-07-22,56,28.27
2005-07-29,58,27.4
2005-08-05,61,26.94
2005-08-12,64,27.44
2005-08-19,52,26.57
2005-08-26,48,27.76
2005-09-02,44,27.9
2005-09-09,67,28.48
2005-09-16,57,28.74
2005-09-23,57,26.45
2005-09-30,47,26
2005-10-07,59,23.43
2005-10-14,52,22.51
2005-10-21,53,22.38
2005-10-28,53,22.7
2005-11-04,57,23.32
2005-11-11,61,23.61
2005-11-18,38,23.48
2005-11-25,46,23.04
2005-12-02,60,24.48
2005-12-09,47,24.82
2005-12-16,41,25.02
2005-12-23,37,25.85
2005-12-30,41,26.23
2006-01-06,45,26.15
2006-01-13,50,26.15
2006-01-20,55,25.83
2006-01-27,55,26.22
2006-02-03,52,26.32
2006-02-10,39,26.31
2006-02-17,56,25.34
2006-02-24,78,26.16
2006-03-03,58,26.56
2006-03-10,59,27.32
2006-03-17,63,26.27
2006-03-24,59,25.56
2006-03-31,50,25.05
2006-04-07,59,23.99
2006-04-21,38,24
2006-04-28,64,24.7
2006-05-05,29,24.9
2006-05-12,61,24.24
2006-05-19,47,24.69
2006-05-26,55,24.39
2006-06-02,68,24.98
2006-06-09,42,24.83
2006-06-16,54,24.89
2006-06-23,68,25.94
2006-06-30,56,25
2006-07-07,41,25.07
2006-07-14,48,24.54
2006-07-21,60,24.81
2006-07-28,68,24.45
2006-08-04,36,25.03
2006-08-11,44,25.35
2006-08-18,55,25.41
2006-08-25,55,26.26
2006-09-01,75,27.31
2006-09-08,66,27.74
2006-09-15,42,27.81
2006-09-22,60,27.59
2006-09-29,67,28.78
2006-10-06,58,27.97
2006-10-13,55,27.47
2006-10-20,51,27.65
2006-10-27,78,27.6
2006-11-03,76,27.7
2006-11-10,60,27.79
2006-11-17,50,27.89
2006-11-24,63,27.63
2006-12-01,66,28.16
2006-12-08,43,28.18
2006-12-15,52,28.29
2006-12-22,49,28.4
2006-12-29,41,29.02
2007-01-05,43,24.41
2007-01-12,69,24.88
2007-01-19,55,24.95
