"Date","ADM","Price"
2004-02-06,89,17.2
2004-02-13,75,16.9
2004-02-20,90,17.16
2004-02-27,93,17.2
2004-03-05,78,17.06
2004-03-12,91,16.57
2004-03-19,82,16.9
2004-03-26,85,16.68
2004-04-02,85,17.05
2004-04-16,67,16.72
2004-04-23,88,17.4
2004-04-30,82,17.56
2004-05-07,83,17.14
2004-05-14,75,17.07
2004-05-21,73,16.34
2004-05-28,75,16.63
2004-06-04,73,16.86
2004-06-18,81,16.28
2004-06-25,86,16.4
2004-07-02,83,16.58
2004-07-09,77,16.36
2004-07-16,74,16.15
2004-07-23,77,16.13
2004-07-30,82,15.43
2004-08-06,81,15.61
2004-08-13,86,15.73
2004-08-20,91,15.93
2004-08-27,92,15.76
2004-09-03,92,16.52
2004-09-10,83,16.62
2004-09-17,85,16.67
2004-09-24,84,16.39
2004-10-01,80,16.83
2004-10-08,81,17.04
2004-10-15,80,16.97
2004-10-22,91,16.8
2004-10-29,78,19.37
2004-11-05,71,19.84
2004-11-12,68,20.54
2004-11-19,73,20.8
2004-11-26,72,21.22
2004-12-03,80,21.85
2004-12-10,81,21.3
2004-12-17,77,21.76
2004-12-31,64,22.31
2005-01-07,78,21.84
2005-01-14,74,21.91
2005-01-21,80,22.66
2005-01-28,74,23.06
2005-02-04,81,24.08
2005-02-11,76,24.25
2005-02-18,77,24.82
2005-02-25,90,24.18
2005-03-04,74,25.32
2005-03-11,85,24.61
2005-03-18,80,24.25
2005-04-01,79,24.97
2005-04-08,95,21.69
2005-04-15,77,20.78
2005-04-22,91,20.35
2005-04-29,85,17.99
2005-05-06,83,18.8
2005-05-13,76,19.35
2005-05-20,81,19.85
2005-05-27,79,20.01
2005-06-03,82,20.22
2005-06-10,76,20.43
2005-06-17,77,21.4
2005-06-24,83,21.26
2005-07-01,79,21.48
2005-07-08,79,20.89
2005-07-15,76,21.74
2005-07-22,76,21.99
2005-07-29,75,22.94
2005-08-05,77,20.78
2005-08-12,82,21.03
2005-08-19,74,21
2005-08-26,84,22.47
2005-09-02,76,23.71
2005-09-09,75,23.2
2005-09-16,82,23.14
2005-09-23,82,22.78
2005-09-30,78,24.66
2005-10-07,69,24.5
2005-10-14,81,24.39
2005-10-21,84,23.78
2005-10-28,78,24.3
2005-11-04,73,24.21
2005-11-11,86,24.41
2005-11-18,79,24.51
2005-11-25,74,24.52
2005-12-02,70,23.9
2005-12-09,74,24.8
2005-12-16,72,25.06
2005-12-23,62,25.2
2005-12-30,56,24.66
2006-01-06,72,26.05
2006-01-13,81,26.79
2006-01-20,77,27.52
2006-01-27,75,28.87
2006-02-03,89,30
2006-02-10,81,30.72
2006-02-17,82,30.08
2006-02-24,85,30.96
2006-03-03,77,32.27
2006-03-10,91,32.22
2006-03-17,77,35.26
2006-03-24,77,35.15
2006-03-31,84,33.65
2006-04-07,82,36.05
2006-04-21,76,37.86
2006-04-28,81,36.34
2006-05-05,92,40.7
2006-05-12,100,44.1
2006-05-19,92,40.2
2006-05-26,86,42.71
2006-06-02,77,42.34
2006-06-09,83,41.26
2006-06-16,80,39.08
2006-06-23,87,38.9
2006-06-30,73,41.28
2006-07-07,65,43.07
2006-07-14,80,41.98
2006-07-21,70,39.46
2006-07-28,79,43.52
2006-08-04,81,40.91
2006-08-11,82,40.83
2006-08-18,75,41.2
2006-08-25,80,41.74
2006-09-01,77,41.99
2006-09-08,72,39.59
2006-09-15,66,38.13
2006-09-22,79,38.48
2006-09-29,88,37.88
2006-10-06,79,37
2006-10-13,72,36.93
2006-10-20,80,37.5
2006-10-27,82,39.37
2006-11-03,77,34.23
2006-11-10,79,35.46
2006-11-17,76,34.36
2006-11-24,68,33.53
2006-12-01,73,34.83
2006-12-08,76,34.07
2006-12-15,75,32.72
2006-12-22,67,31.48
2006-12-29,54,31.96
2007-01-05,69,31.83
2007-01-12,69,30.96
2007-01-19,76,31.42
2007-01-26,70,31.53
2007-02-02,81,35.27
2007-02-09,77,33.36
2007-02-16,81,35.88
2007-02-23,74,35.2
2007-03-02,78,33.75
2007-03-09,80,34.2
2007-03-16,84,33.51
2007-03-23,80,35.63
2007-03-30,82,36.7
2007-04-13,79,38.01
2007-04-20,81,38.55
2007-04-27,78,39.01
2007-05-04,80,36.06
2007-05-11,77,35.87
2007-05-18,87,36.9
2007-05-25,80,35.32
2007-06-01,76,34.59
2007-06-08,77,34.54
2007-06-15,78,34.57
2007-06-22,81,33.48
2007-06-29,80,33.09
2007-07-06,72,35.14
2007-07-13,76,36.6
2007-07-20,72,36.06
2007-07-27,77,34.05
2007-08-03,80,33.46
2007-08-10,75,34.43
2007-08-17,78,32.65
2007-08-24,83,33.08
2007-08-31,77,33.7
2007-09-07,78,32.71
2007-09-14,88,32.36
2007-09-21,81,33.12
2007-09-28,82,33.08
2007-10-05,77,33.11
2007-10-12,76,35.48
2007-10-19,78,34.9
2007-10-26,77,35.06
2007-11-02,76,34.84
2007-11-09,77,36.93
2007-11-16,84,37.89
2007-11-23,74,35.59
2007-11-30,73,36.35
2007-12-07,80,38.55
2007-12-14,70,39.07
2007-12-21,78,44.27
2007-12-28,62,47.09
2008-01-04,61,45.85
2008-01-11,83,43.64
2008-01-18,75,40.9
2008-01-25,77,42.11
2008-02-01,87,45.5
2008-02-08,76,41.41
2008-02-15,91,44.13
2008-02-22,87,44.58
2008-02-29,92,45.1
2008-03-07,88,45.01
2008-03-14,91,43.85
2008-03-28,87,42.28
2008-04-04,84,42.53
2008-04-11,88,43.03
2008-04-18,84,46.47
2008-04-25,84,47.31
2008-05-02,83,43.94
2008-05-09,83,42.68
2008-05-16,82,43.35
2008-05-23,79,43.17
2008-05-30,89,39.7
2008-06-06,86,37.2
2008-06-13,78,32.61
2008-06-20,80,32.67
2008-06-27,78,32.92
2008-07-11,81,30.29
2008-07-18,75,29.92
2008-07-25,76,29.66
2008-08-01,78,28.16
2008-08-08,83,26.49
2008-08-15,85,26.2
2008-08-22,76,26.21
2008-08-29,86,25.46
2008-09-05,81,23.41
2008-09-12,78,23.98
2008-09-19,83,23.68
2008-09-26,88,22.88
2008-10-03,82,18.52
2008-10-10,77,15.45
2008-10-17,79,18.32
2008-10-24,80,17.53
2008-10-31,85,20.73
2008-11-07,83,22.58
2008-11-14,80,25.92
2008-11-21,79,24.83
2008-11-28,75,27.38
2008-12-05,75,25.83
2008-12-12,81,26.6
2008-12-19,75,28.04
2008-12-26,64,28.35
2009-01-02,63,29.19
2009-01-09,85,27.96
2009-01-16,83,25.62
2009-01-23,81,26.93
2009-01-30,85,27.38
2009-02-06,86,27.61
2009-02-13,85,28.56
2009-02-20,82,27.68
2009-02-27,81,26.66
2009-03-06,91,25.96
2009-03-13,90,27.81
2009-03-20,92,27.44
2009-03-27,90,28.53
2009-04-03,91,28.9
2009-04-17,84,26.18
2009-04-24,87,23.77
2009-05-01,83,25.51
2009-05-08,87,26.97
2009-05-15,88,25.17
2009-05-22,81,27.17
2009-05-29,79,27.52
2009-06-05,81,27.91
2009-06-12,72,28.71
2009-06-19,79,27.28
2009-06-26,75,26.69
2009-07-10,74,26.66
2009-07-17,77,28.63
2009-07-24,80,30.39
2009-07-31,81,30.12
2009-08-07,77,28.7
2009-08-14,79,27.87
2009-08-21,85,28.67
2009-08-28,84,28.62
2009-09-04,88,28.91
2009-09-11,82,29.02
2009-09-18,87,29.12
2009-09-25,95,27.31
2009-10-02,88,28.43
2009-10-09,83,29.74
2009-10-16,83,29.99
2009-10-23,81,30.66
2009-10-30,83,30.12
2009-11-06,82,32.39
2009-11-13,76,32.51
2009-11-20,77,31.62
2009-11-27,79,30.65
2009-12-04,79,31.59
2009-12-11,76,30.49
2009-12-18,72,30.55
2010-01-08,72,30.84
2010-01-15,78,30.54
2010-01-22,76,30.47
2010-01-29,80,29.97
2010-02-05,80,30.61
2010-02-12,76,29.77
2010-02-19,74,29.95
2010-02-26,81,29.36
2010-03-05,90,30.62
2010-03-12,86,28.66
2010-03-19,84,29.09
2010-03-26,87,28.42
2010-04-09,85,28.26
2010-04-16,86,28.25
2010-04-23,82,28.5
2010-04-30,80,27.94
2010-05-07,79,25.94
2010-05-14,75,26.77
2010-05-21,81,25.41
2010-05-28,82,25.27
2010-06-04,78,24.83
2010-06-11,84,25.64
2010-06-18,77,27.19
2010-06-25,74,26.34
2010-07-02,75,25.5
2010-07-09,74,26.72
2010-07-16,73,26.74
2010-07-23,78,27.63
2010-07-30,79,27.36
2010-08-06,81,30.18
2010-08-13,78,30.05
2010-08-20,77,30.52
2010-08-27,85,30.53
2010-09-03,77,32
2010-09-10,73,32.72
2010-09-17,78,32.38
2010-09-24,81,32.27
2010-10-01,81,31.92
2010-10-08,76,32.86
2010-10-15,75,33.27
2010-10-22,79,33.54
2010-10-29,75,33.32
2010-11-05,74,31.35
2010-11-12,77,30.23
2010-11-19,77,29.66
2010-11-26,77,29.21
2010-12-03,78,30.39
2010-12-10,77,31.07
2010-12-17,72,30.03
2010-12-31,61,30.08
2011-01-07,74,31.95
2011-01-14,80,33.51
2011-01-21,79,33.45
2011-01-28,81,32.76
2011-02-04,78,36.09
2011-02-11,81,36.22
2011-02-18,80,37.65
2011-02-25,79,36.88
2011-03-04,76,36.95
2011-03-11,74,36.09
2011-03-18,77,34.96
2011-03-25,86,35.3
2011-04-01,86,36.48
2011-04-08,79,35.27
2011-04-15,81,34.83
2011-04-29,80,37.02
2011-05-06,79,33.97
2011-05-13,76,32.2
2011-05-20,79,31.26
2011-05-27,79,32.21
2011-06-03,76,30.39
2011-06-10,77,29.54
