"Date","AMGN","Price"
2004-10-22,40,52.7
2005-07-08,32,69.13
2005-07-15,35,70.63
2005-07-22,89,81.31
2005-07-29,73,79.77
2005-08-05,67,81.89
2005-08-12,56,80.42
2005-08-19,37,79.66
2005-08-26,46,78.68
2005-09-02,55,80.33
2005-09-09,64,84.51
2005-09-16,73,84.86
2005-09-23,39,83.29
2005-09-30,34,79.67
2005-10-07,27,77.02
2005-10-14,35,75.75
2005-10-21,54,73.37
2005-10-28,47,75.78
2005-11-04,37,79.19
2005-11-11,36,81.1
2005-11-18,40,83.22
2005-11-25,31,82.79
2005-12-02,31,80.78
2005-12-09,39,78.38
2005-12-16,82,78.99
2005-12-23,35,80.87
2005-12-30,46,78.86
2006-01-06,56,78.1
2006-01-13,65,77.6
2006-01-20,38,75.68
2006-01-27,76,71.31
2006-02-03,62,74.62
2006-02-10,32,71.45
2006-02-17,34,74.89
2006-02-24,50,74.75
2006-03-03,43,75.39
2006-03-10,37,73.49
2006-03-17,31,73.25
2006-03-24,40,73.18
2006-03-31,26,72.75
2006-04-07,33,71.03
2006-04-21,42,66.82
2006-04-28,74,67.7
2006-05-05,25,67.11
2006-05-12,43,68.11
2006-05-19,34,67.69
2006-05-26,34,68.81
2006-06-02,66,69.18
2006-06-09,59,67.64
2006-06-16,35,66.82
2006-06-23,29,64.93
2006-06-30,45,65.23
2006-07-07,36,66.39
2006-07-14,41,64.35
2006-07-21,48,66.15
2006-07-28,45,69.07
2006-08-04,47,68.79
2006-08-11,56,66.4
2006-08-18,34,67.31
2006-08-25,27,67.52
2006-09-01,32,68.39
2006-09-08,20,67.93
2006-09-15,29,69.77
2006-09-22,33,70.89
2006-09-29,46,71.53
2006-10-06,33,74.01
2006-10-13,36,73.22
2006-10-20,37,73.95
2006-10-27,76,75.52
2006-11-03,49,74.87
2006-11-10,44,73.46
2006-11-17,32,72.51
2006-11-24,36,72.5
2006-12-01,41,69.38
2006-12-08,36,69.88
2006-12-15,33,70.22
2006-12-22,31,68.71
2006-12-29,28,68.31
2007-01-05,28,71.5
2007-01-12,32,73.27
2007-01-19,38,74.25
2007-01-26,69,71.5
2007-02-02,40,69.45
2007-02-09,41,69.05
2007-02-16,37,66.73
2007-02-23,50,66.23
2007-03-02,71,61.75
2007-03-09,54,60.86
2007-03-16,58,59.3
2007-03-23,48,58.02
2007-03-30,74,55.88
2007-04-13,72,59.03
2007-04-20,100,61.97
2007-04-27,75,63.27
2007-05-04,48,63.74
2007-05-11,77,56.3
2007-05-18,83,54.04
2007-05-25,70,54.55
2007-06-01,46,56.94
2007-06-08,64,57.37
2007-06-15,47,59.03
2007-06-22,37,55.96
2007-06-29,38,55.29
2007-07-06,25,54.82
2007-07-13,56,56.93
2007-07-20,45,56.18
2007-07-27,63,55.62
2007-08-03,84,50.9
2007-08-10,74,50.08
2007-08-17,76,50.08
2007-08-24,58,50.27
2007-08-31,47,50.11
2007-09-07,44,50.9
2007-09-14,63,56.32
2007-09-21,54,55.42
2007-09-28,56,56.57
2007-10-05,46,56.84
2007-10-12,45,58.17
2007-10-19,32,55.95
2007-10-26,52,57.18
2007-11-02,37,56.62
2007-11-09,28,54.28
2007-11-16,30,55.49
2007-11-23,21,53.76
2007-11-30,30,55.25
2007-12-07,26,52.1
2007-12-14,44,48.4
2007-12-21,32,48.02
2007-12-28,23,47.06
2008-01-04,40,44.8
2008-01-11,30,47.62
2008-01-18,33,47.45
2008-01-25,37,48.14
2008-02-01,29,47.36
2008-02-08,35,46.56
2008-02-15,28,46.64
2008-02-22,20,46.43
2008-02-29,26,45.52
2008-03-07,32,44.18
2008-03-14,47,44.46
2008-03-28,28,41.45
2008-04-04,24,41.53
2008-04-11,31,43.01
2008-04-18,24,43.07
2008-04-25,35,42.25
2008-05-02,21,42.93
2008-05-09,19,42.05
2008-05-16,18,42.03
2008-05-23,19,42.38
2008-05-30,18,44.03
2008-06-06,21,44.24
2008-06-13,22,43.97
2008-06-20,19,45.17
2008-06-27,31,46.37
2008-07-11,35,51.02
2008-07-18,44,52.56
2008-07-25,51,53.92
2008-08-01,89,62.78
2008-08-08,40,63.8
2008-08-15,41,65.06
2008-08-22,35,64.01
2008-08-29,17,62.85
2008-09-05,14,60.41
2008-09-12,25,62.87
2008-09-19,45,59.97
2008-09-26,28,60.67
