"Date","sell.KEY","Price"
2007-02-02,64,38.77
2007-08-03,67,33.34
2007-08-10,84,33.29
2007-08-17,100,34.43
2007-08-24,50,34.39
2007-08-31,50,33.3
2007-09-07,50,32.31
2007-09-14,50,32.85
2007-09-21,50,33.7
2007-09-28,54,32.33
2007-10-05,53,33.77
2007-10-12,48,33.04
2007-10-19,48,28.69
2007-10-26,48,28.55
2007-11-02,48,26.27
2007-11-09,51,26.5
2007-11-16,54,25.5
2007-11-23,56,25.05
2007-11-30,59,26.34
2007-12-07,62,25.28
2007-12-14,64,22.67
2007-12-21,67,23.46
2007-12-28,69,23.65
2008-01-04,52,21.84
2008-01-11,51,23.23
2008-01-18,51,21.1
2008-01-25,51,25.03
2008-02-01,50,26.42
2008-02-08,64,24.65
2008-02-15,50,24.34
2008-02-22,40,23.95
2008-02-29,40,22.05
2008-03-07,48,20.94
2008-03-14,57,21.24
2008-03-28,40,21.88
2008-04-04,40,23.72
2008-04-11,40,23.61
2008-04-18,40,24.68
2008-04-25,51,24.34
2008-05-02,62,25.48
2008-05-09,49,23.99
2008-05-16,51,23.72
2008-05-23,55,21.87
2008-05-30,59,19.47
2008-06-06,44,17.3
2008-06-13,44,11.73
2008-06-20,48,11.53
2008-06-27,62,11.14
2008-07-11,45,9.84
2008-07-18,49,11.36
2008-07-25,44,11.16
2008-08-01,44,10.97
2008-08-08,65,11.94
2008-08-15,62,11.73
2008-08-22,40,11.47
2008-08-29,40,12.01
2008-09-05,41,12.97
2008-09-12,44,13.37
2008-09-19,36,14.88
2008-09-26,42,14.7
2008-10-03,47,12.55
2008-10-10,52,6.79
2008-10-17,38,10.08
2008-10-24,58,10.12
2008-10-31,60,12.41
2008-11-07,62,11.24
2008-11-14,63,9.6
2008-11-21,40,6.27
2008-11-28,40,9.38
2008-12-05,49,8.39
2008-12-12,41,8
2008-12-19,40,8.07
2008-12-26,58,7.7
2009-01-02,39,8.87
2009-01-09,39,7.58
2009-01-16,45,6.31
2009-01-23,47,7.62
2009-01-30,50,7.28
2009-02-06,46,8.47
2009-02-13,40,7.05
2009-02-20,52,6.07
2009-02-27,34,7.01
2009-03-06,45,5.36
2009-03-13,75,7.7
2009-03-20,34,7.47
2009-03-27,56,8.32
2009-04-03,30,8.54
2009-04-17,33,9.05
2009-04-24,33,7
2009-05-01,48,5.88
2009-05-08,53,6.97
2009-05-15,58,5.8
2009-05-22,38,5.26
2009-05-29,35,5
2009-06-05,35,5.43
2009-06-12,40,6.12
2009-06-19,46,6.07
2009-06-26,37,5.2
2009-07-10,29,5.12
2009-07-17,54,5.11
2009-07-24,65,5.26
2009-07-31,42,5.78
2009-08-07,57,6.78
2009-08-14,50,6.65
2009-08-21,41,6.73
2009-08-28,43,6.68
2009-09-04,55,6.22
2009-09-11,44,5.93
2009-09-18,51,6.63
