"Date","The.Hershey.Company","Price"
2007-03-09,92,54.63
2007-11-30,79,39.91
2008-02-29,67,37.08
2008-03-07,60,35.05
2008-03-14,68,36.46
2008-03-28,84,37.79
2008-04-04,92,39.03
2008-04-11,100,35.89
2008-04-18,68,35.53
2008-04-25,68,34.74
2008-05-02,68,38.17
2008-05-09,68,36.99
2008-05-16,69,37.47
2008-05-23,70,36.51
2008-05-30,71,39.19
2008-09-19,59,40.7
2008-09-26,53,41.06
2008-10-03,58,38.96
2008-10-10,62,34.5
2008-10-17,67,35.2
2008-10-24,71,33.59
2008-10-31,59,37.24
2008-11-07,52,36.51
2008-11-14,65,35.96
2008-11-21,79,34.69
2008-11-28,49,36
2008-12-05,49,34.63
2008-12-12,55,35.66
2008-12-19,53,35.06
2008-12-26,53,34.89
2009-01-02,53,35.81
2009-01-09,53,34.42
2009-01-16,51,35.03
2009-01-23,51,34.94
2009-01-30,51,37.28
2009-02-06,64,37.48
2009-02-13,46,36.87
2009-02-20,46,34.64
2009-02-27,54,33.69
2009-03-06,62,31.99
2009-03-13,61,33.21
2009-03-20,61,34.93
2009-03-27,61,34.95
2009-04-03,52,36.14
2009-04-17,54,35.84
2009-04-24,56,36.18
2009-05-01,57,35.71
2009-05-08,58,35.22
2009-05-15,47,35.28
2009-05-22,47,34.88
2009-09-11,73,40.24
2009-09-18,52,39.61
2009-09-25,51,39
2009-10-02,51,39.54
2009-10-09,39,39.9
2009-10-16,40,39.63
2009-10-23,41,38.06
2009-10-30,41,37.79
2009-11-06,45,37.62
2009-11-13,37,38.22
2009-11-20,63,37.18
2009-11-27,64,35.6
2009-12-04,65,35.99
2009-12-11,67,36.02
2009-12-18,51,35.29
2010-01-08,51,36.38
2010-01-15,45,36.25
2010-01-22,52,36.28
2010-01-29,34,36.43
2010-02-05,65,37.35
2010-02-12,48,37.6
2010-02-19,52,39.97
2010-02-26,43,39.76
2010-03-05,71,41.45
2010-03-12,60,42.65
2010-03-19,50,42.44
2010-03-26,54,42.49
2010-04-09,63,44.12
2010-04-16,60,43.87
2010-04-23,33,48.72
2010-04-30,38,47.01
2010-05-07,44,46.42
2010-05-14,45,47.22
2010-05-21,45,46.56
2010-05-28,38,46.8
2010-06-04,40,48.29
2010-06-11,41,50.77
2010-06-18,42,50.22
2010-06-25,39,48.38
2010-07-02,39,48.21
2010-07-09,39,50.72
2010-07-16,39,50.81
2010-07-23,40,47.21
2010-07-30,41,47
2010-08-06,42,46.18
2010-08-13,42,46.35
2010-08-20,43,47.74
2010-08-27,44,47.09
2010-09-03,40,47.14
2010-09-10,34,45.94
2010-09-17,33,47.37
2010-09-24,51,48.12
2010-10-01,35,47.79
2010-10-08,35,48.75
2010-10-15,35,51.62
2010-10-22,40,49.91
2010-10-29,28,49.49
2010-11-05,63,48.49
2010-11-12,48,47.55
2010-11-19,37,46.52
2010-11-26,27,47.22
2010-12-03,27,46.75
2010-12-10,42,47.4
2010-12-17,31,48.3
2010-12-31,35,47.15
2011-01-07,37,48.14
2011-01-14,40,49.55
2011-01-21,41,49.39
2011-01-28,29,47.04
2011-02-04,59,50.49
2011-02-11,49,50.01
2011-02-18,61,50.33
2011-02-25,40,51.95
2011-03-04,35,52.94
2011-03-11,35,53.73
2011-03-18,35,53.87
2011-03-25,50,54.36
2011-04-01,53,54.3
2011-04-08,51,55.71
2011-04-15,66,57.3
2011-04-29,56,57.71
2011-05-06,36,56.06
2011-05-13,46,57.34
2011-05-20,60,56.14
2011-05-27,46,55.02
2011-06-03,30,54.51
2011-06-10,30,53.92
2011-06-17,33,55.66
2011-06-24,34,55.94
2011-07-01,36,57.41
2011-07-08,37,57.78
2011-07-15,39,56.8
2011-07-22,40,58.93
2011-07-29,43,56.44
2011-08-05,28,56.15
2011-08-12,42,55.85
2011-08-19,24,55.12
2011-08-26,24,57.29
2011-09-02,36,57.21
2011-09-09,34,56.56
2011-09-16,41,59.42
2011-09-23,41,59.08
2011-09-30,57,59.24
2011-10-07,34,58.99
2011-10-14,46,60.04
2011-10-21,41,60.26
2011-10-28,40,57.45
2011-11-04,44,57.61
2011-11-11,44,56.99
2011-11-18,30,56.38
2011-11-25,35,55.36
2011-12-02,43,57.84
2011-12-09,34,59.3
2011-12-16,32,59.4
2011-12-23,28,61
2011-12-30,28,61.78
2012-01-06,28,60.69
2012-01-13,37,61.48
2012-01-20,48,61.54
2012-01-27,40,61.24
2012-02-03,42,61.16
2012-02-10,46,59.55
2012-02-17,42,60.86
2012-02-24,52,61.11
2012-03-02,54,61.33
2012-03-09,51,59.49
2012-03-16,40,60.14
2012-03-23,30,60.52
2012-03-30,36,61.33
2012-04-13,45,61.69
2012-04-20,59,63.15
2012-04-27,43,66.75
2012-05-04,34,66.89
2012-05-11,51,68.46
2012-05-18,29,67.41
2012-05-25,40,67.72
2012-06-01,34,65.9
2012-06-08,33,67.57
2012-06-15,29,69.49
2012-06-22,25,69.5
2012-06-29,27,72.03
2012-07-06,36,72.24
2012-07-13,33,72.54
2012-07-20,47,71.26
2012-07-27,38,72.17
2012-08-03,32,72.17
2012-08-10,32,72.23
2012-08-17,38,71.92
2012-08-24,28,72.61
2012-08-31,44,71.82
2012-09-07,19,72.32
2012-09-14,45,70.09
2012-09-21,40,71.68
2012-09-28,43,70.89
2012-10-05,37,71.49
2012-10-12,49,69.53
2012-10-19,48,70.33
2012-10-26,54,69.33
2012-11-02,42,69.49
2012-11-09,40,70.35
2012-11-16,44,71.74
2012-11-23,32,72.4
2012-11-30,48,73.27
2012-12-07,48,72.27
2012-12-14,43,74.02
2012-12-21,25,73.37
2012-12-28,28,71.44
2013-01-04,31,74.54
2013-01-11,53,76.12
2013-01-18,36,78.28
2013-01-25,43,77.85
2013-02-01,32,80.14
2013-02-08,41,80.21
2013-02-15,61,80.93
2013-02-22,43,81.23
2013-03-01,46,83.45
2013-03-08,33,84.32
2013-03-15,28,83.9
2013-03-22,52,85.91
2013-04-05,50,85.44
2013-04-12,46,86.52
2013-04-19,46,90.38
2013-04-26,49,87.57
2013-05-03,51,89.56
2013-05-10,54,87.9
2013-05-17,38,90.1
2013-05-24,41,89.25
2013-05-31,32,89.11
2013-06-07,31,89.48
2013-06-14,24,89.15
2013-06-21,33,86.66
2013-06-28,35,89.28
