"Date","DVN","Price"
2004-10-22,53,76.36
2005-01-21,56,39.44
2005-06-24,42,51.22
2005-08-05,46,57.71
2005-08-12,50,59.84
2005-08-19,54,57.65
2005-08-26,58,57.68
2005-09-02,62,60.74
2005-09-09,49,64.33
2005-09-16,51,62.4
2005-09-23,53,64.74
2005-09-30,55,68.64
2005-10-07,57,63.4
2005-10-14,35,62.03
2005-10-21,41,58.12
2005-10-28,34,60.4
2005-11-04,52,58.93
2005-11-11,47,55.05
2005-11-18,39,58.61
2005-11-25,48,61.38
2005-12-02,57,62.29
2005-12-09,59,65.3
2005-12-16,62,64.17
2005-12-23,39,63.86
2005-12-30,31,62.54
2006-01-06,31,66.59
2006-01-13,31,65.64
2006-01-20,44,67.87
2006-01-27,44,65.46
2006-02-03,32,64.35
2006-02-10,28,58.92
2006-02-17,34,60.71
2006-02-24,40,60.98
2006-03-03,31,60.81
2006-03-10,41,56.84
2006-03-17,47,60.5
2006-03-24,30,60.96
2006-03-31,35,61.17
2006-04-07,54,59.8
2006-04-21,36,64.15
2006-04-28,40,60.11
2006-05-05,67,63.26
2006-05-12,32,59.75
2006-05-19,50,57.12
2006-05-26,33,57.02
2006-06-02,33,58.07
2006-06-09,75,53.09
2006-06-16,46,54.58
2006-06-23,43,55.68
2006-06-30,43,60.41
2006-07-07,50,60.96
2006-07-14,40,61.38
2006-07-21,72,57.34
2006-07-28,63,63.35
2006-08-04,72,63.25
2006-08-11,68,63.32
2006-08-18,61,60.85
2006-08-25,48,62.96
2006-09-01,46,64.15
2006-09-08,100,67.56
2006-09-15,93,65.58
2006-09-22,69,60.86
2006-09-29,53,63.15
2006-10-06,56,62.4
2006-10-13,60,64.72
2006-10-20,42,67.39
2006-10-27,57,67.18
2006-11-03,42,68.7
2006-11-10,53,70.09
2006-11-17,50,69.96
2006-11-24,43,70.47
2006-12-01,49,73.57
2006-12-08,57,72.07
2006-12-15,48,70.68
2006-12-22,36,68.11
2006-12-29,42,67.08
2007-01-05,46,65.32
2007-01-12,41,65.63
2007-01-19,32,67.66
2007-01-26,34,68.08
2007-02-02,52,70.4
2007-02-09,39,68.25
2007-02-16,34,66.69
2007-02-23,40,66.15
2007-03-02,35,64.45
2007-03-09,29,64.74
2007-03-16,51,64.39
2007-03-23,37,67.65
2007-03-30,24,69.22
2007-04-13,54,75.1
2007-04-20,32,73.55
2007-04-27,19,73.49
2007-05-04,34,75.93
2007-05-11,29,75.01
2007-05-18,53,77.95
2007-05-25,29,76.6
2007-06-01,36,77.67
2007-06-08,43,78.31
2007-06-15,34,82.36
2007-06-22,26,80.04
2007-06-29,29,78.29
2007-07-06,41,79.39
2007-07-13,38,80.02
2007-07-20,40,81.8
2007-07-27,26,74.59
2007-08-03,28,77.12
2007-08-10,23,75.96
2007-08-17,33,75.29
2007-08-24,25,75.3
2007-08-31,25,75.31
2007-09-07,39,77.6
2007-09-14,40,79.58
2007-09-21,23,84.83
2007-09-28,36,83.2
2007-10-05,33,86.26
2007-10-12,40,88.09
2007-10-19,25,86.63
2007-10-26,35,93.21
2007-11-02,43,92.56
2007-11-09,40,88.63
2007-11-16,36,86.21
2007-11-23,33,85.34
2007-11-30,32,82.81
2007-12-07,26,87.97
2007-12-14,22,88.73
2007-12-21,35,91.21
2007-12-28,27,90.41
2008-01-04,30,90.3
2008-01-11,27,87.17
2008-01-18,30,81.84
2008-01-25,26,81.07
2008-02-01,18,86.77
2008-02-08,25,89.56
2008-02-15,38,93.2
2008-02-22,30,97.61
2008-02-29,39,102.72
2008-03-07,26,100.56
2008-03-14,23,103.01
2008-03-28,31,104.32
2008-04-04,26,107.34
2008-04-11,44,109.26
2008-04-18,35,118.4
2008-04-25,38,118.6
2008-05-02,37,112.09
2008-05-09,38,115.72
2008-05-16,31,121.38
2008-05-23,36,118.65
2008-05-30,40,115.94
2008-06-06,37,115.97
2008-06-13,38,116.23
2008-06-20,34,118.77
2008-06-27,38,114.88
2008-07-11,36,110.34
2008-07-18,37,98.57
2008-07-25,35,94.39
2008-08-01,35,95.11
2008-08-08,39,89.6
2008-08-15,33,93.95
2008-08-22,30,102.28
2008-08-29,28,102.05
2008-09-05,37,95.69
2008-09-12,30,95.87
2008-09-19,42,105.5
2008-09-26,42,98.76
2008-10-03,30,82.51
2008-10-10,47,60
2008-10-17,50,70.8
2008-10-24,42,69.83
2008-10-31,28,80.86
2008-11-07,37,76.11
2008-11-14,31,70.14
2008-11-21,28,68.96
2008-11-28,23,72.34
2008-12-05,37,61.26
2008-12-12,25,68.05
2008-12-19,33,66.79
2008-12-26,24,64.01
2009-01-02,27,68.49
2009-01-09,25,65.56
2009-01-16,29,58.68
2009-01-23,28,61.84
2009-01-30,36,61.6
2009-02-06,29,58.2
2009-02-13,28,52.64
2009-02-20,30,47.89
2009-02-27,39,43.67
2009-03-06,34,39.92
2009-03-13,38,45.17
2009-03-20,27,47.6
2009-03-27,31,45.89
2009-04-03,31,49.95
2009-04-17,21,52.15
2009-04-24,25,52.36
2009-05-01,30,54.14
2009-05-08,37,63.82
2009-05-15,36,58.5
2009-05-22,34,59.75
2009-05-29,29,63.24
2009-06-05,37,64.72
2009-06-12,27,65.53
2009-06-19,25,59.64
2009-06-26,32,55.41
2009-07-10,32,50.55
2009-07-17,21,55.68
2009-07-24,18,58.46
2009-07-31,26,58.09
2009-08-07,48,63.81
2009-08-14,31,62.73
2009-08-21,29,64.33
2009-08-28,31,62.57
2009-09-04,33,61.78
2009-09-11,33,65.65
2009-09-18,39,70.76
2009-09-25,35,67.17
2009-10-02,26,64.5
2009-10-09,23,68.4
2009-10-16,20,71.28
2009-10-23,32,68.22
2009-10-30,22,64.71
2009-11-06,47,68.04
2009-11-13,30,67.79
2009-11-20,35,67.5
2009-11-27,31,67.48
2009-12-04,32,66.16
2009-12-11,28,63.89
2009-12-18,26,69.56
2010-01-08,33,76.12
2010-01-15,27,73.03
2010-01-22,31,69.3
2010-01-29,31,66.91
2010-02-05,27,66.73
2010-02-12,23,67.08
2010-02-19,21,71.42
2010-02-26,26,68.86
2010-03-05,24,69.95
2010-03-12,31,70.53
2010-03-19,26,64.31
2010-03-26,34,63.2
2010-04-09,30,67.26
2010-04-16,32,65.19
2010-04-23,32,70.04
2010-04-30,26,67.33
2010-05-07,29,64.58
2010-05-14,22,66.06
2010-05-21,29,63.07
2010-05-28,51,63.85
2010-06-04,35,65.11
2010-06-11,23,68.16
2010-06-18,29,69.92
2010-06-25,29,63.65
2010-07-02,25,60.71
2010-07-09,25,63.35
2010-07-16,29,61.16
2010-07-23,23,63.94
2010-07-30,27,62.49
2010-08-06,35,64.75
2010-08-13,26,63.7
2010-08-20,31,62.14
2010-08-27,25,61.18
2010-09-03,21,63.52
2010-09-10,31,62.53
2010-09-17,27,61.97
2010-09-24,30,64.06
2010-10-01,28,65.25
2010-10-08,28,66.77
2010-10-15,30,67.66
2010-10-22,29,65.23
2010-10-29,21,65.02
2010-11-05,31,70.78
2010-11-12,25,72.48
2010-11-19,24,73.2
2010-11-26,29,70.94
2010-12-03,25,73.91
2010-12-10,24,73.29
2010-12-17,22,73.09
2010-12-31,21,78.51
2011-01-07,21,78.46
2011-01-14,27,82.79
2011-01-21,28,83.51
2011-01-28,32,85.13
2011-02-04,29,88.69
2011-02-11,24,86.44
2011-02-18,30,88.2
2011-02-25,36,90.35
2011-03-04,27,91.12
2011-03-11,24,88.05
2011-03-18,26,90.14
2011-03-25,24,93.01
2011-04-01,25,92
2011-04-08,27,91.4
2011-04-15,31,87.82
2011-04-29,22,91
2011-05-06,26,83.62
2011-05-13,26,82.02
2011-05-20,31,82.85
2011-05-27,25,83.34
2011-06-03,27,82.28
2011-06-10,22,79.53
2011-06-17,21,76.95
2011-06-24,23,76.61
2011-07-01,28,78.76
2011-07-08,26,80.32
2011-07-15,21,80.46
2011-07-22,22,84.35
2011-07-29,21,78.7
2011-08-05,25,69.9
2011-08-12,23,68
2011-08-19,19,63.55
2011-08-26,24,64.38
2011-09-02,20,64.61
2011-09-09,20,63.19
2011-09-16,20,66.11
2011-09-23,20,55.37
2011-09-30,23,55.44
2011-10-07,25,56.48
2011-10-14,26,60.71
2011-10-21,25,64.41
2011-10-28,22,68.15
2011-11-04,26,65.38
2011-11-11,27,68.47
2011-11-18,24,63.72
2011-11-25,22,58.58
2011-12-02,26,65.39
2011-12-09,21,66.56
2011-12-16,23,60.45
2011-12-23,24,62.51
2011-12-30,20,62
2012-01-06,22,64.75
2012-01-13,25,63.1
2012-01-20,32,63.29
2012-01-27,21,65.01
2012-02-03,25,63.46
2012-02-10,27,64.65
2012-02-17,31,74.95
2012-02-24,29,75.19
2012-03-02,32,73
2012-03-09,26,71.81
2012-03-16,27,73.73
2012-03-23,24,72.04
2012-03-30,30,71.12
2012-04-13,23,67.84
2012-04-20,26,65.23
2012-04-27,25,69.66
2012-05-04,26,65.03
2012-05-11,20,64.48
2012-05-18,22,61.43
2012-05-25,24,60.02
2012-06-01,26,57.99
2012-06-08,23,58.71
2012-06-15,19,57.35
2012-06-22,24,55.5
2012-06-29,32,57.99
2012-07-06,33,57.25
2012-07-13,27,55.4
2012-07-20,26,58.99
2012-07-27,23,58.88
2012-08-03,31,56.32
2012-08-10,29,59.88
2012-08-17,27,58.97
2012-08-24,24,61.04
2012-08-31,22,57.83
2012-09-07,22,59.34
2012-09-14,26,63.49
2012-09-21,28,61.13
2012-09-28,28,60.5
2012-10-05,26,60.02
2012-10-12,28,61.36
2012-10-19,25,62
2012-10-26,26,58.29
2012-11-02,21,57.8
2012-11-09,31,53.83
2012-11-16,22,52.4
2012-11-23,25,53.23
2012-11-30,24,51.67
2012-12-07,28,52.92
2012-12-14,27,51.92
