"Date","buy.ALL","Price"
2004-02-06,48,46.51
2004-02-13,57,46.73
2004-02-20,54,46.55
2004-02-27,53,45.63
2004-03-05,37,44.45
2004-03-12,46,44.65
2004-03-19,40,44.76
2004-03-26,49,44.76
2004-04-02,46,46.11
2004-04-16,49,47.2
2004-04-23,63,46.5
2004-04-30,56,45.9
2004-05-07,45,44.78
2004-05-14,51,43.7
2004-05-21,48,43.67
2004-05-28,51,43.98
2004-06-04,45,43.77
2004-06-18,43,45.7
2004-06-25,52,45.9
2004-07-02,50,46.3
2004-07-09,40,46.6
2004-07-16,46,46.2
2004-07-23,66,46.02
2004-07-30,77,47.08
2004-08-06,37,46.22
2004-08-13,56,45.93
2004-08-20,41,47.52
2004-08-27,48,47.69
2004-09-03,39,47.02
2004-09-10,50,46.92
2004-09-17,42,48.84
2004-09-24,45,48.25
2004-10-01,46,48.47
2004-10-08,41,47.9
2004-10-15,46,47.39
2004-10-22,30,46.83
2004-10-29,37,48.09
2004-11-05,39,48.34
2004-11-12,51,50.74
2004-11-19,55,50.28
2004-11-26,64,51
2004-12-03,67,51.35
2004-12-10,50,50.76
2004-12-17,56,50.05
2004-12-31,56,51.72
2005-01-07,47,51.03
2005-01-14,46,51.49
2005-01-21,48,50.22
2005-01-28,43,49.67
2005-02-04,53,52.35
2005-02-11,52,52.93
2005-02-18,34,53.1
2005-02-25,45,53.7
2005-03-04,46,53.94
2005-03-11,56,54.41
2005-03-18,53,53.02
2005-04-01,55,53.4
2005-04-08,46,54.2
2005-04-15,48,53.31
2005-04-22,55,54.57
2005-04-29,49,56.16
2005-05-06,56,57.5
2005-05-13,46,56.32
2005-05-20,50,57.1
2005-05-27,57,58.28
2005-06-03,44,58.61
2005-06-10,41,59.19
2005-06-17,52,60.19
2005-06-24,54,59.81
2005-07-01,44,59.85
2005-07-08,50,60.17
2005-07-15,42,62.26
2005-07-22,53,61.07
2005-07-29,65,61.26
2005-08-05,48,59.08
2005-08-12,49,58.08
2005-08-19,51,58.48
2005-08-26,44,58.27
2005-09-02,47,55.53
2005-09-09,46,54.26
2005-09-16,42,55.13
2005-09-23,47,54.53
2005-09-30,46,55.29
2005-10-07,45,54.1
2005-10-14,46,54.14
2005-10-21,40,53.2
2005-10-28,44,52.69
2005-11-04,58,55.15
2005-11-11,38,56.87
2005-11-18,48,57.35
2005-11-25,54,57.48
2005-12-02,51,55.84
2005-12-09,57,55.28
2005-12-16,46,54.29
2005-12-23,38,54.76
2005-12-30,44,54.07
2006-01-06,47,54.84
2006-01-13,36,54.68
2006-01-20,40,52.21
2006-01-27,50,52.03
2006-02-03,35,52.01
2006-02-10,39,52.92
2006-02-17,42,54.3
2006-02-24,44,54.9
2006-03-03,48,54.54
2006-03-10,45,54.56
2006-03-17,50,54.82
2006-03-24,46,53.23
2006-03-31,43,52.11
2006-04-07,47,51.22
2006-04-21,44,55.65
2006-04-28,40,56.49
2006-05-05,41,56.87
2006-05-12,42,56.38
2006-05-19,52,56.39
2006-05-26,45,55.01
2006-06-02,30,55.11
2006-06-09,41,54.36
2006-06-16,39,53.51
2006-06-23,42,52.91
2006-06-30,50,54.73
2006-07-07,33,55.03
2006-07-14,43,54.73
2006-07-21,42,56.65
2006-07-28,41,57.02
2006-08-04,46,55.63
2006-08-11,45,55.66
2006-08-18,44,57.92
2006-08-25,43,57
2006-09-01,48,58.37
2006-09-08,37,59.06
2006-09-15,43,60.12
2006-09-22,39,60.67
2006-09-29,49,62.73
2006-10-06,39,63.15
2006-10-13,45,62.93
2006-10-20,37,61.23
2006-10-27,38,61.74
2006-11-03,44,61.48
2006-11-10,47,63.06
2006-11-17,41,64.48
2006-11-24,51,64.91
2006-12-01,53,63.29
2006-12-08,44,63.82
2006-12-15,52,65.21
2006-12-22,52,65.37
2006-12-29,42,65.11
2007-01-05,45,65.18
2007-01-12,43,64.6
2007-01-19,44,63.73
2007-01-26,44,63.47
2007-02-02,43,61.19
2007-02-09,41,61.08
2007-02-16,44,62.18
2007-02-23,46,61.28
2007-03-02,41,59.6
2007-03-09,46,60.1
2007-03-16,37,59.7
2007-03-23,40,60.78
2007-03-30,45,60.06
2007-04-13,45,61.33
2007-04-20,40,62.49
2007-04-27,43,62.63
2007-05-04,52,62.84
2007-05-11,44,63.45
2007-05-18,47,62.75
2007-05-25,47,61.4
2007-06-01,42,61.58
2007-06-08,50,60.85
2007-06-15,48,61.38
2007-06-22,44,61.18
2007-06-29,54,61.51
2007-07-06,57,61.79
2007-07-13,53,61.05
2007-07-20,54,57.37
2007-07-27,56,53.5
2007-08-03,48,51.61
2007-08-10,54,52.09
2007-08-17,48,56.41
2007-08-24,48,56.86
2007-08-31,43,54.75
2007-09-07,50,53.9
2007-09-14,48,54.76
2007-09-21,51,55.88
2007-09-28,45,57.19
2007-10-05,43,58.84
2007-10-12,51,58.81
2007-10-19,46,54.49
2007-10-26,47,52.43
2007-11-02,43,51.25
2007-11-09,45,53.13
2007-11-16,49,52.64
2007-11-23,55,50.09
2007-11-30,60,51.12
2007-12-07,59,52.46
2007-12-14,56,51.58
2007-12-21,63,51.89
2007-12-28,64,52.19
2008-01-04,52,51.08
2008-01-11,52,51.49
2008-01-18,54,48.46
2008-01-25,48,50.45
2008-02-01,50,49.42
2008-02-08,52,46.57
2008-02-15,49,46.18
2008-02-22,48,47.64
2008-02-29,49,47.73
2008-03-07,53,47.03
2008-03-14,44,45.74
2008-03-28,45,47.57
2008-04-04,50,48.98
2008-04-11,48,48.2
2008-04-18,45,50.17
2008-04-25,52,50.01
2008-05-02,58,51.89
