"Date","F5.Networks","Price"
2004-12-17,95,47.26
2005-05-13,68,45.34
2005-09-02,65,41.86
2005-10-14,83,42.15
2005-10-21,81,40.75
2005-10-28,81,50.93
2005-11-04,81,53.63
2005-11-11,66,53.82
2005-11-18,59,55.13
2005-11-25,59,54.24
2005-12-02,59,52.3
2005-12-09,62,52.77
2005-12-16,65,53.29
2005-12-23,68,57.84
2005-12-30,70,57.19
2006-01-06,73,64.18
2006-01-13,57,58.31
2006-01-20,59,61.59
2006-01-27,62,63.49
2006-02-03,64,63.03
2006-02-10,65,61.44
2006-02-17,66,63.15
2006-04-07,54,64.48
2006-04-21,49,57.9
2006-04-28,49,58.56
2006-05-05,49,59.29
2006-05-12,49,58.3
2006-05-19,54,50.61
2006-05-26,58,47.07
2006-06-02,60,49.48
2006-06-09,59,46.99
2006-06-16,59,46.8
2006-06-23,59,50.75
2006-06-30,50,53.48
2006-07-07,50,52.37
2006-07-14,51,47.53
2006-07-21,51,44.32
2006-07-28,45,45.79
2006-08-04,45,45.41
2006-08-11,49,41.01
2006-08-18,54,49.77
2006-08-25,45,50.23
2006-09-01,45,49.96
2006-09-08,49,49.2
2006-09-15,54,51.8
2006-09-22,58,51.21
2006-09-29,50,53.72
2006-10-06,50,56.15
2006-10-13,50,58.07
2006-10-20,45,56.56
2006-10-27,45,65.71
2006-11-03,45,64.17
2006-11-10,46,66.52
2006-11-17,49,71.81
2006-11-24,48,73.11
2006-12-01,48,74.03
2006-12-08,48,75.95
2006-12-15,49,76.48
2006-12-22,38,72.95
2006-12-29,49,74.21
2007-01-05,39,75.16
2007-01-12,39,79.77
2007-01-19,39,75.61
2007-01-26,39,72.7
2007-02-02,35,70.98
2007-02-09,56,75.5
2007-02-16,35,73.59
2007-02-23,48,78.12
2007-03-02,57,69.12
2007-03-09,46,73.31
2007-03-16,49,71.08
2007-03-23,48,72.37
2007-03-30,43,66.68
2007-04-13,55,66.86
2007-04-20,41,68.83
2007-04-27,74,78.59
2007-05-04,48,78.07
2007-05-11,44,77.32
2007-05-18,52,75.36
2007-05-25,55,76.72
2007-06-01,47,81.54
2007-06-08,36,78.93
2007-06-15,49,85.21
2007-06-22,58,82.77
2007-06-29,49,80.6
2007-07-06,36,82.88
2007-07-13,55,87.37
2007-07-20,59,89.08
2007-07-27,63,91.2
2007-08-03,68,83.68
2007-08-10,47,70.05
2007-08-17,46,71.98
2007-08-24,65,37.48
2007-08-31,42,34.97
2007-09-07,51,37.71
2007-09-14,52,40.06
2007-09-21,52,39.37
2007-09-28,51,37.19
2007-10-05,43,43.09
2007-10-12,48,41.57
2007-10-19,53,42.63
2007-10-26,48,34.27
2007-11-02,26,36.83
2007-11-09,43,32.88
2007-11-16,67,29.69
2007-11-23,38,26.97
2007-11-30,46,26.42
2007-12-07,54,28.03
2007-12-14,41,29.23
2007-12-21,28,29.16
2007-12-28,32,29.12
2008-01-04,36,24.51
2008-01-11,39,21.4
2008-01-18,56,20.43
2008-01-25,46,23.15
2008-02-01,41,25.02
2008-02-08,51,21.81
2008-02-15,35,22.51
2008-02-22,34,22.28
2008-02-29,50,22.16
2008-03-07,32,19.39
2008-03-14,34,19.87
2008-03-28,36,19.1
2008-04-04,26,18.14
2008-04-11,39,19.55
2008-04-18,39,21.27
2008-04-25,38,23.74
2008-05-02,28,24.4
2008-05-09,34,27
2008-05-16,27,28.96
2008-05-23,35,26.95
2008-05-30,35,30.05
2008-06-06,32,30.56
2008-06-13,27,29.65
2008-06-20,28,30.66
2008-06-27,42,28.93
2008-07-11,44,33.44
2008-07-18,30,32.45
2008-07-25,24,31.7
2008-08-01,42,29.16
2008-08-08,34,33.36
2008-08-15,37,35.2
2008-08-22,21,33.83
2008-08-29,32,34.11
2008-09-05,27,31.19
2008-09-12,44,32.18
2008-09-19,41,27.35
2008-09-26,32,23.84
2008-10-03,33,21
2008-10-10,38,20.5
2008-10-17,27,19.8
2008-10-24,40,22.07
2008-10-31,36,24.82
2008-11-07,41,23.78
2008-11-14,29,22.5
2008-11-21,39,22.32
2008-11-28,33,24.9
2008-12-05,39,23.38
2008-12-12,30,22.8
2008-12-19,30,21.75
2008-12-26,31,22.25
2009-01-02,31,23.22
2009-01-09,32,24.07
2009-01-16,19,22.55
2009-01-23,32,23.25
2009-01-30,32,22.17
2009-02-06,27,23.66
2009-02-13,18,22.18
2009-02-20,36,19.95
2009-02-27,24,20
2009-03-06,46,18.75
2009-03-13,40,20.02
2009-03-20,28,20.61
2009-03-27,40,22.24
2009-04-03,53,23.1
2009-04-17,30,26.7
2009-04-24,38,26.7
2009-05-01,30,27.83
2009-05-08,38,27.98
2009-05-15,36,26.35
2009-05-22,34,30.05
2009-05-29,27,31.76
2009-06-05,26,33.94
2009-06-12,42,35.12
2009-06-19,36,34.17
2009-06-26,31,35.71
2009-07-10,44,33.52
2009-07-17,33,35.72
2009-07-24,42,37.49
2009-07-31,39,37.12
2009-08-07,51,36.79
2009-08-14,34,35.86
2009-08-21,56,35.02
2009-08-28,29,35.13
2009-09-04,54,37.3
2009-09-11,48,38.97
2009-09-18,41,38.89
2009-09-25,40,38.5
2009-10-02,44,38.58
2009-10-09,57,41.29
2009-10-16,26,42.63
2009-10-23,41,48.22
2009-10-30,47,44.89
2009-11-06,49,47.12
2009-11-13,46,49.26
2009-11-20,34,46.91
2009-11-27,44,47.73
2009-12-04,28,50.64
2009-12-11,40,50.05
2009-12-18,40,49.95
2010-01-08,50,52.96
2010-01-15,33,51.39
2010-01-22,55,52.28
2010-01-29,41,49.43
2010-02-05,35,48.43
