"Date","MSFT","Price"
2004-02-06,17,27.08
2004-02-13,20,26.59
2004-02-20,14,26.57
2004-02-27,11,26.53
2004-03-05,18,26.35
2004-03-12,18,25.38
2004-03-19,18,24.63
2004-03-26,19,25.03
2004-04-02,17,25.85
2004-04-16,12,25.16
2004-04-23,13,27.54
2004-04-30,14,26.13
2004-05-07,17,25.78
2004-05-14,18,25.86
2004-05-21,13,25.89
2004-05-28,16,26.23
2004-06-04,16,25.95
2004-06-18,16,28.35
2004-06-25,20,28.57
2004-07-02,25,28.57
2004-07-09,18,27.86
2004-07-16,17,27.48
2004-07-23,52,28.03
2004-07-30,21,28.49
2004-08-06,19,27.14
2004-08-13,18,27.02
2004-08-20,18,27.2
2004-08-27,18,27.46
2004-09-03,16,27.11
2004-09-10,18,27.49
2004-09-17,20,27.51
2004-09-24,16,27.29
2004-10-01,19,28.25
2004-10-08,15,27.99
2004-10-15,11,27.99
2004-10-22,21,27.74
2004-10-29,17,27.97
2004-11-05,17,29.31
2004-11-12,30,29.97
2004-11-19,34,26.86
2004-11-26,17,26.6
2004-12-03,25,27.23
2004-12-10,16,27.08
2004-12-17,19,26.96
2004-12-31,15,26.72
2005-01-07,15,26.67
2005-01-14,18,26.12
2005-01-21,15,25.65
2005-01-28,17,26.18
2005-02-04,16,26.32
2005-02-11,15,25.97
2005-02-18,12,25.48
2005-02-25,11,25.25
2005-03-04,19,25.17
2005-03-11,16,25.09
2005-03-18,18,24.31
2005-04-01,17,24.12
2005-04-08,60,24.94
2005-04-15,27,24.46
2005-04-22,22,24.98
2005-04-29,37,25.3
2005-05-06,29,25.22
2005-05-13,29,25.3
2005-05-20,27,25.74
2005-05-27,41,26.07
2005-06-03,30,25.43
2005-06-10,29,25.43
2005-06-17,25,25.04
2005-06-24,39,25.04
2005-07-01,36,24.71
2005-07-08,28,25.09
2005-07-15,36,25.79
2005-07-22,50,25.68
2005-07-29,46,25.61
2005-08-05,51,27.76
2005-08-12,55,27.05
2005-08-19,41,26.72
2005-08-26,34,26.97
2005-09-02,43,27.02
2005-09-09,34,26.58
2005-09-16,34,26.07
2005-09-23,42,25.27
2005-09-30,37,25.73
2005-10-07,45,24.59
2005-10-14,40,24.67
2005-10-21,38,24.78
2005-10-28,56,25.53
2005-11-04,54,26.66
2005-11-11,53,27.28
2005-11-18,60,28.07
2005-11-25,68,27.76
2005-12-02,60,28.01
2005-12-09,49,27.71
2005-12-16,48,26.9
2005-12-23,43,26.64
2005-12-30,37,26.15
2006-01-06,48,26.91
2006-01-13,45,27.19
2006-01-20,43,26.41
2006-01-27,57,27.79
2006-02-03,57,27.54
2006-02-10,47,26.69
2006-02-17,43,26.7
