"Date","buy.PEG","Price"
2008-01-18,91,94.44
2008-01-25,94,90.87
2008-02-01,97,95.85
2008-02-08,100,45.65
2008-02-15,91,46.84
2008-02-22,89,45.97
2008-02-29,88,44.1
2008-03-07,88,44.94
2008-03-14,88,44.15
2008-03-28,88,39.61
2008-04-04,79,42
2008-04-11,79,42.15
2008-04-18,79,44.18
2008-07-25,73,41.32
2008-09-12,84,37.52
2008-10-24,61,27.64
2008-10-31,59,28.15
2008-11-07,59,27.52
2008-11-14,59,28.6
2008-11-21,59,29.64
2009-01-09,58,30.56
2009-01-16,85,30.97
2009-03-13,70,24.85
2009-03-20,74,27.62
2009-03-27,79,29
2009-04-03,59,31.02
2009-04-17,82,29.54
2009-04-24,53,28.09
2009-05-01,56,31.15
2009-05-08,59,31.99
2009-05-15,63,31.69
2009-05-22,52,31.62
2009-05-29,57,31.87
2009-06-05,62,32.39
2009-06-12,67,32.54
2009-06-19,67,31.94
2009-06-26,68,32.23
2009-07-10,69,30.99
2009-07-17,58,32.11
2009-07-24,69,33.86
2009-07-31,59,32.45
2009-08-07,59,31.67
2009-08-14,59,32.12
2009-08-21,63,32.87
2009-08-28,86,32.12
2009-09-04,64,30.54
2009-09-11,65,30.88
2009-09-18,65,31.99
2009-09-25,66,31.29
2009-10-02,66,30.35
2009-10-09,61,31.35
2009-10-16,61,31.14
2009-10-23,53,30.31
2009-10-30,53,29.8
2009-11-06,53,30.58
2009-11-13,53,31.37
2009-11-20,46,31.05
2009-11-27,46,30.9
2009-12-04,44,32.19
2009-12-11,58,33.43
2009-12-18,45,33.41
2010-01-08,68,32.88
2010-01-15,76,32.62
2010-01-22,71,31.24
2010-01-29,90,30.59
2010-02-05,54,29.52
2010-02-12,66,30.17
2010-02-19,50,31.18
2010-02-26,64,29.72
2010-03-05,53,31.2
2010-03-12,73,30.57
2010-03-19,49,30.92
2010-03-26,61,29.11
2010-04-09,47,30.69
2010-04-16,65,30.25
2010-04-23,85,31.55
2010-04-30,62,32.13
2010-05-07,62,30.7
2010-05-14,50,31.81
2010-05-21,50,30.26
2010-05-28,67,30.63
2010-06-04,59,30.67
2010-06-11,62,32.11
2010-06-18,64,33.62
2010-06-25,84,32.4
2010-07-02,52,31.38
2010-07-09,52,33.34
2010-07-16,48,32.97
2010-07-23,68,33.77
2010-07-30,39,32.9
2010-08-06,64,32.74
2010-08-13,56,31.71
2010-08-20,56,31.73
2010-08-27,38,32.07
2010-09-03,67,32.93
2010-09-10,56,31.92
2010-09-17,58,31.86
2010-09-24,98,32.87
2010-10-01,39,33.08
2010-10-08,50,33.51
2010-10-15,71,33.25
2010-10-22,62,33.25
2010-10-29,34,32.34
2010-11-05,65,33.02
2010-11-12,61,31.66
2010-11-19,41,30.76
2010-11-26,54,30.63
2010-12-03,49,31.74
2010-12-10,54,31.12
2010-12-17,47,31.64
2010-12-31,37,31.81
2011-01-07,37,31.59
2011-01-14,57,31.62
2011-01-21,44,32.46
2011-01-28,60,32.43
2011-02-04,48,32.22
2011-02-11,96,32.87
2011-02-18,43,31.74
2011-02-25,61,32.42
2011-03-04,61,31.61
2011-03-11,34,32.38
2011-03-18,52,30.43
2011-03-25,54,31.09
2011-04-01,74,31.5
2011-04-08,34,31.22
2011-04-15,52,31.2
2011-04-29,57,32.17
2011-05-06,61,32.3
2011-05-13,67,33.45
2011-05-20,55,34.11
2011-05-27,92,33.34
2011-06-03,47,32.48
2011-06-10,63,31.75
2011-06-17,36,31.56
2011-06-24,55,31.08
2011-07-01,61,32.93
2011-07-08,46,32.54
2011-07-15,46,31.84
2011-07-22,58,32.81
2011-07-29,73,32.75
2011-08-05,36,30.33
2011-08-12,60,31.07
2011-08-19,42,31.62
2011-08-26,52,33
2011-09-02,49,33.08
2011-09-09,41,32.28
2011-09-16,39,34.47
2011-09-23,47,33.61
2011-09-30,38,33.37
2011-10-07,49,32.32
2011-10-14,29,33.06
2011-10-21,60,34.17
2011-10-28,30,33.99
2011-11-04,37,33.88
2011-11-11,59,34.03
2011-11-18,45,32.69
2011-11-25,58,31.21
2011-12-02,34,32.31
2011-12-09,59,31.71
2011-12-16,70,31.29
2011-12-23,38,32.54
2011-12-30,49,33.01
2012-01-06,62,31.87
2012-01-13,64,30.9
2012-01-20,39,30.2
2012-01-27,54,30.33
2012-02-03,36,30.27
2012-02-10,58,30.51
2012-02-17,60,31.33
2012-02-24,48,30.43
2012-03-02,32,31.03
2012-03-09,34,30.29
2012-03-16,36,30.12
2012-03-23,55,29.67
2012-03-30,58,30.61
2012-04-13,45,29.69
2012-04-20,33,30.41
2012-04-27,67,31.19
2012-05-04,32,31.64
2012-05-11,40,32.02
2012-05-18,59,31.68
2012-05-25,34,30.47
2012-06-01,24,31.2
2012-06-08,45,31.93
2012-06-15,51,32.33
2012-06-22,52,31.65
2012-06-29,50,32.5
2012-07-06,58,32.19
2012-07-13,57,32.71
2012-07-20,64,32.84
2012-07-27,65,33.75
2012-08-03,51,32.64
2012-08-10,53,32.8
2012-08-17,61,32.67
2012-08-24,66,32.13
2012-08-31,60,31.66
2012-09-07,54,31.66
2012-09-14,59,31.86
2012-09-21,43,31.7
2012-09-28,61,32.18
2012-10-05,65,32.33
2012-10-12,50,32.49
2012-10-19,49,32.71
2012-10-26,63,31.74
2012-11-02,62,31.08
2012-11-09,47,29.9
2012-11-16,40,29.45
2012-11-23,62,29.24
2012-11-30,56,30.09
2012-12-07,46,30.06
2012-12-14,40,30.06
2012-12-21,45,30.74
