"Date","Cintas.Corporation","Price"
2007-03-09,100,40.02
2007-08-10,90,37.61
2007-08-17,91,35.37
2007-08-24,92,35.74
2007-08-31,93,36.65
2007-09-07,94,35.65
2007-09-14,95,36.37
2007-09-21,93,37.15
2007-09-28,93,37.1
2007-10-05,78,37.35
2007-10-12,85,37.06
2007-10-19,76,36.18
2007-10-26,76,36.53
2007-11-02,76,35.63
2007-11-09,80,33.51
2007-11-16,60,32.98
2007-11-23,74,32.71
2007-11-30,87,31.99
2008-01-11,70,31.5
2008-01-18,72,31.63
2008-01-25,74,30.95
2008-02-01,92,33.35
2008-02-08,69,30.43
2008-02-15,79,29.78
2008-02-22,90,29.8
2008-02-29,100,28.78
2008-03-07,59,28.25
2008-03-14,59,28.1
2008-05-02,72,31.01
2008-09-12,53,32.84
2008-09-19,74,30.09
2008-09-26,89,29.06
2008-10-03,51,27.15
2008-10-10,51,21.73
2008-12-05,48,24.87
2009-02-27,49,20.29
2009-03-06,44,18.46
2009-03-13,43,20.95
2009-03-20,44,22.94
2009-03-27,44,25.07
2009-04-03,44,25.59
2009-04-17,45,26.52
2009-06-19,66,22.43
2009-06-26,43,22.92
2009-07-10,43,21.61
2009-07-17,43,22.61
2009-07-24,50,24.45
2009-07-31,56,25.18
2009-08-07,57,26.8
2009-08-14,65,26.88
2009-08-21,45,27.7
2009-08-28,45,27.81
2009-09-04,46,27.72
2009-09-11,48,28.38
2009-09-18,71,29.77
2009-09-25,49,30.06
2009-10-02,49,29.05
2009-10-09,42,29.53
2009-10-16,76,29.25
2009-10-23,56,28.11
2009-10-30,52,27.69
2009-11-06,52,28.77
2009-11-13,58,28.82
2009-11-20,65,27.96
2009-11-27,68,28.33
2009-12-04,72,29.41
2009-12-11,54,29.33
2009-12-18,59,29.54
2010-01-08,64,26.91
2010-01-15,72,26.24
2010-01-22,47,25.25
2010-01-29,60,25.11
2010-02-05,40,24.83
2010-02-12,54,24.6
2010-02-19,34,24.49
2010-02-26,36,24.79
2010-03-05,36,25.53
2010-03-12,49,26.67
2010-03-19,36,28.13
2010-03-26,36,27.92
2010-04-09,42,27.74
2010-04-16,56,27.91
2010-04-23,43,28.73
2010-04-30,37,27.26
2010-05-07,64,25.54
2010-05-14,41,26.47
2010-05-21,41,25.93
2010-05-28,48,26
2010-06-04,34,25.01
2010-06-11,34,25.3
2010-06-18,36,26.1
2010-06-25,38,24.92
2010-07-02,41,23.66
2010-07-09,43,24.98
2010-07-16,45,25.2
2010-07-23,36,26.01
2010-07-30,36,26.46
2010-08-06,36,26.85
2010-08-13,36,25.84
2010-08-20,37,26.19
2010-08-27,37,25.61
2010-09-03,30,27.16
2010-09-10,30,27.44
2010-09-17,29,27.71
2010-09-24,29,27.72
2010-10-01,29,27.48
2010-10-08,34,27.55
2010-10-15,40,27.36
2010-10-22,34,28.08
2010-10-29,31,27.47
2010-11-05,31,28.2
2010-11-12,28,27.22
2010-11-19,30,27.64
2010-11-26,30,27.19
2010-12-03,27,28.49
2010-12-10,27,28.28
2010-12-17,27,29.19
2010-12-31,37,27.96
2011-01-07,33,27.92
2011-01-14,33,29
2011-01-21,33,28.89
2011-01-28,28,27.9
2011-02-04,34,28.9
2011-02-11,35,29.29
2011-02-18,25,29.19
2011-02-25,27,28.1
2011-03-04,32,28
2011-03-11,37,27.91
2011-03-18,27,27.8
2011-03-25,27,29.55
2011-04-01,25,30.47
2011-04-08,27,30.19
2011-04-15,30,30.34
2011-04-29,26,31.05
2011-05-06,29,30.7
2011-05-13,32,32.11
2011-05-20,35,32.06
2011-05-27,27,32.41
2011-06-03,24,31.58
2011-06-10,24,31.31
2011-06-17,27,32.03
2011-06-24,25,31.75
2011-07-01,25,33.97
2011-07-08,25,33.56
2011-07-15,29,31.06
2011-07-22,32,34.37
2011-07-29,40,32.55
2011-09-09,25,30.16
2011-09-16,38,31.49
2011-09-23,25,28.39
2011-09-30,25,28.14
2011-10-07,28,28.2
2011-10-14,32,29.56
2011-10-21,31,29.45
2011-10-28,24,30.33
2011-11-04,22,29.63
2011-11-11,21,29.37
2011-11-18,21,29.69
2011-11-25,21,27.63
2011-12-02,21,30.35
2012-01-13,24,37.37
2012-01-20,26,37.93
2012-01-27,22,37.47
2012-02-03,30,37.9
2012-02-10,21,37.68
2012-02-17,21,38.6
2012-02-24,23,38.8
2012-03-02,22,38.31
2012-03-09,26,39.3
2012-03-16,31,40.21
2012-03-23,22,39.38
2012-03-30,22,39.12
2012-04-13,23,38.48
2012-04-20,25,39.25
2012-04-27,25,39.42
2012-05-04,28,39.19
2012-05-11,30,38.71
2012-05-18,25,36.5
2012-05-25,25,37.31
2012-06-01,25,35.76
2012-06-08,25,36.38
2012-06-15,25,37.23
2012-06-22,31,36.8
2012-06-29,36,38.61
2012-07-06,23,39.06
2012-07-13,23,39.87
2012-07-20,23,37.66
2012-07-27,20,39.29
2012-08-03,20,40.65
2012-08-10,21,40.93
2012-08-17,22,41.41
2012-08-24,32,40.86
2012-08-31,23,40.42
2012-09-07,21,41.41
2012-09-14,29,41.72
2012-09-21,24,40.65
2012-09-28,27,41.43
2012-10-05,18,42.2
2012-10-12,25,41.86
2012-10-19,21,41.88
2012-10-26,21,41.47
2012-11-02,21,41.8
2012-11-09,21,40.65
2012-11-16,23,39.67
2012-11-23,25,40.86
2012-11-30,27,41.44
2012-12-07,22,42
2012-12-14,17,41.58
2012-12-21,17,41.64
2012-12-28,22,40.34
2013-01-04,27,42.59
2013-01-11,26,42.58
2013-01-18,22,42.41
2013-01-25,19,42.51
2013-02-01,24,42.45
2013-02-08,29,42.87
2013-02-15,31,44.66
2013-02-22,26,44.23
2013-03-01,19,43.8
2013-03-08,20,44.35
2013-03-15,20,44.72
2013-03-22,28,43.39
2013-04-05,27,43.86
2013-04-12,22,45.88
2013-04-19,22,44.8
2013-04-26,22,44.64
2013-05-03,24,45.25
2013-05-10,28,45.11
2013-05-17,26,45.89
2013-05-24,15,44.98
2013-05-31,17,45.65
2013-06-07,18,45.8
2013-06-14,20,45.57
2013-06-21,20,45.13
2013-06-28,20,45.54
2013-07-05,24,46.45
2013-07-12,27,48
2013-07-19,21,47.57
2013-07-26,24,47.29
2013-08-02,27,48.02
2013-08-09,30,49.08
2013-08-16,24,48.75
2013-08-23,23,48.72
2013-08-30,17,47.76
2013-09-06,20,48.61
2013-09-13,19,49.7
2013-09-20,26,51.26
2013-09-27,15,51.22
2013-10-04,26,50.55
2013-10-11,16,51.75
2013-10-18,18,53.15
2013-10-25,33,53.91
2013-11-01,26,53.99
2013-11-08,23,53.46
2013-11-15,27,54.38
2013-11-22,20,55.21
2013-11-29,14,55.5
2013-12-06,16,54.83
2013-12-13,17,55.41
2013-12-20,18,59.3
2013-12-27,17,59.5
2014-01-03,17,59.35
2014-01-10,17,59.27
2014-01-17,22,59.13
2014-01-24,16,57.16
2014-01-31,26,57.07
2014-02-07,18,58.13
2014-02-14,27,59.18
2014-02-21,30,61.66
2014-02-28,15,60.66
2014-03-07,22,61.37
2014-03-14,22,59.39
2014-03-21,22,59.71
2014-03-28,15,58.99
2014-04-04,17,58.24
2014-04-11,34,56.48
2014-04-25,21,57.55
