"Date","sell.TE","Price"
2010-01-29,62,15.57
2010-02-05,70,14.93
2010-02-12,77,14.9
2010-02-19,85,15.64
2010-02-26,92,15.33
2010-03-05,100,15.79
2010-03-12,78,15.86
2010-03-19,78,15.9
2010-03-26,78,15.75
2010-04-09,78,16.21
2010-09-24,61,17.48
2011-01-07,67,18.09
2011-02-18,47,17.8
2011-02-25,48,17.92
2011-03-04,50,18.07
2011-03-11,51,18.14
2011-03-18,47,17.74
2011-03-25,47,18.25
2011-04-01,47,18.86
2011-04-08,47,18.97
2011-04-15,48,18.86
2011-04-29,52,19.27
2011-05-06,54,19.27
2011-05-13,56,19.15
2011-05-20,46,19.11
2011-05-27,56,19.06
2011-06-03,57,18.56
2011-06-10,51,18.44
2011-06-17,51,18.61
2011-06-24,51,18.5
2011-07-01,51,19.16
2011-08-19,46,17.15
2011-08-26,42,17.75
2011-09-02,42,17.71
2011-09-09,42,17.51
2011-09-16,42,18.49
2011-10-28,41,18.81
2011-11-04,49,19.01
2011-11-11,41,18.82
2011-11-18,41,18.28
2011-11-25,42,17.51
2011-12-02,42,18.42
2011-12-09,43,18.46
2011-12-16,43,18.33
2011-12-23,50,19.09
2011-12-30,52,19.14
2012-01-06,40,18.94
2012-01-13,41,18.6
2012-01-20,43,18.3
2012-01-27,45,18.36
2012-02-03,46,18.28
2012-02-10,48,17.65
2012-02-17,63,18.1
2012-02-24,36,18.11
2012-03-02,36,17.94
2012-03-09,36,17.78
2012-03-16,36,17.75
2012-03-23,37,17.53
2012-03-30,37,17.55
2012-04-13,49,17.18
2012-04-20,50,17.85
2012-04-27,51,17.94
2012-05-04,40,17.85
2012-05-11,40,17.81
2012-05-18,39,17.23
2012-05-25,39,17.35
2012-06-01,39,17.2
2012-06-08,39,17.74
2012-06-15,39,18.13
2012-06-22,43,17.83
2012-06-29,37,18.06
2012-07-06,37,18.17
2012-07-13,37,18.29
2012-07-20,37,18.24
2012-07-27,37,18.22
2012-08-03,48,17.98
2012-08-10,55,17.94
2012-08-17,41,17.88
2012-08-24,49,17.61
2012-08-31,57,17.36
2012-09-07,43,17.54
2012-09-14,38,17.46
2012-09-21,49,17.51
2012-09-28,57,17.74
2012-10-05,65,17.55
2012-10-12,47,17.52
2012-10-19,49,17.89
2012-10-26,33,17.61
2012-11-02,44,17.82
2012-11-09,55,16.92
2012-11-16,36,16.51
2012-11-23,46,16.21
2012-11-30,51,16.81
2012-12-07,41,16.84
2012-12-14,41,16.6
2012-12-21,46,17.03
2012-12-28,44,16.56
2013-01-04,44,17.18
2013-01-11,33,17.14
2013-01-18,60,17.02
2013-01-25,33,17.19
2013-02-01,36,17.77
2013-02-08,39,17.05
2013-02-15,36,16.9
2013-02-22,61,17.12
2013-03-01,44,17.35
2013-03-08,38,17.32
2013-03-15,58,17.44
2013-03-22,32,17.35
2013-04-05,56,18.16
2013-04-12,35,18.45
2013-04-19,35,18.47
2013-04-26,38,18.83
2013-05-03,41,18.94
2013-05-10,43,18.63
2013-05-17,46,18.98
2013-05-24,29,18.29
2013-05-31,33,17.61
2013-06-07,38,17.5
2013-06-14,35,17.33
2013-06-21,35,16.76
2013-06-28,35,17.19
2013-07-05,39,16.71
2013-07-12,31,17.56
2013-07-19,31,17.83
2013-07-26,33,17.66
2013-08-02,41,17.78
2013-08-09,36,17.91
2013-08-16,57,16.71
2013-08-23,35,16.8
2013-08-30,46,16.53
2013-09-06,39,16.59
2013-09-13,47,16.35
2013-09-20,28,16.71
2013-09-27,48,16.51
2013-10-04,50,16.5
2013-10-11,52,16.99
2013-10-18,50,17.17
2013-10-25,46,17.61
2013-11-01,52,17.34
2013-11-08,43,17.07
2013-11-15,29,17.42
2013-11-22,29,17.16
2013-11-29,38,17.04
2013-12-06,39,17.34
2013-12-13,41,16.81
2013-12-20,36,17.04
2013-12-27,37,17.14
2014-01-03,38,16.96
2014-01-10,39,17.14
2014-01-17,41,16.91
2014-01-24,44,16.69
2014-01-31,31,16.38
2014-02-07,37,16.31
2014-02-14,43,16.65
2014-02-21,45,16.7
2014-02-28,38,16.78
2014-03-07,41,16.34
2014-03-14,33,16.93
2014-03-21,39,16.69
2014-03-28,45,16.97
2014-04-04,38,17.14
2014-04-11,66,17.22
2014-04-25,31,18.38
