"Date","Coca.Cola.Enterprises","Price"
2005-07-08,100,22.08
2005-07-15,98,22
2005-07-22,98,22.74
2005-07-29,98,23.5
2005-10-28,80,18.91
2006-02-17,73,19.6
2006-04-28,63,19.53
2006-06-09,76,19.36
2007-01-12,50,21.02
2007-01-19,54,20.78
2007-01-26,57,20.71
2007-02-02,60,20.61
2007-02-09,63,20.3
2007-02-16,66,20.71
2007-02-23,42,20.43
2007-03-02,42,20.06
2007-03-09,42,20.25
2007-03-16,43,20.23
2007-03-23,47,20.43
2007-03-30,51,20.25
2007-04-13,60,20.77
2007-04-20,50,21.51
2007-04-27,50,21.98
2007-05-04,38,22.36
2007-05-11,38,21.92
2007-05-18,38,22.92
2007-05-25,44,22.97
2007-06-01,49,23.25
2007-06-08,54,22.72
2007-06-15,39,23.05
2007-06-22,39,23.13
2007-06-29,39,24
2007-07-06,39,24.01
2007-07-13,39,24.35
2007-07-20,39,23.55
2007-07-27,50,22.75
2007-08-03,42,22.65
2007-08-10,40,23.68
2007-08-17,40,24.01
2007-08-24,40,24.25
2007-08-31,38,23.82
2007-09-07,38,24.03
2007-09-14,38,24.2
2007-09-21,34,24.25
2007-09-28,34,24.22
2007-10-05,34,24.23
2007-10-12,35,24.29
2007-10-19,36,23.97
2007-10-26,35,25.3
2007-11-02,46,25.78
2007-11-09,50,25.14
2007-11-16,40,25.41
2007-11-23,44,24.81
2007-11-30,48,25.97
2007-12-07,41,25.43
2007-12-14,43,26.5
2007-12-21,33,26.39
2007-12-28,33,26.32
2008-01-04,33,25.71
2008-01-11,33,26.65
2008-01-18,38,24.41
2008-01-25,35,23.6
2008-02-01,52,23.75
2008-02-08,52,23.28
2008-02-15,52,24.47
2008-02-22,33,24.21
2008-02-29,33,24.43
2008-03-07,33,24.17
2008-03-14,33,23.87
2008-03-28,48,24.15
2008-04-04,44,24.34
2008-04-11,44,23.31
2008-04-18,44,23.92
2008-04-25,33,22.79
2008-05-02,31,22.65
2008-05-09,31,21.49
2008-05-16,35,21.59
2008-05-23,30,21.15
2008-05-30,30,20.14
2008-06-06,32,19.49
2008-06-13,31,19.33
2008-06-20,31,18.35
2008-06-27,31,17.12
2008-07-11,34,16.36
2008-07-18,48,16.67
2008-07-25,31,16.9
2008-08-01,31,16.99
2008-08-08,31,17.61
2008-08-15,32,17.79
2008-08-22,30,17.25
2008-08-29,32,17.07
2008-09-05,32,16.95
2008-09-12,32,18.08
2008-09-19,36,17.71
2008-09-26,39,17.34
2008-10-03,42,15.91
2008-10-10,36,10
2008-10-17,36,11.18
2008-10-24,33,8.88
2008-10-31,27,10.05
2008-11-07,31,9.89
2008-11-14,25,9.17
2008-11-21,30,8.13
2008-11-28,31,9.18
2008-12-05,32,10.18
2008-12-12,36,10.43
2008-12-19,40,11.78
2008-12-26,31,11.85
2009-01-02,31,12.36
2009-01-09,31,12.2
2009-01-16,31,11.66
2009-01-23,33,11.58
2009-01-30,35,11.23
2009-02-06,32,12.62
2009-02-13,32,13.4
2009-02-20,32,12.3
2009-02-27,36,11.48
2009-03-06,25,10
2009-03-13,41,11.25
2009-03-20,27,11.83
2009-03-27,28,13.23
2009-04-03,25,14.09
2009-04-17,36,14.89
2009-04-24,25,15.42
2009-05-01,31,17
2009-05-08,23,17.4
2009-05-15,28,16.73
2009-05-22,34,16.65
2009-05-29,30,16.66
2009-06-05,26,17.43
2009-06-12,22,17.18
2009-06-19,29,17.53
2009-06-26,31,16.8
2009-07-10,22,16.49
2009-07-17,27,17.35
2009-07-24,25,18.12
2009-07-31,25,18.79
2009-08-07,25,19.42
2009-08-14,20,19.7
2009-08-21,38,20.41
2009-08-28,23,20.65
2009-09-04,26,20.32
2009-09-11,24,20.45
2009-09-18,20,21.15
2009-09-25,25,20.9
2009-10-02,29,20.58
2009-10-09,31,20.94
2009-10-16,27,20.94
2009-10-23,23,19.98
2009-10-30,30,19.07
2009-11-06,26,19.72
