"Date","HAR","Price"
2004-02-06,31,72.35
2004-02-13,29,73.5
2004-02-20,34,75.5
2004-02-27,30,77.99
2004-03-05,31,80.14
2004-03-12,28,77.8
2004-03-19,35,77.05
2004-03-26,30,75.5
2004-04-02,31,80.64
2004-04-16,31,83.11
2004-04-23,32,85.69
2004-04-30,34,75.85
2004-05-07,33,74.87
2004-05-14,35,73.02
2004-05-21,28,74.4
2004-05-28,32,80.14
2004-06-04,32,80.1
2004-06-18,22,89.1
2004-06-25,29,90.96
2004-07-02,24,90.18
2004-07-09,24,88.55
2004-07-16,27,85.18
2004-07-23,25,85.93
2004-07-30,25,85.73
2004-08-06,26,79.87
2004-08-13,32,77.97
2004-08-20,32,93.89
2004-08-27,37,95.1
2004-09-03,35,98.62
2004-09-10,35,101.45
2004-09-17,36,102.1
2004-09-24,34,105.79
2004-10-01,36,107.96
2004-10-08,34,104.55
2004-10-15,37,103.78
2004-10-22,35,105.76
2004-10-29,37,120.18
2004-11-05,34,126.53
2004-11-12,34,130.72
2004-11-19,36,124.9
2004-11-26,34,125.61
2004-12-03,37,127.3
2004-12-10,36,120
2004-12-17,35,125.61
2004-12-31,30,127
2005-01-07,30,116.9
2005-01-14,30,127.46
2005-01-21,33,122.8
2005-01-28,35,120.95
2005-02-04,31,119.05
2005-02-11,37,112.5
2005-02-18,35,111.6
2005-02-25,31,113.81
2005-03-04,35,111.06
2005-03-11,31,95.37
2005-03-18,33,92.74
2005-04-01,32,88.46
2005-04-08,36,89.37
2005-04-15,36,84.19
2005-04-22,35,79.91
2005-04-29,33,78.58
2005-05-06,35,76.7
2005-05-13,37,70.25
2005-05-20,33,80
2005-05-27,37,85.15
2005-06-03,36,83.45
2005-06-10,31,89.37
2005-06-17,32,86.25
2005-06-24,27,81.4
2005-07-01,33,82.2
2005-07-08,27,81.89
2005-07-15,29,83.73
2005-07-22,26,81.66
2005-07-29,28,85.95
2005-08-05,28,82.1
2005-08-12,30,82.66
2005-08-19,31,106.23
2005-08-26,28,104.2
2005-09-02,33,100.75
2005-09-09,31,102.74
2005-09-16,34,99.9
2005-09-23,35,98.86
2005-09-30,35,102.27
2005-10-07,34,104.31
2005-10-14,36,98.92
2005-10-21,33,102.04
2005-10-28,36,98.85
2005-11-04,35,100.83
2005-11-11,37,102.54
2005-11-18,37,99.2
2005-11-25,38,99.54
2005-12-02,35,97.79
2005-12-09,38,98.04
2005-12-16,37,95.94
2005-12-23,34,97.24
2005-12-30,33,97.85
2006-01-06,33,97.5
2006-01-13,35,98.7
2006-01-20,35,100.7
2006-01-27,38,111.46
2006-02-03,37,105.69
2006-02-10,34,101.43
2006-02-17,34,105.5
2006-02-24,33,108.41
2006-03-03,33,108.98
2006-03-10,36,110.11
2006-03-17,36,114.22
2006-03-24,37,106.1
2006-03-31,39,111.13
2006-04-07,40,105.77
2006-04-21,35,105
2006-04-28,38,87.99
2006-05-05,38,85.89
2006-05-12,37,84.67
2006-05-19,39,82.35
2006-05-26,38,84.94
2006-06-02,41,83.98
2006-06-09,33,81.26
2006-06-16,32,83.46
2006-06-23,29,81.46
2006-06-30,31,85.37
2006-07-07,27,82.22
2006-07-14,28,81.79
2006-07-21,27,80.24
2006-07-28,28,80.03
2006-08-04,31,79.72
2006-08-11,29,77.88
2006-08-18,33,85.84
2006-08-25,32,80.07
2006-09-01,35,81.14
2006-09-08,37,79.8
2006-09-15,36,82.44
2006-09-22,38,80.7
2006-09-29,37,83.44
2006-10-06,38,86.32
2006-10-13,38,91
2006-10-20,34,88.85
2006-10-27,35,105.62
2006-11-03,38,101.71
2006-11-10,36,105.26
2006-11-17,36,106.11
2006-11-24,38,106.82
2006-12-01,38,104.68
2006-12-08,39,104.75
2006-12-15,38,102.2
2006-12-22,36,99.62
2006-12-29,30,99.91
2007-01-05,33,98.5
2007-01-12,36,103.01
2007-01-19,36,104.29
2007-01-26,38,95.9
2007-02-02,37,97.66
2007-02-09,39,101.55
2007-02-16,36,104.51
2007-02-23,36,103.26
2007-03-02,33,97.49
2007-03-09,39,98.57
2007-03-16,39,97.31
2007-03-23,40,99.59
2007-03-30,38,96.08
2007-04-13,40,98.55
2007-04-20,39,102.4
2007-04-27,40,122.59
2007-05-04,40,119.65
2007-05-11,40,119.62
2007-05-18,38,118.19
2007-05-25,43,117.94
2007-06-01,43,117.88
2007-06-08,36,117.95
2007-06-15,36,117.11
2007-06-22,35,116.77
2007-06-29,34,116.8
2007-07-06,33,116.85
2007-07-13,32,117.5
2007-07-20,31,117.5
