"Date","buy.CL","Price"
2008-10-03,71,75.5
2008-10-10,72,60.75
2008-10-17,74,62.19
2008-10-24,75,55.94
2009-02-06,61,65.66
2009-02-13,60,63.13
2009-02-20,60,59.48
2009-02-27,60,60.18
2009-03-06,60,56.05
2009-03-13,69,57.62
2009-03-20,78,57.37
2009-03-27,100,59.51
2009-09-25,65,76.5
2009-11-27,62,83.63
2010-01-15,52,80
2010-01-22,60,80.71
2010-01-29,46,80.03
2010-02-05,46,79.26
2010-02-12,46,79.66
2010-02-19,49,81.75
2010-02-26,52,82.94
2010-03-05,55,84.21
2010-03-12,59,84.15
2010-04-23,49,83.27
2010-04-30,50,84.1
2010-05-07,51,80.21
2010-05-14,51,82.76
2010-05-21,61,79.59
2010-07-30,49,78.98
2010-08-06,72,76.5
2010-08-13,46,76.39
2010-08-20,46,76.03
2010-08-27,46,74.25
2010-09-03,46,74.85
2010-09-10,46,75.18
2010-09-17,39,77.37
2010-09-24,39,78.52
2010-10-01,39,76.57
2010-10-08,59,74.9
2010-10-15,46,75.89
2010-10-22,46,76.84
2010-10-29,46,77.12
2010-11-05,38,77.57
2010-11-12,61,76.58
2010-11-19,42,78.53
2010-11-26,83,77.39
2010-12-03,59,77.95
2010-12-10,45,78.21
2010-12-17,49,81
2011-01-28,77,76.99
2011-02-04,37,76.24
2011-02-11,38,78.92
2011-02-18,37,78.42
2011-02-25,37,78.12
2011-03-04,34,77.5
2011-03-11,34,79.18
2011-03-18,41,76.95
2011-03-25,34,80.15
2011-04-01,54,80.52
2011-04-08,52,81.28
2011-04-15,52,81.81
2011-04-29,42,84.35
2011-05-06,37,84.88
2011-05-13,44,86.55
2011-05-20,78,86.55
2011-05-27,48,85.72
2011-06-03,56,84.11
2011-06-10,48,84.7
2011-06-17,48,87.88
2011-06-24,44,85.46
2011-07-01,41,88.47
2011-07-08,41,88.42
2011-07-15,52,89.01
2011-07-22,44,87.62
2011-07-29,41,84.38
2011-08-05,41,84.15
2011-08-12,37,85.34
2011-08-19,37,84.99
2011-08-26,52,87.84
2011-09-02,48,88.52
2011-09-09,43,88.96
2011-09-16,59,93.64
2011-09-23,34,88.92
2011-09-30,37,88.68
2011-10-07,39,90.41
2011-10-14,41,92.34
2011-10-21,45,93.92
2011-10-28,36,91.22
2011-11-04,36,88.06
2011-11-11,33,89.17
2011-11-18,38,88.61
2011-11-25,65,86.73
2011-12-02,57,90.19
2011-12-09,57,90.46
2011-12-16,29,89.89
2011-12-23,55,93.09
2011-12-30,32,92.39
2012-01-06,32,89.8
2012-01-13,47,88.52
2012-01-20,46,89
2012-01-27,46,90.4
2012-02-03,35,91.54
2012-02-10,29,91.17
2012-02-17,43,93.25
2012-02-24,29,93.3
2012-03-02,44,93.2
2012-03-09,35,93.98
2012-03-16,45,94.79
2012-03-23,62,95.94
2012-03-30,43,97.78
2012-04-13,30,97.21
2012-04-20,40,98.88
2012-04-27,50,98.38
2012-05-04,32,99.13
2012-05-11,31,99.31
2012-05-18,42,98.79
2012-05-25,37,98.8
2012-06-01,35,96.48
2012-06-08,37,100.17
2012-06-15,47,101.53
2012-06-22,32,99.9
2012-06-29,47,104.1
2012-07-06,32,104.29
2012-07-13,39,105.46
2012-07-20,45,103.9
2012-07-27,32,107.17
2012-08-03,48,106.46
2012-08-10,38,105.37
2012-08-17,38,106.18
2012-08-24,46,105.77
2012-08-31,52,106.31
2012-09-07,39,106.3
2012-09-14,30,103.75
2012-09-21,43,106.53
2012-09-28,35,107.22
2012-10-05,30,108.45
2012-10-12,60,107.89
2012-10-19,26,107.74
2012-10-26,34,103.87
2012-11-02,40,104.96
2012-11-09,45,103.87
2012-11-16,29,105.15
2012-11-23,33,108
2012-11-30,30,108.5
2012-12-07,30,108.37
2012-12-14,63,105.84
2012-12-21,26,105.1
2012-12-28,42,104.04
2013-01-04,43,107.9
2013-01-11,40,107.09
2013-01-18,33,109.01
2013-01-25,24,110.15
2013-02-01,48,109.84
2013-02-08,46,108.49
2013-02-15,40,110.02
2013-02-22,59,113.97
2013-03-01,53,114.11
2013-03-08,47,115.74
2013-03-15,50,112.08
2013-03-22,34,114.41
2013-04-05,47,116.72
2013-04-12,34,118.37
2013-04-19,57,119.72
2013-04-26,38,118.99
2013-05-03,30,121.15
2013-05-10,32,120.72
2013-05-17,34,62.04
2013-05-24,38,61.17
2013-05-31,30,57.84
2013-06-07,47,59.1
2013-06-14,34,58.82
2013-06-21,36,56.81
2013-06-28,42,57.29
2013-07-05,50,57.86
2013-07-12,43,59.14
2013-07-19,38,58.88
2013-07-26,61,60.25
2013-08-02,47,60.53
2013-08-09,41,60.68
2013-08-16,43,59.47
2013-08-23,47,59.03
2013-08-30,32,57.77
2013-09-06,45,58
2013-09-13,33,59.43
2013-09-20,42,60.44
2013-09-27,29,59.93
2013-10-04,42,59.33
2013-10-11,40,61.45
2013-10-18,45,62.81
2013-10-25,33,63.6
2013-11-01,44,65.39
2013-11-08,41,64.83
2013-11-15,49,65.78
2013-11-22,29,66.26
2013-11-29,31,65.81
2013-12-06,33,65.66
2013-12-13,67,63.98
2013-12-20,36,64.74
2013-12-27,42,65.37
2014-01-03,50,64.18
2014-01-10,31,65.08
2014-01-17,34,64.7
2014-01-24,32,62.39
2014-01-31,35,61.23
2014-02-07,41,60.86
2014-02-14,26,62.68
2014-02-21,35,61.56
2014-02-28,48,62.83
2014-03-07,41,63.13
2014-03-14,37,63.83
2014-03-21,44,63.46
2014-03-28,46,64.1
2014-04-04,37,64.22
2014-04-11,43,65.31
2014-04-25,61,66.24
