"Date","buy.ATI","Price"
2004-02-06,72,9.5
2004-02-13,72,10.55
2004-02-20,72,12.24
2004-02-27,67,12.7
2004-03-05,55,12.76
2004-03-12,55,11.47
2004-03-19,55,11.63
2004-03-26,55,11.14
2004-04-02,55,12.64
2004-04-16,56,11.48
2004-04-23,62,11.35
2004-04-30,69,10.22
2004-05-07,76,9.59
2004-05-14,60,9.8
2004-05-21,62,10.7
2004-05-28,70,12.01
2004-06-04,68,12.9
2004-06-18,69,15.1
2004-06-25,63,15.62
2004-07-02,94,17.49
2004-07-09,64,17.8
2004-07-16,69,17.75
2004-07-23,85,18.23
2004-07-30,55,20.05
2004-08-06,100,16.62
2004-08-13,71,16.93
2004-08-20,70,18.57
2004-08-27,96,18.75
2004-09-03,58,19.18
2004-09-10,66,19.88
2004-09-17,65,19.64
2004-09-24,38,19.08
2004-10-01,83,17.45
2004-10-08,73,17.93
2004-10-15,82,16.06
2004-10-22,77,16.52
2004-10-29,59,16.81
2004-11-05,73,17.58
2004-11-12,66,21.26
2004-11-19,66,20.56
2004-11-26,99,22.93
2004-12-03,58,21.55
2004-12-10,73,20.96
2004-12-17,71,22.09
2004-12-31,82,21.67
2005-01-07,90,18.92
2005-01-14,90,18.92
2005-01-21,93,21.75
2005-01-28,47,22.24
2005-02-04,53,23.13
2005-02-11,34,23.14
2005-02-18,34,23.41
2005-02-25,49,25.46
2005-03-04,37,26.05
2005-03-11,36,23.39
2005-03-18,45,22.59
2005-04-01,51,24.83
2005-04-08,51,25.41
2005-04-15,51,21.11
2005-04-22,52,24.31
2005-04-29,52,22.4
2005-05-06,39,23.35
2005-05-13,39,19.52
2005-05-20,34,21.4
2005-05-27,32,21.22
2005-06-03,52,21.61
2005-06-10,31,22.05
2005-06-17,37,23.26
2005-06-24,68,21.4
2005-07-01,41,22.11
2005-07-08,41,23.81
2005-07-15,55,25.3
2005-07-22,44,28.28
2005-07-29,46,29.07
2005-08-05,55,29.11
2005-08-12,45,30.2
2005-08-19,65,28.99
2005-08-26,58,26.58
2005-09-02,27,28.16
2005-09-09,34,29.41
2005-09-16,37,29.02
2005-09-23,51,29.45
2005-09-30,34,30.98
2005-10-07,37,27.45
2005-10-14,44,27.79
2005-10-21,47,27.38
2005-10-28,54,27.45
2005-11-04,36,28.34
