"Date","SWN","Price"
2004-05-07,61,25.68
2004-05-14,50,25.7
2004-05-21,50,24.97
2004-05-28,50,25.56
2004-06-04,50,24.93
2004-07-23,51,29.81
2004-10-01,47,43.2
2004-10-08,43,43.99
2004-12-03,62,51.78
2004-12-10,39,49.1
2004-12-17,41,51.05
2004-12-31,45,50.69
2005-01-07,47,45.05
2005-01-14,49,48.98
2005-01-21,52,49.85
2005-01-28,54,49.67
2005-02-04,57,54.98
2005-02-11,41,58.34
2005-02-18,41,59.62
2005-02-25,41,61.86
2005-03-04,35,61.2
2005-03-11,41,57.03
2005-03-18,47,58.65
2005-04-01,35,59.61
2005-04-08,44,58.1
2005-04-15,53,56.78
2005-04-22,40,59.99
2005-04-29,36,58.75
2005-05-06,38,68.5
2005-05-13,39,64.32
2005-05-20,41,67.09
2005-05-27,43,70.79
2005-06-03,33,72.44
2005-06-10,39,37.15
2005-06-17,45,43.39
2005-06-24,33,43.52
2005-07-01,33,50.69
2005-07-08,40,52.32
2005-07-15,37,50.55
2005-07-22,46,53.5
2005-07-29,55,55.11
2005-08-05,39,55.88
2005-08-12,39,57.25
2005-08-19,61,53.81
2005-08-26,51,52.5
2005-09-02,49,57.33
2005-09-09,36,57.45
2005-09-16,28,62.68
2005-09-23,67,62.93
2005-09-30,71,73.4
2005-10-07,97,72
2005-10-14,80,68.13
2005-10-21,72,64.39
2005-10-28,85,71.05
2005-11-04,78,69.42
2005-11-11,76,66.39
2005-11-18,90,34.87
2005-11-25,66,36.47
2005-12-02,65,36.36
2005-12-09,66,35.35
2005-12-16,63,35.4
2005-12-23,70,37.86
2005-12-30,48,35.94
2006-01-06,66,37.18
2006-01-13,43,40.7
2006-01-20,53,43.01
2006-01-27,58,40.9
2006-02-03,73,39.8
2006-02-10,47,33.93
2006-02-17,55,34.97
2006-02-24,47,33.87
2006-03-03,64,34.29
2006-03-10,73,29.33
2006-03-17,60,31.91
2006-03-24,65,32.72
2006-03-31,40,32.19
2006-04-07,61,32.93
2006-04-21,53,39.42
2006-04-28,50,36.02
2006-05-05,62,38.61
2006-05-12,67,37.15
2006-05-19,64,31.54
2006-05-26,77,31.38
2006-06-02,58,32.78
2006-06-09,57,27.02
2006-06-16,73,29.13
2006-06-23,68,30.09
2006-06-30,63,31.16
2006-07-07,37,29.15
2006-07-14,70,28.43
2006-07-21,62,28.19
2006-07-28,62,32.94
2006-08-04,61,34.88
2006-08-11,58,34.81
2006-08-18,37,34.29
2006-08-25,55,36.5
2006-09-01,54,35.74
2006-09-08,65,34.03
2006-09-15,58,30.54
2006-09-22,67,28.83
2006-09-29,65,29.87
2006-10-06,53,29.48
2006-10-13,59,30.35
2006-10-20,64,35.35
2006-10-27,57,36.1
2006-11-03,67,36.07
2006-11-10,55,36.35
2006-11-17,77,38.3
2006-11-24,64,39.78
2006-12-01,76,42.59
2006-12-08,63,40.67
2006-12-15,70,39
2006-12-22,72,36.14
2006-12-29,58,35.05
2007-01-05,61,33.55
2007-01-12,66,35.03
2007-01-19,58,36.46
2007-01-26,55,37.23
2007-02-02,65,38.82
2007-02-09,55,38.15
2007-02-16,68,37.99
2007-02-23,60,40.37
2007-03-02,72,37.35
2007-03-09,51,38.4
2007-03-16,60,37.86
2007-03-23,66,40.6
2007-03-30,45,40.98
2007-04-13,67,44.99
2007-04-20,65,42.48
2007-04-27,73,43.09
2007-05-04,59,43.45
2007-05-11,58,43.27
2007-05-18,51,45.9
2007-05-25,60,46.24
2007-06-01,51,47.59
2007-06-08,60,46.06
2007-06-15,51,49.57
2007-06-22,28,48.44
2007-06-29,44,44.5
2007-07-06,47,45.02
2007-07-13,55,44.95
2007-07-20,68,43.86
2007-07-27,55,39.27
2007-08-03,54,39.97
2007-08-10,72,40.93
2007-08-17,61,39.36
2007-08-24,73,38.36
2007-08-31,61,37.19
2007-09-07,59,38.93
2007-09-14,57,42.49
2007-09-21,57,43.83
2007-09-28,66,41.85
2007-10-05,58,44.9
2007-10-12,78,45.5
2007-10-19,73,46.59
2007-10-26,69,50.86
2007-11-02,66,55.48
2007-11-09,88,52.48
2007-11-16,85,51.97
2007-11-23,70,49.69
2007-11-30,62,49.77
2007-12-07,64,54.38
2007-12-14,57,52.28
2007-12-21,56,56.53
2007-12-28,48,55.51
2008-01-04,60,56.62
2008-01-11,75,57.98
2008-01-18,38,50.84
2008-01-25,54,51.05
2008-02-01,69,56.11
2008-02-08,68,58.07
2008-02-15,75,60.56
2008-02-22,44,61.72
2008-02-29,64,65.23
2008-03-07,81,62.83
2008-03-14,55,65.85
2008-03-28,59,33.22
2008-04-04,73,36.38
2008-04-11,60,36.8
2008-04-18,78,40.42
2008-04-25,64,44.46
2008-05-02,67,41.95
2008-05-09,72,45.4
2008-05-16,61,46.12
2008-05-23,57,45.05
2008-05-30,50,44.34
2008-06-06,72,45.98
2008-06-13,54,46.63
2008-06-20,65,45.57
2008-06-27,71,46.62
2008-07-11,60,42.64
2008-07-18,54,38.53
2008-07-25,66,34
2008-08-01,68,36.32
2008-08-08,81,32.56
2008-08-15,56,35.18
2008-08-22,59,37.67
2008-08-29,68,38.37
2008-09-05,65,33.79
2008-09-12,68,32.8
2008-09-19,94,35.42
2008-09-26,68,33.24
