"Date","buy.WAT","Price"
2007-11-02,65,75.28
2008-02-08,64,60.16
2008-03-28,60,55.72
2008-04-04,62,56.38
2008-04-11,64,56.63
2008-04-18,54,54.77
2008-04-25,71,58.47
2008-06-06,73,61.33
2008-06-13,60,62.29
2008-06-20,60,62.94
2008-06-27,60,65.17
2008-07-11,55,65.19
2008-07-18,55,62.7
2008-07-25,55,67.31
2008-08-01,56,66.95
2008-08-08,56,69.18
2008-08-15,56,70.19
2008-08-22,57,68.91
2008-08-29,57,68.25
2008-09-05,60,64.02
2008-09-12,63,62.28
2008-09-19,49,57.65
2008-09-26,49,59.65
2008-10-03,62,54.06
2008-10-10,76,45.69
2008-10-17,52,45.87
2008-10-24,88,41.58
2008-10-31,52,43.8
2008-11-07,52,43.01
2008-11-14,50,39.14
2008-11-21,94,36.85
2008-11-28,68,41.23
2008-12-05,69,40.46
2008-12-12,71,37.21
2008-12-19,72,36.88
2008-12-26,77,36.1
2009-01-02,65,38.09
2009-01-09,48,35.67
2009-01-16,60,38.67
2009-01-23,61,36.51
2009-01-30,61,36.17
2009-02-06,62,41.76
2009-02-13,81,40.91
2009-02-20,100,37.36
2009-02-27,62,35.22
2009-03-06,49,33.24
2009-03-13,40,31.62
2009-03-20,45,31.99
2009-03-27,55,37.31
2009-04-03,65,39.1
2009-04-17,70,39.46
2009-04-24,84,37.52
2009-05-01,73,44.46
2009-05-08,73,44.45
2009-05-15,75,43.48
2009-05-22,74,43.19
2009-05-29,47,43.32
2009-06-05,47,46.69
2009-06-12,50,48.34
2009-06-19,66,49.07
2009-06-26,69,50.98
2009-07-10,48,48.94
2009-07-17,68,50.28
2009-07-24,68,51.86
2009-07-31,70,50.25
2009-08-07,73,51.28
2009-08-14,76,51.31
2009-08-21,87,51.8
2009-08-28,69,50.96
2009-09-04,56,50.76
2009-09-11,63,54.61
2009-09-18,51,55.32
2009-09-25,65,54.77
2009-10-02,78,53.9
2009-10-09,61,57.75
2009-10-16,56,57.47
2009-10-23,62,56.99
2009-10-30,51,57.43
2009-11-06,61,59.23
2009-11-13,70,60.72
2009-11-20,44,59.04
2009-11-27,73,59.02
2009-12-04,46,59.43
2009-12-11,47,61.21
2009-12-18,65,60.22
2010-01-08,73,61.21
2010-01-15,64,60.76
2010-01-22,63,59.49
2010-01-29,65,56.98
2010-02-05,59,57.47
2010-02-12,59,58.26
2010-02-19,70,58.78
2010-02-26,73,59.66
2010-03-05,56,64.21
2010-03-12,52,64.84
2010-03-19,43,65.06
2010-03-26,74,66.79
2010-04-09,55,69.23
2010-04-16,58,70.48
2010-04-23,61,70.03
2010-04-30,40,71.99
2010-05-07,72,66.11
2010-05-14,47,68.18
2010-05-21,78,65.5
2010-05-28,83,68.44
2010-06-04,67,66.54
2010-06-11,51,68.91
2010-06-18,77,71.71
2010-06-25,41,69.15
2010-07-02,44,63.11
2010-07-09,52,64.4
2010-07-16,84,63.02
2010-07-23,67,64.59
2010-07-30,77,64.16
2010-08-06,52,66.42
2010-08-13,75,62.39
2010-08-20,60,62.68
2010-08-27,46,62.15
2010-09-03,45,64.78
2010-09-10,68,65.97
2010-09-17,38,68.93
2010-09-24,57,71.49
2010-10-01,64,70.89
2010-10-08,48,70.79
2010-10-15,66,72.06
2010-10-22,63,72.53
2010-10-29,57,74.13
2010-11-05,83,77.88
2010-11-12,59,76.45
2010-11-19,54,78.73
2010-11-26,90,78.01
2010-12-03,64,79.4
2010-12-10,68,80.33
2010-12-17,77,80.17
2010-12-31,95,77.71
2011-01-07,56,75.21
2011-01-14,38,76.44
2011-01-21,69,76.25
2011-01-28,67,76.06
2011-02-04,79,75.37
2011-02-11,96,79.87
2011-02-18,70,83.38
2011-02-25,73,82.44
2011-03-04,60,87
2011-03-11,58,85.37
2011-03-18,62,83.57
